compound,broad_id,cohens_d,p_value,n_lost,n_intact,median_sensitivity_lost,median_sensitivity_intact,fdr
capromorelin,BRD-K00003188-046-01-9,-0.1244,0.6591598526766522,64,554,0.2212,0.2334,0.9962626903601212
GSK3117391,BRD-K00004614-001-01-9,-0.1237,0.14922639430519746,64,554,-3.6895,-3.2623,0.9487690209253847
T-807,BRD-K00003402-001-01-9,-0.1235,0.3000532664022889,64,554,-0.4557,-0.3565,0.9514018446556411
eribulin,BRD-K00003156-066-01-9,-0.1232,0.22326687817033597,64,557,-4.5917,-4.0661,0.9487690209253847
GSK356278,BRD-K00004711-001-01-9,-0.1232,0.28527344443524627,64,557,-0.0347,0.0543,0.9514018446556411
EC5026,BRD-K00091074-001-01-9,-0.1226,0.37461983365006013,63,545,-0.1212,-0.1019,0.9758138622224934
6-Thio-2'-Deoxyguanosine,BRD-K00091271-001-01-9,-0.1225,0.33867306732090063,63,545,-1.878,-1.635,0.9704788142491085
HA-130,BRD-K64452997-001-02-9,-0.1224,0.24265398260790372,64,556,-0.1277,-0.0202,0.9487690209253847
ceruletide,BRD-K00003320-001-01-9,-0.1221,0.2416772536344467,64,557,0.0244,0.0391,0.9487690209253847
clanfenur,BRD-K62378877-001-05-9,-0.1217,0.34769403020742906,64,557,-0.197,-0.1238,0.9704788142491085
trabectedin,BRD-K00003313-001-01-9,-0.1216,0.25066528958417444,64,557,-8.5094,-8.3568,0.9487690209253847
ralinepag,BRD-K00003227-001-01-9,-0.1215,0.26332241512703136,64,557,-0.1557,-0.1289,0.9487690209253847
Triazavirin,BRD-K00091130-325-01-9,-0.1214,0.679149240416478,63,545,-0.2503,-0.217,0.9962626903601212
ceftizoxim,BRD-K04301924-236-03-2,-0.1208,0.5698609104642147,64,554,0.1983,0.2162,0.9962626903601212
JPH203,BRD-K00003340-300-01-9,-0.1201,0.3495236335446765,64,556,0.0188,0.0388,0.9704788142491085
Islatravir,BRD-K00079205-001-02-9,-0.12,0.2982835512282568,63,545,-1.0713,-0.9502,0.9514018446556411
C188-9,BRD-K00003114-001-01-9,-0.1192,0.3957027846722002,64,557,-1.3532,-1.2592,0.9834187238738615
BMS-813160,BRD-K00003512-001-01-9,-0.1189,0.4262543462246158,64,557,0.0197,0.065,0.9949940755879771
PAOPA,BRD-K18573821-001-03-9,-0.1189,0.3583233345993506,64,556,0.0741,0.0979,0.9704788142491085
BIA-10-2474,BRD-K00004735-001-01-9,-0.1188,0.5145220777780799,64,554,0.0037,0.0639,0.9962626903601212
CP-640186,BRD-K26921335-003-01-2,-0.1187,0.311464974464306,64,556,0.0452,0.1184,0.9514018446556411
YIL-781,BRD-K91403886-003-02-9,-0.1187,0.3621086028299201,64,554,-0.0812,-0.0292,0.9704788142491085
CCT196969,BRD-K00005244-001-01-9,-0.1186,0.557873625153193,64,554,-1.6394,-1.523,0.9962626903601212
Mps1-IN-5,BRD-K43812936-001-01-9,-0.1162,0.6390364385700726,64,556,-1.624,-1.64,0.9962626903601212
rosamicin,BRD-K00004538-001-01-9,-0.1161,0.42646046051408826,64,554,-0.202,-0.1256,0.9949940755879771
DH-97,BRD-K06014311-001-04-9,-0.115,0.9014297001484171,64,554,-0.0298,-0.0252,0.9962626903601212
cangrelor,BRD-K00004669-001-01-9,-0.1132,0.5554370949085518,64,557,-0.0177,0.0115,0.9962626903601212
wortmannin,BRD-K87343924-001-16-9,-0.1132,0.6005719752895408,64,556,-0.845,-0.7268,0.9962626903601212
seratrodast,BRD-A60765580-001-03-4,-0.1125,0.21177387236164347,64,556,-0.1396,-0.1052,0.9487690209253847
GW7604,BRD-K00073895-001-02-9,-0.1122,0.12408918184191324,63,545,-0.2315,-0.1277,0.9275472926169483
inarigivir,BRD-K00003532-001-01-9,-0.112,0.5828880496457329,64,557,-3.9317,-3.7852,0.9962626903601212
esonarimod,BRD-K00003282-001-01-9,-0.1119,0.3196371505986466,64,556,-0.0121,0.0309,0.9553768206359181
HOKU-81,BRD-K00003598-001-01-9,-0.1112,0.4448766897617875,64,557,-0.1577,-0.1153,0.9962626903601212
2-fluorofucose,BRD-K00004677-001-01-9,-0.1105,0.6336709678897963,64,554,-0.0519,-0.0064,0.9962626903601212
BMS-986165,BRD-K00091094-001-01-9,-0.1103,0.4624447791225278,63,545,-0.2564,-0.2199,0.9962626903601212
tetrazol-5-yl-glycine-(RS),BRD-A14757586-001-04-9,-0.1092,0.32230380084979293,64,554,0.0116,0.0595,0.9588852605380689
fasoracetam,BRD-K00004571-001-01-9,-0.1084,0.6763774690421075,64,554,0.0576,0.0877,0.9962626903601212
"3,5-DHPG-(S)",BRD-K57796080-001-04-9,-0.1079,0.9926253006481202,64,554,0.051,-0.0038,0.9978511439730471
pocapavir,BRD-K00003464-001-01-9,-0.1078,0.2742815389335598,64,554,0.077,0.1392,0.9487690209253847
SJ-733,BRD-K34798115-001-02-9,-0.1075,0.6316802290173957,64,556,-0.0083,0.0039,0.9962626903601212
HPPH,BRD-K00003730-001-01-9,-0.1074,0.16631359147382274,64,557,-0.1758,-0.1196,0.9487690209253847
AZD5153,BRD-K00003528-457-01-9,-0.1073,0.9448803784753661,64,554,-1.5147,-1.5482,0.9962626903601212
baloxavir,BRD-K00003496-001-01-9,-0.1059,0.6273645807953185,64,554,-1.1996,-1.1623,0.9962626903601212
bexagliflozin,BRD-K00003246-001-01-9,-0.1059,0.5557515315204058,64,556,-0.244,-0.2088,0.9962626903601212
TC-G-1000,BRD-K27010807-050-02-9,-0.1057,0.5638519212125779,64,554,0.0154,0.0758,0.9962626903601212
miridesap,BRD-K00003434-001-01-9,-0.1041,0.5793593809555668,64,557,0.0451,0.0352,0.9962626903601212
Navoximod,BRD-K00078423-001-02-9,-0.1038,0.25518490646472314,63,545,-0.1695,-0.1145,0.9487690209253847
dalfopristin,BRD-K00003321-001-01-9,-0.1033,0.21156390257229507,64,554,-0.1029,-0.0521,0.9487690209253847
GSK2110183,BRD-K25412176-001-04-9,-0.1031,0.9454689694488272,64,554,-0.2882,-0.3596,0.9962626903601212
CP-94253,BRD-K33860217-003-04-0,-0.1031,0.6179559408737769,64,554,-0.0347,-0.0299,0.9962626903601212
R-1487,BRD-K00004710-001-01-9,-0.103,0.6006799654443727,64,557,-0.0532,-0.0455,0.9962626903601212
UK-356618,BRD-K57011718-001-01-5,-0.1029,0.47527343847056924,64,554,-0.255,-0.1948,0.9962626903601212
lifitegrast,BRD-K60265345-001-02-9,-0.1027,0.24824597465132492,64,557,-0.0393,0.0362,0.9487690209253847
telavancin,BRD-K00085355-001-01-9,-0.1025,0.4294526930066792,63,545,-0.1788,-0.0886,0.9949940755879771
seclidemstat,BRD-K00003454-001-01-9,-0.1023,0.18238488647754536,64,556,-2.8885,-2.5424,0.9487690209253847
methylbenzethonium-chloride,BRD-K46531780-003-19-7,-0.1021,0.6570488508847859,64,556,-0.6414,-0.6327,0.9962626903601212
amifostine,BRD-K73947551-001-04-4,-0.1021,0.3571677090329449,64,556,-0.0046,0.0873,0.9704788142491085
BMS-911543,BRD-K00003189-001-01-9,-0.1015,0.48595725759763553,64,556,-0.3386,-0.2763,0.9962626903601212
VU10010,BRD-K12483104-001-02-9,-0.1014,0.5313088052362529,64,556,0.2244,0.2756,0.9962626903601212
iRGD-peptide,BRD-K00003335-001-01-9,-0.1013,0.3018377219687677,64,557,-0.1198,-0.0659,0.9514018446556411
alantolactone,BRD-K53731810-001-05-9,-0.1005,0.5822459154532499,64,556,-0.0697,-0.07,0.9962626903601212
tolonium,BRD-K94882685-003-10-0,-0.1004,0.4384187264901499,64,556,-3.7594,-3.6622,0.9962626903601212
S-17092,BRD-K00004618-001-01-9,-0.1002,0.2104011375503193,64,557,-0.2892,-0.2332,0.9487690209253847
potassium-iodide,BRD-M55321172-001-03-3,-0.0997,0.7519199484711055,64,554,0.0536,0.078,0.9962626903601212
ectoine,BRD-K34566599-001-03-9,-0.0994,0.7301343918993384,64,554,-0.0346,-0.0454,0.9962626903601212
dihydroxyacetone,BRD-K18637542-001-01-7,-0.099,0.42375638882500477,64,556,-0.0298,0.0507,0.9949940755879771
Batabulin,BRD-K00091286-001-01-9,-0.0987,0.33107967341316713,63,545,-4.2652,-3.8751,0.967084363958307
BAY-8002,BRD-K00005331-001-01-9,-0.0986,0.7885850114602656,64,557,-0.155,-0.1126,0.9962626903601212
sparteine-(-),BRD-K86872788-065-01-5,-0.0984,0.38273072097132366,64,556,-0.1603,-0.1336,0.9778833764515054
MSDC-0160,BRD-K00003381-001-01-9,-0.0982,0.552420749701361,64,554,-0.0802,-0.049,0.9962626903601212
hydroxocobalamin,BRD-K00003525-003-01-9,-0.0979,0.8296262829283062,64,557,-0.0012,-0.0125,0.9962626903601212
nicainoprol,BRD-K00003382-001-01-9,-0.0978,0.5450274202056089,64,554,0.0585,0.1326,0.9962626903601212
BRL-44408,BRD-K01825677-050-02-9,-0.0977,0.429476919309834,64,554,-0.0727,-0.0975,0.9949940755879771
ZD-0947,BRD-K00004620-001-01-9,-0.097,0.28280906094454417,64,554,-0.0359,0.0051,0.9514018446556411
GSK-LSD-1,BRD-K33521504-300-01-6,-0.0968,0.3563985974901257,64,556,-0.1969,-0.143,0.9704788142491085
TC-H-106,BRD-K45044657-001-01-4,-0.0964,0.9248882818873968,64,554,-0.2275,-0.2688,0.9962626903601212
convallatoxin,BRD-K00004559-001-01-9,-0.0962,0.4554691329367213,64,557,-7.8704,-7.7833,0.9962626903601212
acetylspiramycin,BRD-K00004968-001-01-9,-0.0958,0.3815267603673098,64,556,0.0509,0.1046,0.9778833764515054
NAS-181,BRD-K00004235-334-01-9,-0.0956,0.5524810711794435,64,557,0.0777,0.0933,0.9962626903601212
methanesulfonyl-fluoride,BRD-K53896891-001-01-2,-0.095,0.9554793091381703,64,554,-0.1613,-0.2093,0.9962626903601212
fisogatinib,BRD-K00003377-001-01-9,-0.0939,0.2744707747340598,64,557,-0.2883,-0.226,0.9487690209253847
APY-29,BRD-K17511755-001-02-9,-0.0937,0.40820370161628017,64,554,-5.5538,-5.3093,0.9869805608457428
rosiptor,BRD-K00003494-001-01-9,-0.0929,0.25713646764224973,64,554,0.1734,0.1651,0.9487690209253847
EMD534085,BRD-K00003185-001-01-9,-0.0925,0.3831325580269972,64,556,-2.9802,-2.6429,0.9778833764515054
PF-06273340,BRD-K00004638-001-01-9,-0.0923,0.41143798343567617,64,557,-0.0403,-0.0015,0.9898107478141797
etrasimod,BRD-K00003139-001-01-9,-0.0919,0.18850151774463786,64,556,-0.1113,-0.0489,0.9487690209253847
Nevanimibe hydrochloride,BRD-K00091091-003-01-9,-0.0915,0.8131558390851165,63,545,0.0057,-0.0135,0.9962626903601212
liquiritin,BRD-K39084158-001-08-9,-0.0914,0.3684684957258554,64,557,-0.0101,0.0236,0.9731676646696807
benactyzine,BRD-K85030058-003-16-9,-0.0912,0.8403105730603423,64,554,0.1593,0.1246,0.9962626903601212
nitroflurbiprofen,BRD-K00004737-001-01-9,-0.0911,0.2590727575955244,64,556,-0.0525,0.0156,0.9487690209253847
Imrecoxib,BRD-K00074641-001-02-9,-0.0907,0.8450415639961982,63,545,-0.0474,-0.0686,0.9962626903601212
nuvenzepine,BRD-K00004743-001-01-9,-0.0903,0.5406151286346401,64,554,0.1814,0.1793,0.9962626903601212
AZD1940,BRD-K00075152-001-02-9,-0.0897,0.23133192171236483,63,545,-0.0724,0.0009,0.9487690209253847
SGC-707,BRD-K86718786-001-03-9,-0.0896,0.6501374661977324,64,556,-0.0853,-0.0436,0.9962626903601212
OTS514,BRD-K38018935-001-01-1,-0.0896,0.27395710312022215,64,554,-7.4555,-7.1816,0.9487690209253847
JNJ-47965567,BRD-K83547600-001-02-9,-0.0895,0.4098034815282624,64,556,0.0949,0.1766,0.9892708248357418
NPS-2407,BRD-K00004686-001-01-9,-0.0893,0.7281406717067307,64,557,-0.0632,-0.0947,0.9962626903601212
SB-452533,BRD-K03665769-001-02-9,-0.0892,0.5544005842103863,64,554,-0.0127,0.0048,0.9962626903601212
BMS-626531,BRD-K00004550-001-01-9,-0.0888,0.9504327320245631,64,557,0.0706,0.0736,0.9962626903601212
BX-795,BRD-K47983010-001-15-3,-0.088,0.7243779433860091,64,556,-1.1967,-1.2444,0.9962626903601212
H-Val-Pro-Pro-OH (TFA),BRD-K00073449-019-02-9,-0.0878,0.4021124566652965,63,545,-0.2645,-0.1992,0.9869805608457428
licogliflozin,BRD-K00003504-001-01-9,-0.0877,0.5267098370588692,64,557,-0.0084,0.0165,0.9962626903601212
soblidotin,BRD-K00003174-001-01-9,-0.0875,0.2227081825447702,64,557,-4.2929,-3.7471,0.9487690209253847
delcasertib,BRD-K00003468-001-01-9,-0.0875,0.40236160807617893,64,554,-0.0471,-0.0195,0.9869805608457428
SB-297006,BRD-K16107558-001-02-9,-0.0875,0.28115056332789545,64,556,-0.1022,-0.0111,0.9514018446556411
NS-3623,BRD-K24434292-001-01-3,-0.0872,0.6650586378452015,64,554,0.1734,0.1751,0.9962626903601212
McN-5652-(+/-),BRD-K31168993-001-03-9,-0.0865,0.6575817225702383,64,556,0.0032,-0.0109,0.9962626903601212
tomivosertib,BRD-K00003361-001-01-9,-0.0865,0.8990882267659439,64,554,-0.061,-0.0967,0.9962626903601212
TS-011,BRD-K00004685-001-01-9,-0.0862,0.8726612781110294,64,556,0.1777,0.1874,0.9962626903601212
CA-4948,BRD-K00003511-001-01-9,-0.0854,0.12900510465746862,64,557,-0.1688,-0.0874,0.9275472926169483
NS-5806,BRD-K93314017-001-02-9,-0.0853,0.7212582039652811,64,554,-0.1259,-0.087,0.9962626903601212
NP-G2-044,BRD-K00090625-001-01-9,-0.0852,0.8480076802198444,63,545,-0.1335,-0.1917,0.9962626903601212
S-3304,BRD-K00003475-001-01-9,-0.0849,0.4979664659323594,64,554,0.1682,0.2328,0.9962626903601212
AZD9056,BRD-K13699028-003-02-9,-0.0845,0.46005434741061746,64,556,-0.0958,-0.0112,0.9962626903601212
camobucol,BRD-K00004732-001-01-9,-0.0841,0.5456138496264729,64,557,-0.2147,-0.1743,0.9962626903601212
tetracycline,BRD-K00003352-003-01-9,-0.0841,0.6296454721181158,64,557,-0.0267,0.0081,0.9962626903601212
CPI-1205,BRD-K00003360-001-01-9,-0.0839,0.43529158708207816,64,557,-0.1316,-0.0909,0.9962626903601212
Imepitoin,BRD-K43055376-001-04-9,-0.0838,0.33107967341316713,63,545,-0.1849,-0.1492,0.967084363958307
Ligandrol,BRD-K00091109-001-01-9,-0.0822,0.4968048221548108,63,545,-0.0833,-0.059,0.9962626903601212
licostinel,BRD-K81881550-001-03-9,-0.0816,0.2882688585841874,64,557,-0.1052,-0.0733,0.9514018446556411
Lotilaner,BRD-K00084842-001-01-9,-0.081,0.6565480976890025,63,545,-0.2615,-0.2562,0.9962626903601212
MK-886,BRD-K20168484-001-07-9,-0.081,0.3478777818276275,64,554,0.2244,0.2704,0.9704788142491085
BFH772,BRD-K00003368-001-01-9,-0.0809,0.16971765119161208,64,557,-0.7024,-0.5748,0.9487690209253847
SNDX-5613,BRD-K00090651-001-01-9,-0.0804,0.5045135678694797,63,545,-0.2906,-0.281,0.9962626903601212
scabertopin,BRD-K00005327-001-01-9,-0.0802,0.24884926628776394,64,557,-1.4595,-1.3076,0.9487690209253847
GSK3179106,BRD-K00003373-001-01-9,-0.0801,0.843780881804343,64,554,-0.0872,-0.1219,0.9962626903601212
Aleglitazar,BRD-K00076061-001-02-9,-0.0794,0.39744813407011925,63,545,-0.2173,-0.1935,0.9841489090300993
RMC-4550,BRD-K00010386-001-01-9,-0.0793,0.7111591045499676,64,556,-0.5042,-0.5494,0.9962626903601212
perfluorohexyloctane,BRD-K00004546-001-01-9,-0.0793,0.7891513120738867,64,557,-0.0732,-0.07,0.9962626903601212
GM-1485,BRD-K00004613-001-01-9,-0.0792,0.6954046192272906,64,554,0.1954,0.2315,0.9962626903601212
temefos,BRD-K51805276-001-10-9,-0.0789,0.44497900224029985,64,556,0.1113,0.1836,0.9962626903601212
tipelukast,BRD-K00004627-001-01-9,-0.0788,0.49039395707001787,64,557,-0.023,-0.0163,0.9962626903601212
PF-06873600,BRD-K00004750-001-01-9,-0.0782,0.5814627660215319,64,554,-1.7555,-1.6658,0.9962626903601212
phenyl-salicylate,BRD-K44091963-001-04-9,-0.0779,0.37832757851353227,64,556,-0.1197,-0.1024,0.9774740562498717
GAL-021,BRD-K00003410-001-01-9,-0.0775,0.2386806832114986,64,554,-0.0704,-0.0326,0.9487690209253847
bronopol,BRD-K33457401-001-02-9,-0.0767,0.4630158084398277,64,554,-0.5208,-0.495,0.9962626903601212
nemazoline,BRD-K00004662-001-01-9,-0.0767,0.3158393615636379,64,554,0.1371,0.1496,0.9519134634800697
nisoldipine,BRD-A84465106-001-09-5,-0.0765,0.20807031131721487,64,554,-0.4637,-0.4069,0.9487690209253847
SR-3677,BRD-A86468475-300-02-9,-0.0755,0.3660165197962393,64,554,-0.2268,-0.169,0.9730890654238099
ML786,BRD-K52644305-300-02-9,-0.0755,0.9251435752376611,64,556,-0.6264,-0.8068,0.9962626903601212
delpazolid,BRD-K00003363-001-01-9,-0.0754,0.4739027462807317,64,554,-0.2936,-0.2487,0.9962626903601212
Tipepidine (hydrochloride),BRD-K00075727-003-02-9,-0.0749,0.7798324919859192,63,545,-0.1984,-0.2044,0.9962626903601212
Merck60,BRD-K04466929-001-12-9,-0.0748,0.7084159225218254,64,556,-1.5537,-1.5279,0.9962626903601212
PF-03463275,BRD-K00075673-001-02-9,-0.0744,0.9945600781947718,63,545,0.066,0.1202,0.9978511439730471
R112,BRD-K23902832-001-01-7,-0.0742,0.2612561754007098,64,556,-0.3729,-0.2722,0.9487690209253847
BMS-906024,BRD-K29343434-001-02-9,-0.0737,0.7812333715986377,64,557,-0.0948,-0.1034,0.9962626903601212
LSZ-102,BRD-K00004675-001-01-9,-0.0737,0.3610724952609432,64,557,0.0173,0.0626,0.9704788142491085
PRLX-93936,BRD-K00004604-001-01-9,-0.0735,0.5628533985720932,64,554,-4.8215,-4.5864,0.9962626903601212
DM4,BRD-K00090635-001-01-9,-0.0733,0.28991751479088446,63,545,-4.3091,-4.0684,0.9514018446556411
LY311727,BRD-K00004565-001-01-9,-0.0731,0.30564250627646117,64,557,-0.0904,-0.0549,0.9514018446556411
PF-06840003,BRD-K00003400-001-01-9,-0.0725,0.7632213810180384,64,557,-0.1783,-0.153,0.9962626903601212
Selpercatinib,BRD-K00091095-001-01-9,-0.0723,0.29758028471013587,63,545,-0.702,-0.6176,0.9514018446556411
TAK-659,BRD-K71500795-003-02-9,-0.0722,0.9837765484624679,64,554,-0.6664,-0.672,0.9962626903601212
HTH-01-015,BRD-K58726989-001-02-7,-0.0721,0.5169094040840903,64,556,-0.2551,-0.2684,0.9962626903601212
"3,4-DCPG-(R)",BRD-K06204668-001-03-9,-0.0721,0.9372315504847584,64,554,0.1331,0.1559,0.9962626903601212
citarinostat,BRD-K00003202-001-01-9,-0.0721,0.5347599859105614,64,554,-0.308,-0.2173,0.9962626903601212
AZD3839,BRD-K00004606-001-01-9,-0.072,0.7401634357174245,64,554,0.1099,0.1484,0.9962626903601212
avoralstat,BRD-K00003224-001-01-9,-0.072,0.5864267116079402,64,557,-0.0957,-0.0736,0.9962626903601212
PF 03716556,BRD-K00091129-001-01-9,-0.0719,0.6017019885195886,63,545,-0.1422,-0.147,0.9962626903601212
S49076,BRD-K00003147-001-01-9,-0.0717,0.20405858207762417,64,556,0.0178,0.1137,0.9487690209253847
INCB-057643,BRD-K00003102-001-01-9,-0.0714,0.6073503352323278,64,557,-1.1225,-1.2815,0.9962626903601212
MM-206,BRD-K00004622-001-01-9,-0.0713,0.5945522533367255,64,557,-1.1029,-0.9812,0.9962626903601212
CP-471474,BRD-K33234937-001-02-9,-0.0712,0.6357790546018592,64,554,-0.0806,-0.0597,0.9962626903601212
TAS-116,BRD-K00074122-001-02-9,-0.0699,0.4330001354845503,63,545,-4.2949,-4.1791,0.9962626903601212
anthraquinone,BRD-K15957397-001-05-9,-0.0689,0.8932384289429066,64,554,0.1817,0.1335,0.9962626903601212
gallium-triquinolin-8-olate,BRD-K46648676-001-01-8,-0.0689,0.4735901407118621,64,556,-0.1961,-0.1551,0.9962626903601212
PHA-543613,BRD-K00004641-001-01-9,-0.0687,0.718859836475281,64,556,-0.1514,-0.1247,0.9962626903601212
isoflurophate,BRD-K56575995-001-03-0,-0.0682,0.43364339863742185,64,556,-0.1058,-0.032,0.9962626903601212
lasmiditan,BRD-K00003178-003-01-9,-0.0676,0.7227209918611869,64,556,-0.0447,-0.0107,0.9962626903601212
cardionogen-1,BRD-K50905564-001-08-9,-0.0673,0.8768908632130424,64,554,-0.0549,-0.0604,0.9962626903601212
Zamicastat,BRD-K00091086-001-01-9,-0.0672,0.5108230561288851,63,545,-0.121,-0.1061,0.9962626903601212
TP-003,BRD-K87941707-001-02-9,-0.0672,0.5159566823685999,64,556,-0.1995,-0.2172,0.9962626903601212
omapatrilat,BRD-K00003265-001-01-9,-0.067,0.7949319189855096,64,554,0.3444,0.3173,0.9962626903601212
TCS-21311,BRD-K49461364-001-01-0,-0.0667,0.45203792935379294,64,556,-0.2736,-0.1857,0.9962626903601212
GKA-50,BRD-K03827870-001-02-9,-0.0661,0.8790505182190324,64,556,0.0578,0.014,0.9962626903601212
Remogliflozin etabonate,BRD-K00090650-001-01-9,-0.0651,0.34405442395611263,63,545,-0.0624,0.0001,0.9704788142491085
Alicapistat,BRD-K00091073-001-01-9,-0.0651,0.2657743799664254,63,545,-0.0211,0.0347,0.9487690209253847
20-HETE,BRD-K00005345-001-01-9,-0.065,0.739219817557972,64,557,0.0367,0.0551,0.9962626903601212
succinobucol,BRD-K00003183-001-01-9,-0.065,0.5197837409013208,64,554,-0.0643,-0.0119,0.9962626903601212
heclin,BRD-K49788188-001-02-9,-0.0649,0.6118980174881092,64,556,-0.064,-0.0407,0.9962626903601212
tetomilast,BRD-K00004564-001-01-9,-0.064,0.5308744077843568,64,554,-0.0458,-0.0114,0.9962626903601212
mivebresib,BRD-K00003356-001-01-9,-0.0638,0.8029279777764982,64,554,-2.8216,-2.6405,0.9962626903601212
telratolimod,BRD-K00004596-001-01-9,-0.0636,0.33846654621008865,64,554,-0.2014,-0.1792,0.9704788142491085
selitrectinib,BRD-K00003441-001-01-9,-0.0628,0.2621370904793805,64,554,0.0802,0.1959,0.9487690209253847
PTC-028,BRD-K00010388-001-01-9,-0.0627,0.26050692318209057,64,557,-4.1183,-3.4152,0.9487690209253847
seletalisib,BRD-K00003228-001-01-9,-0.0625,0.5086177131085869,64,557,-0.3682,-0.3406,0.9962626903601212
RG7834,BRD-K00004573-001-01-9,-0.0625,0.7171180424362944,64,557,-1.7064,-1.7809,0.9962626903601212
guanidinoethyldisulfide-bicarbonate,BRD-K69191882-065-01-6,-0.0622,0.5804495372386249,64,554,0.0806,0.0529,0.9962626903601212
GSK656,BRD-K00003483-003-01-9,-0.0621,0.719598048376099,64,554,0.1406,0.1586,0.9962626903601212
tradipitant,BRD-K00003222-001-01-9,-0.0617,0.3606858287802922,64,557,-4.4552,-3.7582,0.9704788142491085
trodusquemine,BRD-K00003124-389-01-9,-0.0617,0.4671027800538573,64,557,-1.0396,-0.9768,0.9962626903601212
CE-245677,BRD-K00076620-001-02-9,-0.0614,0.8682322865636658,63,545,-1.5922,-1.5467,0.9962626903601212
crenigacestat,BRD-K00003129-001-01-9,-0.0613,0.4392902042714595,64,556,-0.2206,-0.1439,0.9962626903601212
BEBT-908,BRD-K00003291-001-01-9,-0.0612,0.46634394812271773,64,556,-8.2486,-7.9785,0.9962626903601212
geldanamycin,BRD-K43570081-001-02-4,-0.0609,0.4890992903144451,64,554,-5.4537,-5.2063,0.9962626903601212
LY3295668,BRD-K00004722-001-01-9,-0.0608,0.6543492721937938,64,554,-1.9279,-1.9164,0.9962626903601212
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",BRD-A40504327-003-02-9,-0.0608,0.7688146787961407,64,554,-0.0447,-0.0328,0.9962626903601212
deslorelin,BRD-K00003134-001-01-9,-0.0608,0.4310514006606332,64,556,-0.2408,-0.1816,0.9961492734779266
Valnivudine,BRD-K00091275-001-01-9,-0.0606,0.4210955229544975,63,545,0.0552,0.0862,0.9949940755879771
NIM811,BRD-K00003331-001-01-9,-0.0606,0.8996735135790629,64,554,-0.098,-0.1516,0.9962626903601212
AMG 333,BRD-K00079528-001-02-9,-0.0604,0.8969290383570729,63,545,-0.0037,0.0172,0.9962626903601212
linaprazan,BRD-K00003366-001-01-9,-0.0601,0.8270370211257142,64,554,-0.0706,-0.1257,0.9962626903601212
milademetan,BRD-K00003406-001-01-9,-0.0598,0.5152451194090724,64,557,-0.417,-0.3473,0.9962626903601212
AS-252424,BRD-K14988953-001-04-4,-0.0597,0.4338075813273554,64,554,-0.4188,-0.3093,0.9962626903601212
CXD101,BRD-K00003388-001-01-9,-0.0594,0.6299889697653622,64,554,-2.3584,-2.3551,0.9962626903601212
retagliptin,BRD-K00003118-011-01-9,-0.0591,0.9170931186721853,64,557,-0.0785,-0.056,0.9962626903601212
sparsentan,BRD-K00003253-001-01-9,-0.0584,0.9527763017309591,64,557,0.0328,0.0297,0.9962626903601212
mertansine,BRD-K00003293-001-01-9,-0.0583,0.46708198714879223,64,554,-4.4915,-4.0891,0.9962626903601212
KPT-9274,BRD-K00004701-001-01-9,-0.0579,0.7449177025848366,64,556,-2.2189,-2.0755,0.9962626903601212
glecaprevir,BRD-K00003260-001-01-9,-0.0577,0.4693587628784972,64,557,0.0073,0.0365,0.9962626903601212
motapizone,BRD-K00004657-001-01-9,-0.0577,0.6008693334717361,64,554,-0.0498,-0.0297,0.9962626903601212
PF-06459988,BRD-K00003311-001-01-9,-0.0577,0.7382354455680458,64,556,-0.6855,-0.6497,0.9962626903601212
RP-54745,BRD-K00073937-001-02-9,-0.0576,0.7572592052530573,63,545,-1.0426,-1.0391,0.9962626903601212
tinoridine,BRD-K84313779-003-03-9,-0.0576,0.966259131954269,64,557,-0.1229,-0.1224,0.9962626903601212
LY3214996,BRD-K00003416-001-01-9,-0.0574,0.9484123644464421,64,554,-0.7081,-0.7815,0.9962626903601212
MIW-815,BRD-K00003146-318-01-9,-0.0573,0.8267597261890247,64,557,0.2112,0.195,0.9962626903601212
M8-B,BRD-K90410034-003-02-9,-0.057,0.28945615537770275,64,556,-0.0962,-0.0169,0.9514018446556411
squaric-acid-dibutyl-ester,BRD-K00004684-001-01-9,-0.0567,0.8889401629260418,64,556,0.2057,0.1235,0.9962626903601212
Ro-67-7476,BRD-K91333421-001-02-9,-0.0566,0.6736757488575394,64,554,0.0796,-0.0024,0.9962626903601212
pyrotinib,BRD-K00003463-001-01-9,-0.0562,0.7216170788786105,64,556,-0.4304,-0.451,0.9962626903601212
PF-04995274,BRD-K00004635-001-01-9,-0.0561,0.9284132165028638,64,554,0.1205,0.0869,0.9962626903601212
zinc-undecylenate,BRD-K13330768-001-02-9,-0.056,0.9266505692324888,64,554,0.0101,0.038,0.9962626903601212
AVE-3085,BRD-K00004734-001-01-9,-0.056,0.5092882364896905,64,554,-0.0333,0.0551,0.9962626903601212
dalbavancin,BRD-K30177383-001-02-9,-0.0558,0.5255552301805981,64,554,-6.2576,-6.1538,0.9962626903601212
allopurinol-riboside,BRD-K00004728-001-01-9,-0.0558,0.6796250384447291,64,554,0.2188,0.2552,0.9962626903601212
Mps-BAY-2a,BRD-K18530250-001-02-9,-0.0555,0.7063649742336304,64,554,-1.9522,-2.0229,0.9962626903601212
febuprol,BRD-K00004566-001-01-9,-0.0555,0.5931738990531881,64,554,0.1785,0.1655,0.9962626903601212
