cancer_type,gene,n_lost,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_lost,median_dep_intact,fdr,classification
Biliary Tract,CHEK1,7,27,0.1824,-0.5326,0.8575,0.7706635566553448,0.669,True,0.0155,-1.7146,-1.8382,0.9644831337782458,NOT_SIGNIFICANT
Biliary Tract,WEE1,7,27,0.3236,-0.3802,1.1921,0.35680799521750245,0.4506,True,0.167,-2.3809,-2.6605,0.845437049938457,NOT_SIGNIFICANT
Biliary Tract,CSNK2A1,7,27,-0.7985,-2.0928,0.3048,0.08871748466805066,0.0692,True,0.4704,-0.1403,-0.0642,0.6305152596018905,NOT_SIGNIFICANT
Biliary Tract,TTK,7,27,0.6042,0.0453,1.2328,0.1385474353559808,0.1628,True,0.4275,-0.7255,-0.8257,0.6305152596018905,NOT_SIGNIFICANT
Biliary Tract,FOXM1,7,27,-0.4975,-1.2331,0.0773,0.1385474353559808,0.2456,True,0.2639,-0.3791,-0.2879,0.6305152596018905,NOT_SIGNIFICANT
Biliary Tract,MYBL2,7,27,-0.6938,-1.5314,-0.093,0.12723138603201417,0.1138,True,0.4368,-0.6101,-0.385,0.6305152596018905,NOT_SIGNIFICANT
Biliary Tract,ATR,7,27,0.3306,-0.4849,1.2399,0.5876605319041358,0.4457,True,0.0398,-1.0701,-1.1072,0.8674067279414213,NOT_SIGNIFICANT
Biliary Tract,PKMYT1,7,27,0.6139,0.0288,1.3856,0.1385474353559808,0.1601,True,0.4767,-1.091,-1.3693,0.6305152596018905,NOT_SIGNIFICANT
Soft Tissue,CDK2,6,40,0.1894,-0.7314,0.9958,0.6216498898932498,0.6657,True,0.0312,-0.679,-0.7931,0.8737353149501222,NOT_SIGNIFICANT
Soft Tissue,AURKA,6,40,0.4786,-0.1565,1.2956,0.20316331510195726,0.2836,True,0.2958,-1.2727,-1.4624,0.7038417774570944,NOT_SIGNIFICANT
Soft Tissue,AURKB,6,40,0.2044,-0.9689,1.381,0.4727427742545255,0.6343,True,0.0035,-2.0465,-2.2693,0.845437049938457,NOT_SIGNIFICANT
Soft Tissue,CHEK1,6,40,-0.5755,-1.4851,0.184,0.32857131113561605,0.1897,True,0.2421,-1.883,-1.826,0.8406587537498432,NOT_SIGNIFICANT
Soft Tissue,WEE1,6,40,-0.4201,-1.2723,0.3959,0.22764804145356074,0.3428,True,0.2139,-2.929,-2.6907,0.7552133438697491,NOT_SIGNIFICANT
Soft Tissue,CSNK2A1,6,40,-0.5385,-1.1636,0.1013,0.16994179133812667,0.2319,True,0.4176,-0.1682,-0.0617,0.7038205277303086,NOT_SIGNIFICANT
Soft Tissue,TTK,6,40,0.0007,-0.5336,0.5216,0.8862671521676675,0.9987,False,0.0007,-0.8531,-0.8046,0.9931583979854626,NOT_SIGNIFICANT
Soft Tissue,FOXM1,6,40,-0.1866,-0.9841,0.5599,0.6443946445426136,0.6741,True,0.0732,-0.2622,-0.2349,0.8860426362460937,NOT_SIGNIFICANT
Soft Tissue,MYBL2,6,40,0.2914,-0.4261,0.9009,0.49281105997671143,0.511,True,0.1697,-0.2228,-0.3938,0.845437049938457,NOT_SIGNIFICANT
Soft Tissue,ATR,6,40,-0.0157,-0.4916,0.4048,0.7869508314402146,0.9687,True,0.0157,-1.168,-1.1081,0.978732511059347,NOT_SIGNIFICANT
Soft Tissue,PKMYT1,6,40,-0.0994,-1.0174,0.7094,0.9619814368143549,0.8131,False,0.0593,-1.0919,-1.1555,0.9953174271990107,NOT_SIGNIFICANT
Bowel,CDK2,10,51,-0.1131,-1.0262,0.8515,0.4770508033301232,0.7398,False,0.064,-0.678,-0.7549,0.845437049938457,NOT_SIGNIFICANT
Bowel,AURKA,10,51,-0.1723,-0.814,0.5577,0.48920550856345857,0.6113,True,0.0208,-1.3665,-1.2099,0.845437049938457,NOT_SIGNIFICANT
Bowel,AURKB,10,51,-0.4473,-1.1838,0.2544,0.2883670422297364,0.2025,True,0.2419,-2.0872,-1.9729,0.8255987921371906,NOT_SIGNIFICANT
Bowel,CHEK1,10,51,-0.1468,-0.7322,0.3927,0.7478804991592678,0.6681,True,0.0308,-1.7001,-1.7268,0.9579619857655751,NOT_SIGNIFICANT
Bowel,WEE1,10,51,0.6318,-0.114,1.4852,0.10380982338745447,0.0782,True,0.4136,-2.2334,-2.6486,0.6305152596018905,NOT_SIGNIFICANT
Bowel,CSNK2A1,10,51,0.0534,-0.6267,0.694,0.9456397559714671,0.8833,False,0.0198,-0.1237,-0.113,0.9938792990351317,NOT_SIGNIFICANT
Bowel,TTK,10,51,0.3796,-0.3369,1.0382,0.2883670422297364,0.2755,True,0.2644,-0.6558,-0.8808,0.8255987921371906,NOT_SIGNIFICANT
Bowel,FOXM1,10,51,0.6169,0.1627,1.0966,0.11235514072491819,0.0816,True,0.4768,-0.1513,-0.2451,0.6305152596018905,NOT_SIGNIFICANT
Bowel,MYBL2,10,51,-0.0217,-0.5884,0.5212,0.9146738556872386,0.9478,True,0.0062,-0.7645,-0.7138,0.9931583979854626,NOT_SIGNIFICANT
Bowel,ATR,10,51,-0.5433,-1.2707,0.0507,0.5655027028527138,0.1199,True,0.2659,-0.9745,-0.9851,0.8674067279414213,NOT_SIGNIFICANT
Bowel,PKMYT1,10,51,-0.0963,-0.6843,0.4056,0.7331666097159126,0.7861,True,0.014,-1.5875,-1.5685,0.9458754409297885,NOT_SIGNIFICANT
Skin,CDK2,9,65,-1.5447,-2.5195,-0.7474,0.0009410148709559342,0.0001,True,1.2893,-1.0193,-0.6788,0.19667210802979024,MARGINAL
Skin,AURKA,9,65,-0.4777,-1.2207,0.2049,0.4468085713491192,0.185,True,0.1793,-1.2544,-1.2663,0.845437049938457,NOT_SIGNIFICANT
Skin,AURKB,9,65,-0.4715,-1.4565,0.4196,0.1323357031177709,0.1894,True,0.2913,-2.4553,-2.1762,0.6305152596018905,NOT_SIGNIFICANT
Skin,CHEK1,9,65,-0.0364,-0.6638,0.5436,0.619796388494133,0.9165,False,0.0364,-1.8719,-1.817,0.8737353149501222,NOT_SIGNIFICANT
Skin,WEE1,9,65,-0.4736,-1.0904,0.1594,0.32106199225390664,0.18,True,0.2651,-2.9299,-2.8865,0.8406587537498432,NOT_SIGNIFICANT
Skin,CSNK2A1,9,65,0.5854,-0.2167,1.4449,0.2087951684322481,0.1035,True,0.3781,-0.0792,-0.211,0.7038417774570944,NOT_SIGNIFICANT
Skin,TTK,9,65,-0.2054,-0.6874,0.2697,0.4177331474799538,0.5622,True,0.1215,-0.9494,-0.8556,0.845437049938457,NOT_SIGNIFICANT
Skin,FOXM1,9,65,-0.0332,-0.9282,0.6979,0.6914329811428747,0.9231,False,0.0016,-0.2259,-0.2392,0.9263429042234668,NOT_SIGNIFICANT
Skin,MYBL2,9,65,-0.7066,-1.7712,0.3381,0.20286788250584742,0.0519,True,0.3875,-0.4684,-0.3099,0.7038417774570944,NOT_SIGNIFICANT
Skin,ATR,9,65,-0.2627,-1.0976,0.6282,0.8947440675645756,0.4435,True,0.0222,-1.0735,-1.1524,0.9931583979854626,NOT_SIGNIFICANT
Skin,PKMYT1,9,65,0.3728,-0.1496,0.9474,0.33745701958490304,0.2998,True,0.2187,-1.186,-1.2424,0.8406587537498432,NOT_SIGNIFICANT
Kidney,CDK2,5,28,0.8205,0.2248,1.6196,0.18954562308288667,0.0981,True,0.4727,-0.4742,-0.5716,0.7038205277303086,NOT_SIGNIFICANT
Kidney,AURKA,5,28,0.0495,-1.7673,1.7198,0.7149610678531702,0.9157,False,0.0495,-1.5144,-1.2961,0.9301616651121405,NOT_SIGNIFICANT
Kidney,AURKB,5,28,0.7388,0.1677,1.4467,0.08326591836046784,0.1348,True,0.6129,-1.9089,-2.2079,0.6305152596018905,NOT_SIGNIFICANT
Kidney,CHEK1,5,28,-0.4124,-1.5429,0.6397,0.5416203188728217,0.4088,True,0.0745,-1.8721,-1.8288,0.8575655048819677,NOT_SIGNIFICANT
Kidney,WEE1,5,28,0.2535,-0.9125,1.5926,0.98060134155796,0.603,False,0.2535,-2.9482,-2.8818,0.9998235548783166,NOT_SIGNIFICANT
Kidney,CSNK2A1,5,28,-0.5062,-0.9911,-0.021,0.5746873630633365,0.3176,True,0.3599,-0.2291,-0.1688,0.8674067279414213,NOT_SIGNIFICANT
Kidney,TTK,5,28,0.108,-0.8621,1.0923,0.7517022280648532,0.8197,False,0.0877,-0.9613,-0.7498,0.9579619857655751,NOT_SIGNIFICANT
Kidney,FOXM1,5,28,-0.2216,-1.9087,1.1337,0.6085970944146696,0.6523,False,0.2216,-0.4584,-0.2388,0.8712109091278489,NOT_SIGNIFICANT
Kidney,MYBL2,5,28,0.5054,-0.292,1.4084,0.26775541847844403,0.3108,True,0.2056,-0.154,-0.2303,0.8064929594433755,NOT_SIGNIFICANT
Kidney,ATR,5,28,-0.4775,-1.3656,0.3163,0.5094970843024236,0.3308,True,0.1592,-1.1356,-1.078,0.845437049938457,NOT_SIGNIFICANT
Kidney,PKMYT1,5,28,0.0462,-1.0541,1.3526,0.7149610678531702,0.9242,False,0.0462,-1.2738,-1.4019,0.9301616651121405,NOT_SIGNIFICANT
Pan-cancer (pooled),CDK2,306,820,-0.5239,-0.6835,-0.3789,2.923365676488384e-10,0.0001,True,0.5125,-0.8343,-0.6898,3.2157022441372224e-09,ROBUST
Pan-cancer (pooled),AURKA,306,820,-0.2079,-0.3418,-0.0772,0.005724792729141847,0.0025,True,0.1978,-1.3148,-1.2659,0.03148636001028016,ROBUST
Pan-cancer (pooled),AURKB,306,820,0.0255,-0.1019,0.1616,0.4184843968415385,0.7139,True,0.0102,-2.105,-2.1521,0.5754160456571155,NOT_SIGNIFICANT
Pan-cancer (pooled),CHEK1,306,820,-0.1191,-0.2455,0.0295,0.08755535526489273,0.0794,True,0.1072,-1.7983,-1.765,0.17532375208516363,NOT_SIGNIFICANT
Pan-cancer (pooled),WEE1,306,820,0.0254,-0.1136,0.1617,0.9375242852968511,0.7011,True,0.0127,-2.821,-2.8087,0.937524285296851,NOT_SIGNIFICANT
Pan-cancer (pooled),CSNK2A1,306,820,-0.143,-0.2679,-0.0185,0.09563113750099834,0.0319,True,0.1245,-0.0998,-0.0853,0.17532375208516363,MARGINAL
Pan-cancer (pooled),TTK,306,820,-0.0687,-0.2105,0.0895,0.2741587942977516,0.3055,True,0.058,-0.8446,-0.8117,0.43082096246789536,NOT_SIGNIFICANT
Pan-cancer (pooled),FOXM1,306,820,-0.042,-0.1746,0.0953,0.7377395810256075,0.5369,True,0.0254,-0.2466,-0.2317,0.9016817101424093,NOT_SIGNIFICANT
Pan-cancer (pooled),MYBL2,306,820,-0.1485,-0.2884,-0.0163,0.011885251030770103,0.0292,True,0.1381,-0.5497,-0.4788,0.04357925377949037,ROBUST
Pan-cancer (pooled),ATR,306,820,-0.1056,-0.2446,0.0396,0.05478043880495318,0.1149,True,0.0927,-1.1201,-1.0778,0.15064620671362125,NOT_SIGNIFICANT
Pan-cancer (pooled),PKMYT1,306,820,0.0014,-0.1347,0.1444,0.8683736573578152,0.9839,True,0.0,-1.3043,-1.3111,0.937524285296851,NOT_SIGNIFICANT
