gene	direction	transition_pathways	n_transition_pathways	msigdb_pathways	n_msigdb_pathways
IL6	up	TL1A_DR3_RHO	1	GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11
MMP9	up	TL1A_DR3_RHO	1	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	9
MMP2	up	TL1A_DR3_RHO	1	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_COLLAGEN_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	8
CDH2	up	CD38_PECAM1	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7
LOXL2	up	YAP_TAZ	1	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	7
TNF	up	TL1A_DR3_RHO	1	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING; GOBP_NEGATIVE_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_VASCULAR_WOUND_HEALING; GOBP_WOUND_HEALING	7
NFKB1	up	TL1A_DR3_RHO	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	6
RAC1	up	TL1A_DR3_RHO	1	GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY; REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION; REACTOME_SIGNALING_BY_WNT	6
VIM	up	CD38_PECAM1	1	GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5
TNC	up	YAP_TAZ	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	5
SNAI1	up	CD38_PECAM1	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_WNT_SIGNALING_PATHWAY; REACTOME_EPITHELIAL_MESENCHYMAL_TRANSITION_EMT_DURING_GASTRULATION	4
ZEB1	up	CD38_PECAM1	1	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	4
SRF	up	YAP_TAZ	1	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_HIPPOCAMPUS_DEVELOPMENT; GOBP_WOUND_HEALING	4
CDC42	up	TL1A_DR3_RHO	1	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	4
TEAD1	up	YAP_TAZ	1	GOBP_HIPPO_SIGNALING; REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION; REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	3
TEAD2	up	YAP_TAZ	1	GOBP_HIPPO_SIGNALING; REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION; REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	3
TEAD4	up	YAP_TAZ	1	GOBP_HIPPO_SIGNALING; REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION; REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	3
AMOTL2	up	YAP_TAZ	1	GOBP_HIPPO_SIGNALING; GOBP_WNT_SIGNALING_PATHWAY; REACTOME_SIGNALING_BY_HIPPO	3
PECAM1	up	CD38_PECAM1	1	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	2
MYL9	up	YAP_TAZ	1	GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2
POSTN	up	YAP_TAZ	1	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2
MYH9	up	TL1A_DR3_RHO	1	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_WOUND_HEALING	2
IL13	up	TL1A_DR3_RHO	1	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	2
NAMPT	up	CD38_PECAM1	1	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	1
ANKRD1	up	YAP_TAZ	1	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	1
AXL	up	YAP_TAZ	1	GOBP_WOUND_HEALING	1
MRTFA	up	YAP_TAZ	1	GOBP_WOUND_HEALING	1
RHOB	up	TL1A_DR3_RHO	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1
RHOC	up	TL1A_DR3_RHO	1	GOBP_WOUND_HEALING	1
CD38	up	CD38_PECAM1	1		0
CD31	up	CD38_PECAM1	1		0
TWIST1	up	CD38_PECAM1	1		0
CTGF	up	YAP_TAZ	1		0
CYR61	up	YAP_TAZ	1		0
FAK	up	YAP_TAZ	1		0
TNFSF15	up	TL1A_DR3_RHO	1		0
TNFRSF25	up	TL1A_DR3_RHO	1		0
RELA	up	TL1A_DR3_RHO	1		0
NFKBIA	up	TL1A_DR3_RHO	1		0
LIMK1	up	TL1A_DR3_RHO	1		0
DIAPH1	up	TL1A_DR3_RHO	1		0
IL1B	up	TL1A_DR3_RHO	1		0
IL33	up	TL1A_DR3_RHO	1		0
IL17A	up	TL1A_DR3_RHO	1		0
CXCL9	up	TL1A_DR3_RHO	1		0
