drug_name,targets,pathway_id,pathway_name,raw_distance,z_score,p_value,proximity_score,significant
CANNABINOL,CNR1;CNR2,GO:0007409,axonogenesis,3.25,-0.0694,0.472347,0.0139,False
CANNABINOL,CNR1;CNR2,GO:0021987,cerebral cortex development,3.5,0.3048,0.61975,0.0,False
CANNABINOL,CNR1;CNR2,GO:0030182,neuron differentiation,3.25,0.3801,0.648079,0.0,False
CANNABINOL,CNR1;CNR2,GO:0001764,neuron migration,3.0,0.438,0.669315,0.0,False
CANNABINOL,CNR1;CNR2,GO:0050804,modulation of chemical synaptic transmission,3.25,0.6986,0.757586,0.0,False
CANNABINOL,CNR1;CNR2,GO:0048699,generation of neurons,3.3333,0.296,0.616389,0.0,False
CANNABINOL,CNR1;CNR2,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
CARBACHOL,CHRM1;CHRM4,R-HSA-112316,neuronal system,3.1429,0.0936,0.537301,0.0,False
CARBACHOL,CHRM1;CHRM4,GO:0007399,nervous system development,3.1667,0.0416,0.516593,0.0,False
CARBACHOL,CHRM1;CHRM4,GO:0007268,chemical synaptic transmission,3.125,0.3143,0.623336,0.0,False
CARBACHOL,CHRM1;CHRM4,hsa04728,dopaminergic synapse,2.6667,-0.1818,0.427863,0.0364,False
CARBACHOL,CHRM1;CHRM4,GO:0007409,axonogenesis,3.0,-0.7238,0.234587,0.1448,False
CARBACHOL,CHRM1;CHRM4,GO:0021987,cerebral cortex development,3.5,0.3048,0.61975,0.0,False
CARBACHOL,CHRM1;CHRM4,GO:0030182,neuron differentiation,3.0,-0.3398,0.366995,0.068,False
CARBACHOL,CHRM1;CHRM4,GO:0001764,neuron migration,2.5,-0.7027,0.241133,0.1405,False
CARBACHOL,CHRM1;CHRM4,GO:0050804,modulation of chemical synaptic transmission,3.0,0.1379,0.554847,0.0,False
CARBACHOL,CHRM1;CHRM4,GO:0048699,generation of neurons,3.0,-0.5595,0.287907,0.1119,False
CARBACHOL,CHRM1;CHRM4,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
CARBETAPENTANE,CHRM1,R-HSA-112316,neuronal system,3.1429,-0.7245,0.234364,0.1449,False
CARBETAPENTANE,CHRM1,GO:0007399,nervous system development,3.1667,-0.7904,0.21466,0.1581,False
CARBETAPENTANE,CHRM1,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
CARBETAPENTANE,CHRM1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
CARBETAPENTANE,CHRM1,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
CARBETAPENTANE,CHRM1,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CARBETAPENTANE,CHRM1,GO:0030182,neuron differentiation,3.0,-1.0634,0.143807,0.2127,False
CARBETAPENTANE,CHRM1,GO:0001764,neuron migration,2.5,-1.0992,0.135838,0.2198,False
CARBETAPENTANE,CHRM1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
CARBETAPENTANE,CHRM1,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
CARBETAPENTANE,CHRM1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CGP-71683A,ADRA2A,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
CGP-71683A,ADRA2A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
CGP-71683A,ADRA2A,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
CGP-71683A,ADRA2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
CGP-71683A,ADRA2A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
CGP-71683A,ADRA2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CGP-71683A,ADRA2A,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
CGP-71683A,ADRA2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
CGP-71683A,ADRA2A,GO:0050804,modulation of chemical synaptic transmission,3.5,0.4315,0.666946,0.0,False
CGP-71683A,ADRA2A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
CGP-71683A,ADRA2A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
CGS-8216,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
CGS-8216,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
CGS-8216,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
CGS-8216,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
CGS-8216,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
CGS-8216,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
CGS-8216,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
CGS-8216,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
CGS-8216,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
CGS-8216,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
CGS-8216,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CGS-9896,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
CGS-9896,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
CGS-9896,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
CGS-9896,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
CGS-9896,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
CGS-9896,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
CGS-9896,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
CGS-9896,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
CGS-9896,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
CGS-9896,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
CGS-9896,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,R-HSA-112316,neuronal system,3.1429,0.0936,0.537301,0.0,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0007399,nervous system development,3.0,-0.4784,0.316168,0.0957,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0007268,chemical synaptic transmission,2.875,-0.4065,0.342183,0.0813,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,hsa04728,dopaminergic synapse,2.0,-1.8052,0.035522,0.361,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0007409,axonogenesis,3.0,-0.7238,0.234587,0.1448,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0021987,cerebral cortex development,3.0,-0.7996,0.211968,0.1599,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0030182,neuron differentiation,2.75,-1.0598,0.144621,0.212,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0001764,neuron migration,3.0,0.438,0.669315,0.0,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0050804,modulation of chemical synaptic transmission,3.0,0.1379,0.554847,0.0,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,GO:0048699,generation of neurons,3.0,-0.5595,0.287907,0.1119,False
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
CI-1007,DRD2;DRD3;DRD4,R-HSA-112316,neuronal system,3.1429,0.6705,0.74874,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0007399,nervous system development,3.5,1.8563,0.968293,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0007268,chemical synaptic transmission,2.75,-0.2742,0.391963,0.0548,False
CI-1007,DRD2;DRD3;DRD4,hsa04728,dopaminergic synapse,2.0,-1.4919,0.067867,0.2984,False
CI-1007,DRD2;DRD3;DRD4,GO:0007409,axonogenesis,3.25,0.4515,0.674202,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0021987,cerebral cortex development,4.0,1.8442,0.967426,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0030182,neuron differentiation,3.5,1.7071,0.956094,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0001764,neuron migration,3.5,1.9796,0.976127,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0050804,modulation of chemical synaptic transmission,3.25,1.164,0.877788,0.0,False
CI-1007,DRD2;DRD3;DRD4,GO:0048699,generation of neurons,3.6667,1.6837,0.95388,0.0,False
CI-1007,DRD2;DRD3;DRD4,hsa04330,Notch signaling pathway,3.0,0.048,0.519144,0.0,False
CINANSERIN,HTR2C,R-HSA-112316,neuronal system,3.5714,0.2644,0.604253,0.0,False
CINANSERIN,HTR2C,GO:0007399,nervous system development,3.3333,-0.3964,0.34592,0.0793,False
CINANSERIN,HTR2C,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
CINANSERIN,HTR2C,hsa04728,dopaminergic synapse,2.3333,-1.3942,0.081628,0.2788,False
CINANSERIN,HTR2C,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
CINANSERIN,HTR2C,GO:0021987,cerebral cortex development,3.0,-1.2534,0.105035,0.2507,False
CINANSERIN,HTR2C,GO:0030182,neuron differentiation,3.25,-0.4842,0.314125,0.0968,False
CINANSERIN,HTR2C,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
CINANSERIN,HTR2C,GO:0050804,modulation of chemical synaptic transmission,3.25,-0.0656,0.473841,0.0131,False
CINANSERIN,HTR2C,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
CINANSERIN,HTR2C,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
CIPROXIFAN,HRH3,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
CIPROXIFAN,HRH3,GO:0007399,nervous system development,3.8333,0.7856,0.783957,0.0,False
CIPROXIFAN,HRH3,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
CIPROXIFAN,HRH3,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
CIPROXIFAN,HRH3,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
CIPROXIFAN,HRH3,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CIPROXIFAN,HRH3,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
CIPROXIFAN,HRH3,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
CIPROXIFAN,HRH3,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
CIPROXIFAN,HRH3,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
CIPROXIFAN,HRH3,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
CITALOPRAM,SLC6A4,R-HSA-112316,neuronal system,3.0,-1.0542,0.145898,0.2108,False
CITALOPRAM,SLC6A4,GO:0007399,nervous system development,3.1667,-0.7904,0.21466,0.1581,False
CITALOPRAM,SLC6A4,GO:0007268,chemical synaptic transmission,2.625,-1.7178,0.042919,0.3436,False
CITALOPRAM,SLC6A4,hsa04728,dopaminergic synapse,1.6667,-2.6582,0.003928,0.5316,True
CITALOPRAM,SLC6A4,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
CITALOPRAM,SLC6A4,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CITALOPRAM,SLC6A4,GO:0030182,neuron differentiation,3.25,-0.4842,0.314125,0.0968,False
CITALOPRAM,SLC6A4,GO:0001764,neuron migration,2.5,-1.0992,0.135838,0.2198,False
CITALOPRAM,SLC6A4,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
CITALOPRAM,SLC6A4,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
CITALOPRAM,SLC6A4,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CLEBOPRIDE,DRD3,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
CLEBOPRIDE,DRD3,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
CLEBOPRIDE,DRD3,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
CLEBOPRIDE,DRD3,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
CLEBOPRIDE,DRD3,GO:0007409,axonogenesis,3.75,0.2716,0.607031,0.0,False
CLEBOPRIDE,DRD3,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
CLEBOPRIDE,DRD3,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
CLEBOPRIDE,DRD3,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
CLEBOPRIDE,DRD3,GO:0050804,modulation of chemical synaptic transmission,3.25,-0.0656,0.473841,0.0131,False
CLEBOPRIDE,DRD3,GO:0048699,generation of neurons,3.6667,0.2127,0.584225,0.0,False
CLEBOPRIDE,DRD3,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CLOBENPROPIT,HRH3,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
CLOBENPROPIT,HRH3,GO:0007399,nervous system development,3.8333,0.7856,0.783957,0.0,False
CLOBENPROPIT,HRH3,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
CLOBENPROPIT,HRH3,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
CLOBENPROPIT,HRH3,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
CLOBENPROPIT,HRH3,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CLOBENPROPIT,HRH3,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
CLOBENPROPIT,HRH3,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
CLOBENPROPIT,HRH3,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
CLOBENPROPIT,HRH3,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
CLOBENPROPIT,HRH3,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
CLOMIPRAMINE,SLC6A4,R-HSA-112316,neuronal system,3.0,-1.0542,0.145898,0.2108,False
CLOMIPRAMINE,SLC6A4,GO:0007399,nervous system development,3.1667,-0.7904,0.21466,0.1581,False
CLOMIPRAMINE,SLC6A4,GO:0007268,chemical synaptic transmission,2.625,-1.7178,0.042919,0.3436,False
CLOMIPRAMINE,SLC6A4,hsa04728,dopaminergic synapse,1.6667,-2.6582,0.003928,0.5316,True
CLOMIPRAMINE,SLC6A4,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
CLOMIPRAMINE,SLC6A4,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CLOMIPRAMINE,SLC6A4,GO:0030182,neuron differentiation,3.25,-0.4842,0.314125,0.0968,False
CLOMIPRAMINE,SLC6A4,GO:0001764,neuron migration,2.5,-1.0992,0.135838,0.2198,False
CLOMIPRAMINE,SLC6A4,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
CLOMIPRAMINE,SLC6A4,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
CLOMIPRAMINE,SLC6A4,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CLONIDINE,ADRA2A,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
CLONIDINE,ADRA2A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
CLONIDINE,ADRA2A,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
CLONIDINE,ADRA2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
CLONIDINE,ADRA2A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
CLONIDINE,ADRA2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
CLONIDINE,ADRA2A,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
CLONIDINE,ADRA2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
CLONIDINE,ADRA2A,GO:0050804,modulation of chemical synaptic transmission,3.5,0.4315,0.666946,0.0,False
CLONIDINE,ADRA2A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
CLONIDINE,ADRA2A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,R-HSA-112316,neuronal system,3.0,1.8168,0.965379,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0007399,nervous system development,3.0,1.6155,0.946903,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0007268,chemical synaptic transmission,2.5,0.4196,0.662629,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,hsa04728,dopaminergic synapse,2.0,-0.2757,0.391394,0.0551,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0007409,axonogenesis,2.75,0.4013,0.655882,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0021987,cerebral cortex development,3.0,0.4519,0.674342,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0030182,neuron differentiation,2.75,0.6852,0.753407,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0001764,neuron migration,2.5,0.6963,0.756893,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0050804,modulation of chemical synaptic transmission,3.0,1.9052,0.971626,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,GO:0048699,generation of neurons,3.0,1.2246,0.889633,0.0,False
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,hsa04330,Notch signaling pathway,3.0,0.5947,0.72399,0.0,False
COCAINE,SLC6A4,R-HSA-112316,neuronal system,3.0,-1.0542,0.145898,0.2108,False
COCAINE,SLC6A4,GO:0007399,nervous system development,3.1667,-0.7904,0.21466,0.1581,False
COCAINE,SLC6A4,GO:0007268,chemical synaptic transmission,2.625,-1.7178,0.042919,0.3436,False
COCAINE,SLC6A4,hsa04728,dopaminergic synapse,1.6667,-2.6582,0.003928,0.5316,True
COCAINE,SLC6A4,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
COCAINE,SLC6A4,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
COCAINE,SLC6A4,GO:0030182,neuron differentiation,3.25,-0.4842,0.314125,0.0968,False
COCAINE,SLC6A4,GO:0001764,neuron migration,2.5,-1.0992,0.135838,0.2198,False
COCAINE,SLC6A4,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
COCAINE,SLC6A4,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
COCAINE,SLC6A4,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
CP-55940,CNR1;CNR2,R-HSA-112316,neuronal system,3.2857,0.4806,0.684587,0.0,False
CP-55940,CNR1;CNR2,GO:0007399,nervous system development,3.5,1.0817,0.860305,0.0,False
CP-55940,CNR1;CNR2,GO:0007268,chemical synaptic transmission,3.125,0.3143,0.623336,0.0,False
CP-55940,CNR1;CNR2,hsa04728,dopaminergic synapse,2.3333,-0.9935,0.160232,0.1987,False
CP-55940,CNR1;CNR2,GO:0007409,axonogenesis,3.25,-0.0694,0.472347,0.0139,False
CP-55940,CNR1;CNR2,GO:0021987,cerebral cortex development,3.5,0.3048,0.61975,0.0,False
CP-55940,CNR1;CNR2,GO:0030182,neuron differentiation,3.25,0.3801,0.648079,0.0,False
CP-55940,CNR1;CNR2,GO:0001764,neuron migration,3.0,0.438,0.669315,0.0,False
CP-55940,CNR1;CNR2,GO:0050804,modulation of chemical synaptic transmission,3.25,0.6986,0.757586,0.0,False
CP-55940,CNR1;CNR2,GO:0048699,generation of neurons,3.3333,0.296,0.616389,0.0,False
CP-55940,CNR1;CNR2,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
CREMASTRINE,CHRM4,R-HSA-112316,neuronal system,4.0,1.2533,0.89495,0.0,False
CREMASTRINE,CHRM4,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
CREMASTRINE,CHRM4,GO:0007268,chemical synaptic transmission,3.75,0.9186,0.820859,0.0,False
CREMASTRINE,CHRM4,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
CREMASTRINE,CHRM4,GO:0007409,axonogenesis,4.0,0.8351,0.798157,0.0,False
CREMASTRINE,CHRM4,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
CREMASTRINE,CHRM4,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
CREMASTRINE,CHRM4,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
CREMASTRINE,CHRM4,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
CREMASTRINE,CHRM4,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
CREMASTRINE,CHRM4,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
CYPROHEPTADINE,HTR2A;HTR2C,R-HSA-112316,neuronal system,3.1429,0.0936,0.537301,0.0,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0007399,nervous system development,3.0,-0.4784,0.316168,0.0957,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0007268,chemical synaptic transmission,2.875,-0.4065,0.342183,0.0813,False
CYPROHEPTADINE,HTR2A;HTR2C,hsa04728,dopaminergic synapse,2.0,-1.8052,0.035522,0.361,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0007409,axonogenesis,3.0,-0.7238,0.234587,0.1448,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0021987,cerebral cortex development,3.0,-0.7996,0.211968,0.1599,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0030182,neuron differentiation,2.75,-1.0598,0.144621,0.212,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0001764,neuron migration,3.0,0.438,0.669315,0.0,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0050804,modulation of chemical synaptic transmission,3.0,0.1379,0.554847,0.0,False
CYPROHEPTADINE,HTR2A;HTR2C,GO:0048699,generation of neurons,3.0,-0.5595,0.287907,0.1119,False
CYPROHEPTADINE,HTR2A;HTR2C,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
DABUZALGRON,ADRA2A,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
DABUZALGRON,ADRA2A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
DABUZALGRON,ADRA2A,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
DABUZALGRON,ADRA2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
DABUZALGRON,ADRA2A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
DABUZALGRON,ADRA2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
DABUZALGRON,ADRA2A,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
DABUZALGRON,ADRA2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
DABUZALGRON,ADRA2A,GO:0050804,modulation of chemical synaptic transmission,3.5,0.4315,0.666946,0.0,False
DABUZALGRON,ADRA2A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
DABUZALGRON,ADRA2A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
DARIFENACIN,CHRM4,R-HSA-112316,neuronal system,4.0,1.2533,0.89495,0.0,False
DARIFENACIN,CHRM4,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
DARIFENACIN,CHRM4,GO:0007268,chemical synaptic transmission,3.75,0.9186,0.820859,0.0,False
DARIFENACIN,CHRM4,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
DARIFENACIN,CHRM4,GO:0007409,axonogenesis,4.0,0.8351,0.798157,0.0,False
DARIFENACIN,CHRM4,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
DARIFENACIN,CHRM4,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
DARIFENACIN,CHRM4,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
DARIFENACIN,CHRM4,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
DARIFENACIN,CHRM4,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
DARIFENACIN,CHRM4,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
DASB,SLC6A4,R-HSA-112316,neuronal system,3.0,-1.0542,0.145898,0.2108,False
DASB,SLC6A4,GO:0007399,nervous system development,3.1667,-0.7904,0.21466,0.1581,False
DASB,SLC6A4,GO:0007268,chemical synaptic transmission,2.625,-1.7178,0.042919,0.3436,False
DASB,SLC6A4,hsa04728,dopaminergic synapse,1.6667,-2.6582,0.003928,0.5316,True
DASB,SLC6A4,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
DASB,SLC6A4,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
DASB,SLC6A4,GO:0030182,neuron differentiation,3.25,-0.4842,0.314125,0.0968,False
DASB,SLC6A4,GO:0001764,neuron migration,2.5,-1.0992,0.135838,0.2198,False
DASB,SLC6A4,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
DASB,SLC6A4,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
DASB,SLC6A4,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
DESIPRAMINE,HTR2A,R-HSA-112316,neuronal system,3.1429,-0.7245,0.234364,0.1449,False
DESIPRAMINE,HTR2A,GO:0007399,nervous system development,3.3333,-0.3964,0.34592,0.0793,False
DESIPRAMINE,HTR2A,GO:0007268,chemical synaptic transmission,2.875,-1.1319,0.128838,0.2264,False
