drug_name,targets,n_targets,n_target_classes,target_classes,n_pathways_binary,n_pathways_proximity,effective_coverage,covered_pathways,total_proximity_score,binary_score,proximity_score_norm,diversity_score,composite_score,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant,in_ts_trials
ARECOLINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
ATROPINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
CARBACHOL,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
HIMBACINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
METHSCOPOLAMINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
MUSCARINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
OXOTREMORINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
PIRENZEPINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
SABCOMELINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
TRIHEXYPHENIDYL HYDROCHLORIDE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
XANOMELINE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,10,0.58,tier_2_acceptable,True,False
A-1155463,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
A-1596584,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
A-1596586,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
ABECARNIL,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
ALISERTIB,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
ALOGABAT,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
ALPRAZOLAM,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
AZD6280,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
AZD7325,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
BASMISANIL,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
BAY-207,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
BAY-826,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
BAY-974,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
BETA-CCM,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
BTZO-1,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
CGS-8216,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
CGS-9896,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
DIAZEPAM,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
ESZOPICLONE,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
FLUMAZENIL,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
FLUNITRAZEPAM,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
MLN-8054,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
MRL-SYKi-NC,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
PENTOBARBITAL,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
Ro-154513,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
TP-030-1,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
TP-030-2,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
TRIAZOLAM,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
ZOLPIDEM,GABRA1,1,1,gaba,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.4382,0.75,0.0876,0.25,0.3932,,,,,
4-DAMP,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
ACETYLCHOLINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
AMOXAPINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
ASTEMIZOLE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
BENZETHONIUM CHLORIDE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
BENZTROPINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
CREMASTRINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
DARIFENACIN,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
METHOCTRAMINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
N-DESMETHYLCLOZAPINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
NANTENINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
NOCARDIMICIN B,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
PIPERTRAMINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
PIPERTRAMINE AMIDE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
TOLTERODINE,CHRM4,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.072,0.75,0.0144,0.25,0.3675,,,,,
DEXANABINOL,CNR1,1,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,1.1261,0.5,0.2252,0.25,0.3413,,,,,
IBIPINABANT,CNR1,1,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,1.1261,0.5,0.2252,0.25,0.3413,,,,,
LINOLEOYLETHANOLAMIDE,CNR1,1,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,1.1261,0.5,0.2252,0.25,0.3413,,,,,
ORLISTAT,CNR1,1,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,1.1261,0.5,0.2252,0.25,0.3413,,,,,
ANANDAMIDE,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
CANNABINOL,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
CP-55940,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
DRONABINOL,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
INDOMETHACIN,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
INDOMETHACIN MORPHOLINYLAMIDE,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
NABILONE,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
RAC-IBIPINABANT,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
RIMONABANT,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
SURINABANT,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
WIN-552122,CNR1;CNR2,2,1,cannabinoid,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.2698,0.5,0.054,0.25,0.2814,,,,,
ACETOPROXIFAN,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
APLYSAMINE,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
BURIMAMIDE,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
CIPROXIFAN,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
CLOBENPROPIT,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
HISTAMINE,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
IMETIT,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
IMPROMIDINE,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
IODOPROXYFAN,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
JNJ-5207852,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
PROXYFAN,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
THIOPERAMIDE,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
VUF-5296,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
VUF-5297,HRH3,1,1,histamine,2,0,2,chemical synaptic transmission;modulation of synaptic transmission,0.264,0.5,0.0528,0.25,0.281,,,,,
OLEOYLETHANOLAMIDE,CNR2,1,1,cannabinoid,1,0,1,chemical synaptic transmission,0.026,0.25,0.0052,0.25,0.1643,,,,,
SR-144528,CNR2,1,1,cannabinoid,1,0,1,chemical synaptic transmission,0.026,0.25,0.0052,0.25,0.1643,,,,,
