treatment_id,compound,compound_key,d,pvalue,n_mut,n_wt,median_sens_mut,median_sens_wt,qvalue
BRD:BRD-K48722833-001-07-6,,BRD-K48722833,-0.0881,0.5868519799833575,32,407,0.2091,0.2947,0.9424815816773471
BRD:BRD-K00003427-001-01-9,ilaprazole,BRD-K00003427,-0.088,0.5762761447832871,38,571,-0.0189,-0.016,0.9415830084288643
BRD:BRD-A49906757-004-09-8,,BRD-A49906757,-0.088,0.58020522033517,32,409,-0.0731,-0.1154,0.9415830084288643
BRD:BRD-K46556543-001-01-4,,BRD-K46556543,-0.0879,0.5602277864878096,32,408,0.0051,0.0552,0.93886015049122
BRD:BRD-K78789465-001-01-6,,BRD-K78789465,-0.0878,0.6421550517642791,31,401,-0.1088,-0.1701,0.9570067734367405
BRD:BRD-K92984783-003-05-7,,BRD-K92984783,-0.0878,0.630890693840647,32,409,-0.2434,-0.1654,0.953884652516597
BRD:BRD-A48180038-003-24-3,,BRD-A48180038,-0.0878,0.5888520560731973,32,407,0.1287,0.275,0.9441099080842998
BRD:BRD-K03765900-001-01-9,,BRD-K03765900,-0.0878,0.6210386907956853,31,395,-0.1943,-0.1223,0.9521648325845178
BRD:BRD-K00004627-001-01-9,tipelukast,BRD-K00004627,-0.0878,0.5096745152325801,38,574,-0.0336,-0.016,0.9297863492886044
BRD:BRD-K89272869-003-01-8,,BRD-K89272869,-0.0878,0.6441667854660892,31,396,0.0322,0.0302,0.9573210112994377
BRD:BRD-A88562598-001-01-7,,BRD-A88562598,-0.0878,0.610275140933541,31,395,0.0083,0.0108,0.9468029192320234
BRD:BRD-K05355328-001-02-9,anagliptin,BRD-K05355328,-0.0877,0.5106119849980085,38,573,-0.1698,-0.0838,0.9297863492886044
BRD:BRD-K61032563-001-02-9,,BRD-K61032563,-0.0876,0.5218389384232337,31,408,0.1715,0.2113,0.9301021755762229
BRD:BRD-K63068307-001-08-9,,BRD-K63068307,-0.0876,0.5930155758240295,31,408,-0.8565,-0.7754,0.9443855429749604
BRD:BRD-K33864865-001-02-5,,BRD-K33864865,-0.0876,0.6080856009982567,32,408,-0.068,-0.0962,0.9468029192320234
BRD:BRD-K00003166-001-01-9,GSK189254,BRD-K00003166,-0.0875,0.5735414176954329,38,573,0.27,0.2183,0.9415830084288643
BRD:BRD-K71823332-001-03-7,,BRD-K71823332,-0.0874,0.6011903028563356,31,406,-2.1413,-2.2488,0.9467321636536801
BRD:BRD-K82818427-001-02-2,,BRD-K82818427,-0.0874,0.5922779311000537,27,387,-0.0767,-0.1693,0.9443855429749604
BRD:BRD-K04301924-236-03-2,ceftizoxim,BRD-K04301924,-0.0873,0.4905386467744875,38,571,0.1369,0.2128,0.9260032856323154
BRD:BRD-K25863791-001-01-8,,BRD-K25863791,-0.0873,0.6037924889748728,31,347,0.3001,0.3477,0.9468029192320234
BRD:BRD-K00077698-001-02-9,Bimosiamose,BRD-K00077698,-0.0872,0.487809318070436,38,561,-0.0242,0.005,0.9258505829176604
BRD:BRD-K46648676-001-01-8,gallium-triquinolin-8-olate,BRD-K46648676,-0.087,0.5076030135532954,38,573,-0.1938,-0.1492,0.9297863492886044
BRD:BRD-K92435527-001-03-9,PF-04885614,BRD-K92435527,-0.087,0.5516404781313287,38,573,-0.0896,0.0073,0.93754843116205
BRD:BRD-A48015106-004-08-9,,BRD-A48015106,-0.087,0.6244785837014396,32,410,-0.2808,-0.2474,0.9537133565750731
BRD:BRD-K00003122-001-01-9,prinomastat,BRD-K00003122,-0.0869,0.5093422761641531,38,573,0.096,0.1523,0.9297863492886044
BRD:BRD-A27732521-003-08-3,,BRD-A27732521,-0.0868,0.5653257091496396,31,401,-0.4861,-0.4881,0.939717595992703
BRD:BRD-K04643877-001-03-2,,BRD-K04643877,-0.0866,0.6565736050624676,31,395,-0.0585,-0.0954,0.9581205197451441
BRD:BRD-K17443395-065-02-2,,BRD-K17443395,-0.0866,0.7008024769594856,32,409,-0.1518,-0.1565,0.9644726122425853
BRD:BRD-K39915878-036-24-4,,BRD-K39915878,-0.0865,0.5967943047195107,31,401,-0.0653,-0.0124,0.9467321636536801
BRD:BRD-K00004553-001-01-9,SAM-315,BRD-K00004553,-0.0865,0.5447246453931393,38,574,-0.0513,-0.0539,0.93754843116205
BRD:BRD-K77817104-001-02-9,N-(p-amylcinnamoyl)-anthranilic-acid,BRD-K77817104,-0.0865,0.5212871002794727,38,574,-0.119,-0.0173,0.9301021755762229
BRD:BRD-K00004736-001-01-9,betamethasone-butyrate-propionate,BRD-K00004736,-0.0862,0.5469277975973875,38,571,-0.1666,-0.0355,0.93754843116205
BRD:BRD-K74759733-065-01-4,,BRD-K74759733,-0.0862,0.6282164535256085,31,396,0.0719,0.0928,0.953884652516597
BRD:BRD-K00003359-001-01-9,BAY-1436032,BRD-K00003359,-0.0859,0.5902191078925765,38,571,0.0014,0.0195,0.9443855429749604
BRD:BRD-K19412355-001-01-0,,BRD-K19412355,-0.0858,0.5781253237905113,32,393,-0.1268,-0.0285,0.9415830084288643
BRD:BRD-K00004286-001-01-9,SCH-221510,BRD-K00004286,-0.0858,0.5155543777201823,38,571,-0.0505,-0.019,0.9297863492886044
BRD:BRD-A43082555-001-01-1,,BRD-A43082555,-0.0857,0.6269047263928375,31,401,0.057,0.0697,0.953884652516597
BRD:BRD-K18772613-303-02-4,,BRD-K18772613,-0.0857,0.6236586453053394,32,408,-0.0393,-0.0113,0.9529743352424623
BRD:BRD-A64743628-001-01-5,,BRD-A64743628,-0.0856,0.6880044101734625,32,410,-0.543,-0.5282,0.9644726122425853
BRD:BRD-A36267905-003-18-4,,BRD-A36267905,-0.0856,0.6890700312288582,32,393,-1.7842,-1.6289,0.9644726122425853
BRD:BRD-A01412266-001-01-0,,BRD-A01412266,-0.0856,0.7141599836158136,31,404,0.0013,0.0098,0.9685152255123978
BRD:BRD-K96295391-300-01-7,,BRD-K96295391,-0.0855,0.6334010483801267,31,347,-0.2199,-0.2366,0.953884652516597
BRD:BRD-K92988025-001-01-9,,BRD-K92988025,-0.0855,0.6314946997468905,27,387,0.1022,0.106,0.953884652516597
BRD:BRD-K26341917-001-01-3,,BRD-K26341917,-0.0855,0.6283675319192649,32,407,0.376,0.3943,0.953884652516597
BRD:BRD-K62996583-001-10-3,,BRD-K62996583,-0.0853,0.5428982812598971,32,407,0.1746,0.1879,0.93754843116205
BRD:BRD-A13293292-001-02-6,,BRD-A13293292,-0.0853,0.6673498576905341,31,346,0.1113,0.1259,0.962067547368314
BRD:BRD-K11911061-003-11-9,,BRD-K11911061,-0.0851,0.7024645730643665,32,409,0.2146,0.1379,0.9644726122425853
BRD:BRD-K32033120-001-01-1,,BRD-K32033120,-0.0849,0.5405966373478864,31,346,-0.4643,-0.4269,0.93754843116205
BRD:BRD-K35629949-001-02-0,,BRD-K35629949,-0.0848,0.5777828849431118,31,404,-1.2079,-1.0016,0.9415830084288643
BRD:BRD-A19633847-050-32-1,,BRD-A19633847,-0.0848,0.5630123203334344,32,411,-0.1091,-0.0739,0.939045358649968
BRD:BRD-K00004569-001-01-9,ICI-169369,BRD-K00004569,-0.0848,0.47700021535643483,38,571,0.1739,0.131,0.9258505829176604
BRD:BRD-K21908111-001-01-8,,BRD-K21908111,-0.0848,0.6528601142179281,32,407,-0.2618,-0.2494,0.9573210112994377
BRD:BRD-K23005288-001-01-8,,BRD-K23005288,-0.0846,0.6267835186317986,31,347,-0.1952,-0.1855,0.953884652516597
BRD:BRD-K00079239-001-02-9,E1210,BRD-K00079239,-0.0845,0.6622961730757481,38,561,-0.2553,-0.1803,0.9607314874740128
BRD:BRD-K39467894-001-06-7,,BRD-K39467894,-0.0845,0.6092232514475207,32,393,-0.1445,-0.133,0.9468029192320234
BRD:BRD-K48722258-300-10-2,,BRD-K48722258,-0.0845,0.5480945168900856,31,401,-0.0147,0.0147,0.93754843116205
BRD:BRD-K73738482-001-01-7,NS-1643,BRD-K73738482,-0.0844,0.6604253004564317,38,573,-0.1815,-0.0441,0.9603046885424537
BRD:BRD-K70792160-003-04-6,,BRD-K70792160,-0.0844,0.6633027074740057,32,411,-0.0925,-0.056,0.9607314874740128
BRD:BRD-K66175015-001-09-0,,BRD-K66175015,-0.0843,0.6333946806408882,31,401,-0.1964,0.0216,0.953884652516597
BRD:BRD-K29322660-001-01-9,,BRD-K29322660,-0.0843,0.5626111643870836,32,411,-0.4735,-0.4235,0.939045358649968
BRD:BRD-K58319700-001-01-1,,BRD-K58319700,-0.0843,0.6544926527680311,31,347,0.1657,0.2248,0.9573210112994377
BRD:BRD-K73565918-003-02-9,AS-2444697,BRD-K73565918,-0.084,0.717298998224483,38,571,-0.2763,-0.3488,0.9685152255123978
BRD:BRD-A14240607-003-26-1,,BRD-A14240607,-0.0838,0.5771062433053634,31,401,-0.4506,-0.3556,0.9415830084288643
BRD:BRD-K77987382-001-13-2,,BRD-K77987382,-0.0835,0.6288613172445933,32,410,-1.3027,-1.342,0.953884652516597
BRD:BRD-K72951360-001-01-4,,BRD-K72951360,-0.0828,0.6466673787310692,31,406,-2.3562,-2.0753,0.9573210112994377
BRD:BRD-K73529671-001-04-5,,BRD-K73529671,-0.0825,0.667737218663953,32,408,-0.092,-0.0992,0.9622104657742446
BRD:BRD-K00078514-003-02-9,Etelcalcetide (hydrochloride),BRD-K00078514,-0.0825,0.43815807147601565,38,561,-0.0571,-0.0091,0.9128853345572709
BRD:BRD-A14262390-065-01-8,,BRD-A14262390,-0.0824,0.6631281186805956,32,393,-0.3449,-0.307,0.9607314874740128
BRD:BRD-K65786282-001-07-5,,BRD-K65786282,-0.0823,0.5461453733988425,32,409,0.0609,0.0269,0.93754843116205
BRD:BRD-K86932920-001-02-9,BAY-60-7550,BRD-K86932920,-0.0821,0.5224038197304824,38,571,-0.1345,-0.1457,0.9301021755762229
BRD:BRD-K92830582-003-10-5,,BRD-K92830582,-0.082,0.639458099431156,31,406,-0.1738,-0.1465,0.9555455102675825
BRD:BRD-K23902832-001-01-7,R112,BRD-K23902832,-0.0817,0.5564956041186445,38,573,-0.3511,-0.2809,0.93754843116205
BRD:BRD-A27376179-001-01-3,,BRD-A27376179,-0.0817,0.6429420222232797,31,401,-3.1082,-3.0942,0.9571533284139594
BRD:BRD-K04394237-001-06-0,,BRD-K04394237,-0.0816,0.6213803963019171,32,407,0.334,0.352,0.952194288171974
BRD:BRD-K57927309-001-01-7,,BRD-K57927309,-0.0816,0.6911388815128876,32,407,-0.2522,-0.2478,0.9644726122425853
BRD:BRD-K00003538-001-02-9,ACT-709478,BRD-K00003538,-0.0814,0.6203434464588539,38,561,-0.1029,-0.1292,0.9519143585265519
BRD:BRD-K00003576-001-01-9,encorafenib,BRD-K00003576,-0.0812,0.5807016754117301,38,573,-0.4504,-0.3172,0.9416038287600026
BRD:BRD-K00004720-001-01-9,acolbifene,BRD-K00004720,-0.0812,0.5927414645360106,38,571,-0.0964,-0.0288,0.9443855429749604
BRD:BRD-A78093359-001-06-3,,BRD-A78093359,-0.0811,0.6632245013409702,31,406,0.0434,0.0189,0.9607314874740128
BRD:BRD-K29950728-048-17-4,,BRD-K29950728,-0.081,0.5927962555699677,31,406,-0.0129,0.0181,0.9443855429749604
BRD:BRD-A42383464-001-06-3,,BRD-A42383464,-0.0807,0.6103323089070053,31,347,-5.6491,-5.4592,0.9468029192320234
BRD:BRD-A69126730-001-01-3,,BRD-A69126730,-0.0807,0.6595047979933026,31,347,0.085,0.0693,0.9595109445842136
BRD:BRD-A84465106-001-09-5,nisoldipine,BRD-A84465106,-0.0804,0.5980400390958318,38,571,-0.4788,-0.4005,0.9467321636536801
BRD:BRD-K00005339-001-01-9,A-381393,BRD-K00005339,-0.0803,0.5262934096552131,38,574,-0.0266,-0.001,0.9319767609892924
BRD:BRD-K41599323-001-02-3,,BRD-K41599323,-0.0802,0.6743845420897523,32,409,-0.3016,-0.1559,0.9632038369350902
BRD:BRD-A08545410-311-01-8,,BRD-A08545410,-0.0802,0.6561740754267867,32,393,-0.1787,-0.1156,0.9581205197451441
BRD:BRD-K91111634-001-01-2,,BRD-K91111634,-0.0801,0.6198389811628369,32,408,-0.043,0.0773,0.9519143585265519
BRD:BRD-K50699835-001-01-2,,BRD-K50699835,-0.08,0.6650558194636786,31,347,-0.092,0.0131,0.9609145364001432
BRD:BRD-K00003360-001-01-9,CPI-1205,BRD-K00003360,-0.08,0.5970866436888107,38,574,-0.0975,-0.0891,0.9467321636536801
BRD:BRD-K05906022-001-05-1,,BRD-K05906022,-0.0799,0.6392994750972049,31,407,-0.187,-0.1211,0.9555455102675825
BRD:BRD-K71221037-001-01-6,,BRD-K71221037,-0.0798,0.607700127754998,32,409,-0.6508,-0.2617,0.9468029192320234
BRD:BRD-K07237224-001-19-6,,BRD-K07237224,-0.0797,0.6647467984682429,32,407,0.4301,0.4455,0.9609145364001432
BRD:BRD-K13566078-001-02-3,,BRD-K13566078,-0.0796,0.6082912072728224,32,408,-0.3059,-0.2975,0.9468029192320234
BRD:BRD-K32021043-001-14-3,,BRD-K32021043,-0.0795,0.6547915939488249,32,408,0.184,0.2164,0.9573210112994377
BRD:BRD-K50866992-003-10-3,,BRD-K50866992,-0.0794,0.5515958537981435,31,408,0.2076,0.2098,0.93754843116205
BRD:BRD-K43802723-340-01-9,,BRD-K43802723,-0.0794,0.671085717746233,32,411,0.2201,0.1931,0.9630002979256326
BRD:BRD-K20878815-001-06-9,Kojic acid,BRD-K20878815,-0.0794,0.6509247778318435,38,561,-0.1577,-0.0592,0.9573210112994377
BRD:BRD-K64114733-066-03-9,naquotinib,BRD-K64114733,-0.0793,0.5651410211312153,38,573,-2.6971,-2.5691,0.939717595992703
BRD:BRD-K00003392-001-01-9,futibatinib,BRD-K00003392,-0.0791,0.5768862168498387,38,571,-0.0749,-0.0461,0.9415830084288643
BRD:BRD-K00003228-001-01-9,seletalisib,BRD-K00003228,-0.079,0.6037858290433545,38,574,-0.4413,-0.3405,0.9468029192320234
BRD:BRD-K48429278-001-01-3,,BRD-K48429278,-0.079,0.6552083623566555,31,396,0.16,0.1318,0.9573210112994377
BRD:BRD-K60783397-001-12-9,propylparaben,BRD-K60783397,-0.079,0.5251280545116708,38,571,0.1922,0.1391,0.9314575470570127
BRD:BRD-K30213273-001-01-6,,BRD-K30213273,-0.0789,0.6170759110227467,32,408,-0.0339,-0.0009,0.9501010058604195
BRD:BRD-K00003494-001-01-9,rosiptor,BRD-K00003494,-0.0787,0.6032141698195693,38,571,0.133,0.1632,0.9468029192320234
BRD:BRD-K21038058-001-01-9,,BRD-K21038058,-0.0787,0.6622975638498998,31,347,0.0965,0.1077,0.9607314874740128
BRD:BRD-K13302470-001-02-7,,BRD-K13302470,-0.0787,0.7175690102920295,32,410,-0.1957,-0.1442,0.9685152255123978
BRD:BRD-K43992824-300-01-0,,BRD-K43992824,-0.0784,0.6165083273158347,31,346,0.031,0.0549,0.9500204869096092
BRD:BRD-K54790157-001-15-5,,BRD-K54790157,-0.0784,0.7034099416159102,32,407,0.2326,0.224,0.9645497534348298
BRD:BRD-K30634073-046-01-0,,BRD-K30634073,-0.0784,0.663113701094143,32,407,-0.1466,-0.1601,0.9607314874740128
BRD:BRD-A29111201-001-04-8,,BRD-A29111201,-0.0782,0.6147393731529303,32,407,0.2752,0.3098,0.9493662891401412
BRD:BRD-K68332390-001-04-9,statil,BRD-K68332390,-0.0782,0.5413687879668723,38,574,-0.0724,-0.0192,0.93754843116205
BRD:BRD-K98795921-001-01-7,,BRD-K98795921,-0.0781,0.5626534683717215,31,408,-1.9962,-1.8644,0.939045358649968
BRD:BRD-K25244359-066-03-4,,BRD-K25244359,-0.0781,0.6982844943122546,27,387,0.0979,0.1713,0.9644726122425853
BRD:BRD-K47000838-001-01-6,,BRD-K47000838,-0.0778,0.5697578501728864,32,393,-0.5058,-0.4074,0.9415830084288643
BRD:BRD-A58193911-003-18-7,,BRD-A58193911,-0.0778,0.6594751731849927,32,393,-1.6808,-1.6774,0.9595109445842136
BRD:BRD-K63533170-001-02-9,,BRD-K63533170,-0.0777,0.6236167633176258,32,407,0.1764,0.2022,0.9529743352424623
BRD:BRD-A75726477-003-21-3,,BRD-A75726477,-0.0777,0.6775438922675379,32,411,-0.6441,-0.7411,0.9637694896593252
BRD:BRD-K34843150-001-03-0,ACT-132577,BRD-K34843150,-0.0777,0.5780457354888365,38,571,-0.1636,-0.13,0.9415830084288643
BRD:BRD-K61845293-300-03-9,DDR1-IN-1,BRD-K61845293,-0.0776,0.637093937079737,38,573,-0.1962,-0.2346,0.9555455102675825
BRD:BRD-K83982397-001-06-9,2-Benzyl-4-chlorophenol,BRD-K83982397,-0.0776,0.6792682327753601,38,561,-0.0803,-0.0292,0.9640522426284043
BRD:BRD-A32269193-001-01-5,,BRD-A32269193,-0.0776,0.7199035808425328,32,409,-0.1111,-0.0541,0.9685152255123978
BRD:BRD-K00004583-001-01-9,AC260584,BRD-K00004583,-0.0773,0.5823508646776817,38,574,-0.1645,-0.0922,0.9419157625444161
BRD:BRD-K72078047-001-01-7,,BRD-K72078047,-0.0773,0.5632616621629204,31,347,0.1715,0.19,0.939060281569647
BRD:BRD-K10705233-001-02-2,,BRD-K10705233,-0.0772,0.5911349305417867,31,408,0.0796,0.0888,0.9443855429749604
BRD:BRD-K30360804-001-02-9,buramate,BRD-K30360804,-0.0772,0.6064685990126095,38,571,-0.068,0.0418,0.9468029192320234
BRD:BRD-A86044036-001-26-5,,BRD-A86044036,-0.077,0.680722157473715,31,407,0.2117,0.2071,0.9643445544015283
BRD:BRD-K00003252-001-01-9,sacubitrilat,BRD-K00003252,-0.077,0.5836640169559337,38,574,-0.1688,-0.1502,0.9424815816773471
BRD:BRD-K94436377-001-10-2,,BRD-K94436377,-0.0769,0.6266469973505113,32,411,-0.1909,-0.1376,0.953884652516597
BRD:BRD-K59590127-001-04-5,,BRD-K59590127,-0.0768,0.6468582335855376,31,346,0.1661,0.1502,0.9573210112994377
BRD:BRD-M67659203-001-02-7,pamabrom,BRD-M67659203,-0.0767,0.49231500718457666,38,573,0.5179,0.5095,0.9260032856323154
BRD:BRD-K21547160-001-01-4,,BRD-K21547160,-0.0765,0.5808881632684906,32,393,-0.0376,0.0235,0.9416038287600026
BRD:BRD-A31575449-066-07-8,,BRD-A31575449,-0.0765,0.7159357588955013,31,347,0.2197,0.1616,0.9685152255123978
BRD:BRD-K96153583-001-05-1,,BRD-K96153583,-0.0765,0.6473168096844086,27,385,-0.2753,-0.2568,0.9573210112994377
BRD:BRD-K00003430-001-01-9,PRN1371,BRD-K00003430,-0.0765,0.5636534779434303,38,574,-0.7682,-0.6921,0.9390739861468342
BRD:BRD-K78973789-001-02-9,MMV-390048,BRD-K78973789,-0.0764,0.6530963395360737,38,573,0.1361,0.171,0.9573210112994377
BRD:BRD-K11590034-002-03-4,,BRD-K11590034,-0.0764,0.7248405558211553,27,387,-0.7871,-0.6008,0.9685152255123978
BRD:BRD-K03827870-001-02-9,GKA-50,BRD-K03827870,-0.0764,0.588150472765292,38,573,0.0112,0.0193,0.9436535231749368
BRD:BRD-K24179883-001-16-7,,BRD-K24179883,-0.0763,0.629872872113219,32,407,0.1691,0.1841,0.953884652516597
BRD:BRD-K52618540-001-09-9,,BRD-K52618540,-0.0761,0.6604746532390661,32,393,-0.0969,-0.0282,0.9603046885424537
BRD:BRD-K00005330-001-01-9,AUT-1,BRD-K00005330,-0.076,0.48723901419127597,38,574,-0.1213,-0.055,0.9258505829176604
BRD:BRD-K53561341-001-07-5,,BRD-K53561341,-0.076,0.674074189963105,32,408,-1.4846,-1.372,0.9632038369350902
BRD:BRD-K00003408-001-01-9,iberdomide,BRD-K00003408,-0.076,0.5948150506700023,38,571,-0.0665,-0.0436,0.9451893737536428
BRD:BRD-K00003270-003-01-9,galidesivir,BRD-K00003270,-0.0759,0.6129125289036381,38,573,-0.0194,-0.0237,0.9488545534098729
BRD:BRD-K50000283-001-04-4,,BRD-K50000283,-0.0759,0.7308314169394259,32,410,-0.4824,-0.7651,0.9685152255123978
BRD:BRD-A50016482-001-01-7,,BRD-A50016482,-0.0759,0.6193701013727222,31,347,0.1718,0.1858,0.9516911039422458
BRD:BRD-A62209527-001-04-5,,BRD-A62209527,-0.0758,0.6775751704359105,32,408,0.1157,0.1004,0.9637694896593252
BRD:BRD-K70693421-001-01-1,genz-123346,BRD-K70693421,-0.0756,0.6419490326156612,38,573,-0.6056,-0.6779,0.9569339037234553
BRD:BRD-K36984403-001-02-7,,BRD-K36984403,-0.0755,0.6392497600556335,32,411,-0.2069,-0.1675,0.9555455102675825
BRD:BRD-K05658747-001-02-9,,BRD-K05658747,-0.0754,0.6287533768408642,31,406,-0.1581,-0.1151,0.953884652516597
BRD:BRD-K43436647-001-01-7,,BRD-K43436647,-0.0753,0.6055458295221026,31,347,-2.0648,-1.7879,0.9468029192320234
BRD:BRD-K33882852-003-02-8,,BRD-K33882852,-0.0753,0.5944323982909844,31,404,-0.278,-0.267,0.9448024308042565
BRD:BRD-K59184148-001-21-6,,BRD-K59184148,-0.0752,0.7005101737725818,31,408,0.1895,0.185,0.9644726122425853
BRD:BRD-K66097663-001-01-8,,BRD-K66097663,-0.0751,0.6862951375561759,32,410,-0.2556,-0.2807,0.9644726122425853
BRD:BRD-K23228615-001-02-8,,BRD-K23228615,-0.075,0.5610968259941667,31,404,-1.6438,-1.4721,0.9390040768517152
BRD:BRD-K55305701-001-01-2,,BRD-K55305701,-0.0749,0.6632753672702058,32,410,-1.4615,-1.429,0.9607314874740128
BRD:BRD-A03932035-004-04-3,,BRD-A03932035,-0.0749,0.6518120497368147,32,393,-0.2605,-0.1448,0.9573210112994377
BRD:BRD-K56851771-001-06-8,,BRD-K56851771,-0.0749,0.6514696613413482,32,409,-0.0489,-0.0774,0.9573210112994377
BRD:BRD-A57806482-001-01-4,,BRD-A57806482,-0.0748,0.6690594621975993,31,347,0.2041,0.206,0.9628897304624203
BRD:BRD-K00079505-019-02-9,Elamipretide (TFA),BRD-K00079505,-0.0747,0.6549839390356067,38,561,-0.4139,-0.3285,0.9573210112994377
BRD:BRD-K55822903-003-01-8,,BRD-K55822903,-0.0746,0.6757106027648804,31,347,0.3592,0.3662,0.9637694896593252
BRD:BRD-K17743125-001-08-4,,BRD-K17743125,-0.0745,0.689818024277903,32,409,-2.2939,-2.3043,0.9644726122425853
BRD:BRD-K00091104-001-01-9,9-ING-41,BRD-K00091104,-0.0745,0.6259326671546606,38,561,-3.3744,-3.1032,0.953884652516597
BRD:BRD-K00003443-001-01-9,AZD4635,BRD-K00003443,-0.0744,0.5650509834715192,38,571,-0.0815,-0.0082,0.939717595992703
BRD:BRD-A47884604-051-01-2,,BRD-A47884604,-0.0744,0.622843199435788,31,408,0.1266,0.0953,0.9529743352424623
BRD:BRD-K85849709-001-01-5,,BRD-K85849709,-0.0743,0.7067574611913537,32,408,-1.2082,-1.096,0.96615324370632
BRD:BRD-K61230716-236-03-5,sodium-nitrite,BRD-K61230716,-0.0742,0.5983336547390306,38,573,-0.1038,-0.1067,0.9467321636536801
BRD:BRD-K00069020-001-02-9,Mobocertinib,BRD-K00069020,-0.0742,0.6460922698066331,38,561,-0.9485,-0.8666,0.9573210112994377
BRD:BRD-K97101532-001-02-8,,BRD-K97101532,-0.0741,0.707355475469935,32,411,-0.2589,-0.2118,0.9663676266265342
BRD:BRD-K12120659-305-02-2,,BRD-K12120659,-0.074,0.6963711843585347,31,404,0.3296,0.2323,0.9644726122425853
BRD:BRD-K62374002-001-01-5,,BRD-K62374002,-0.0739,0.6395436147979663,31,396,-0.6351,-0.6941,0.9555455102675825
BRD:BRD-K49468759-001-04-2,cot-inhibitor-2,BRD-K49468759,-0.0738,0.5761328095517155,38,571,-0.163,-0.1457,0.9415830084288643
BRD:BRD-K83114366-001-02-8,,BRD-K83114366,-0.0738,0.6894105202792032,31,346,-0.1727,-0.1755,0.9644726122425853
BRD:BRD-K08998509-001-02-4,,BRD-K08998509,-0.0737,0.675227082932204,32,408,-0.0785,-0.0858,0.9637694896593252
BRD:BRD-K00003112-001-01-9,GDC-0575,BRD-K00003112,-0.0737,0.6222580730770544,38,574,-4.5104,-4.4151,0.9528940722131709
BRD:BRD-K58435339-001-03-0,,BRD-K58435339,-0.0737,0.679654577360245,32,409,-3.5805,-3.2023,0.9640522426284043
BRD:BRD-K64120610-001-01-4,,BRD-K64120610,-0.0735,0.6777443579787911,31,396,-0.8866,-0.9856,0.9637694896593252
BRD:BRD-K71480163-001-01-4,,BRD-K71480163,-0.0735,0.7012707203204076,32,409,-0.0854,0.0268,0.9644726122425853
BRD:BRD-K98353094-001-01-6,,BRD-K98353094,-0.0735,0.637284574879912,31,346,0.0772,0.1263,0.9555455102675825
BRD:BRD-K37237504-001-02-7,,BRD-K37237504,-0.0735,0.6837454833283283,32,410,0.1046,0.0755,0.9644726122425853
BRD:BRD-K67173685-001-06-9,,BRD-K67173685,-0.0734,0.7334564264020708,27,387,-0.0263,-0.0404,0.9685152255123978
BRD:BRD-K89490285-001-08-1,,BRD-K89490285,-0.0734,0.6191439005890202,31,396,-0.133,-0.0528,0.9516911039422458
BRD:BRD-A10420615-001-04-4,,BRD-A10420615,-0.0733,0.631336652809828,31,408,0.266,0.2395,0.953884652516597
BRD:BRD-A19102171-066-01-4,,BRD-A19102171,-0.0732,0.6683799804887908,32,408,0.0327,0.0899,0.9623197768275847
BRD:BRD-K00003240-300-01-9,eravacycline,BRD-K00003240,-0.0732,0.6728172018795922,38,573,-1.2797,-1.2149,0.9631939280544868
BRD:BRD-K25143390-001-01-0,,BRD-K25143390,-0.0732,0.704528284713059,31,347,0.1255,0.1139,0.9651449072082074
BRD:BRD-K00003445-001-01-9,vaniprevir,BRD-K00003445,-0.0732,0.5055642089572033,38,574,-0.0945,-0.0745,0.9297863492886044
BRD:BRD-K00003500-001-01-9,delgocitinib,BRD-K00003500,-0.0731,0.652450574194992,38,574,-0.1109,-0.1327,0.9573210112994377
BRD:BRD-K60369935-001-18-3,,BRD-K60369935,-0.073,0.6896725213514217,32,410,-0.3832,-0.1888,0.9644726122425853
BRD:BRD-K65991129-001-02-9,,BRD-K65991129,-0.073,0.6930281143634799,31,401,-0.0146,-0.0041,0.9644726122425853
BRD:BRD-K64748124-300-06-9,GNTI,BRD-K64748124,-0.073,0.6304762524652919,38,573,-0.0422,-0.0236,0.953884652516597
BRD:BRD-K09118247-001-03-3,,BRD-K09118247,-0.0729,0.5403835256241123,31,346,0.2088,0.2452,0.93754843116205
BRD:BRD-K00091072-001-01-9,ATR inhibitor 2,BRD-K00091072,-0.0727,0.6735970689629713,38,561,-4.4391,-4.193,0.9632038369350902
BRD:BRD-K00003426-001-01-9,peposertib,BRD-K00003426,-0.0724,0.6409150630991096,38,571,-0.657,-0.6167,0.9568630779338071
BRD:BRD-K91234829-001-01-7,,BRD-K91234829,-0.0724,0.6349946637010202,31,347,0.0571,0.0968,0.9543191160978148
BRD:BRD-K64835161-001-02-8,,BRD-K64835161,-0.0721,0.645521759396323,32,408,-0.0011,0.0322,0.9573210112994377
BRD:BRD-K87343924-001-16-9,wortmannin,BRD-K87343924,-0.0721,0.7180327779097438,38,573,-0.812,-0.7165,0.9685152255123978
BRD:BRD-K68851986-001-01-6,,BRD-K68851986,-0.0721,0.6161343890690486,31,346,0.1562,0.1626,0.9500204869096092
BRD:BRD-K46416130-001-07-7,,BRD-K46416130,-0.0721,0.7211426584391086,31,347,0.178,0.1602,0.9685152255123978
BRD:BRD-K77175907-001-08-0,,BRD-K77175907,-0.0718,0.6783997990251873,31,396,-0.0142,-0.0118,0.9637694896593252
BRD:BRD-K45152786-001-08-4,merbarone,BRD-K45152786,-0.0716,0.6720816474460761,31,401,0.134,0.1651,0.9630002979256326
