gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score,uncorr_cohens_d,uncorr_pvalue,uncorr_fdr,uncorr_composite,was_significant,is_significant,lineage_artifact,fdr_change,rank_change
UBE2W,-0.093,0.5935845078825575,23,134,-0.083,0.0,0.9988716805228369,0.0,-0.0582,0.7300875195062957,0.988903223701504,0.0003,False,False,False,0.00996845682133296,-1745
MAP7,-0.093,0.47089743801448725,67,585,0.0032,0.0067,0.9988716805228369,0.0,-0.0759,0.598026030993219,0.9823944221865752,0.0006,False,False,False,0.01647725833626168,-859
GRAP,-0.093,0.6083133586711694,23,107,-0.0098,0.0314,0.9988716805228369,0.0,-0.0118,0.7556868428059926,0.9914128545815925,0.0,False,False,False,0.0074588259412444735,-4209
TASL,-0.093,0.8015856230051945,67,585,0.0128,0.001,0.9988716805228369,0.0,-0.0098,0.7197462266117721,0.988903223701504,0.0,False,False,False,0.00996845682133296,-4321
THAP1,-0.093,0.483628990054768,67,585,-0.0646,-0.0581,0.9988716805228369,0.0,-0.1744,0.233754230164912,0.9179596791089212,0.0065,False,False,False,0.08091200141391575,2514
TOR1A,-0.0929,0.2738686178163713,67,585,-0.0197,-0.0002,0.9988716805228369,0.0,-0.1135,0.2483144843120811,0.9260663515390862,0.0038,False,False,False,0.0728053289837507,703
LIPT2,-0.0929,0.4521518347745712,67,585,0.0063,0.0181,0.9988716805228369,0.0,0.0249,0.902450395935371,0.9970947017753858,0.0,False,False,False,0.0017769787474510856,-6209
DNAJC22,-0.0929,0.7110558778589504,67,585,-0.0093,-0.0014,0.9988716805228369,0.0,-0.022,0.8737814454213892,0.9953303992568416,0.0,False,False,False,0.0035412812659952886,-3644
FAM53C,-0.0929,0.562399767514822,67,585,-0.0169,0.0044,0.9988716805228369,0.0,-0.1566,0.3439979255273053,0.9449408456218972,0.0039,False,False,False,0.05393083490093975,2112
SPANXN4,-0.0928,0.3697215958302734,67,585,-0.0066,0.0,0.9988716805228369,0.0,-0.1033,0.3187813196311909,0.942520063980189,0.0027,False,False,False,0.056351616542647975,316
CSAD,-0.0928,0.6766784397004753,67,585,0.0024,-0.0009,0.9988716805228369,0.0,-0.0446,0.9138472172453004,0.9975610407095122,0.0,False,False,False,0.0013106398133246877,-2412
B3GLCT,-0.0928,0.6791844247430686,67,585,0.0163,-0.0056,0.9988716805228369,0.0,-0.0938,0.6806897347894801,0.987115774963054,0.0005,False,False,False,0.011755905559782898,-99
MFSD12,-0.0928,0.4866263367688184,67,585,-0.0018,0.0017,0.9988716805228369,0.0,-0.1096,0.3708187595390668,0.9540750340640276,0.0022,False,False,False,0.04479664645880932,557
KRTCAP2,-0.0928,0.44355032263931304,67,585,-0.0118,0.0018,0.9988716805228369,0.0,-0.0324,0.8015856314162714,0.9935679037459302,0.0001,False,False,False,0.005303776776906743,-3028
CSN2,-0.0927,0.3221163862670975,67,585,-0.01,0.0,0.9988716805228369,0.0,-0.0492,0.4525637883290172,0.9738036437432976,0.0006,False,False,False,0.025068036779539282,-2194
PDE10A,-0.0927,0.4542136231094167,67,585,-0.0039,-0.0018,0.9988716805228369,0.0,-0.1022,0.3989007444276713,0.9606082793892794,0.0018,False,False,False,0.03826340113355753,266
GTPBP3,-0.0927,0.517587353722404,67,585,0.0154,0.0078,0.9988716805228369,0.0,-0.1021,0.4266307639149103,0.9669973742584068,0.0015,False,False,False,0.03187430626443011,262
OTX1,-0.0927,0.16349176373197816,67,585,-0.0223,0.0163,0.9988716805228369,0.0,-0.134,0.0678243359983215,0.818258030768385,0.0117,False,False,False,0.18061364975445193,1421
SLC16A1,-0.0927,0.7889078979803401,67,585,0.0412,0.0279,0.9988716805228369,0.0,-0.0876,0.7243617831985429,0.988903223701504,0.0004,False,False,False,0.00996845682133296,-351
CLCA2,-0.0927,0.4496846859941054,67,585,-0.0058,0.0025,0.9988716805228369,0.0,-0.0581,0.6220091582570306,0.9835314124080086,0.0004,False,False,False,0.01534026811482836,-1736
ZNF385A,-0.0926,0.5211387354414425,67,585,-0.0104,0.009,0.9988716805228369,0.0,-0.0835,0.4286250470564779,0.9677254745366036,0.0012,False,False,False,0.0311462059862333,-500
RFC1,-0.0926,0.42226241286827937,67,585,-0.0226,0.0069,0.9988716805228369,0.0,-0.1003,0.2960708552474053,0.9372963462996512,0.0028,False,False,False,0.06157533422318573,189
ALCAM,-0.0926,0.46460169301685295,67,585,-0.0155,-0.0033,0.9988716805228369,0.0,-0.0447,0.6761776841561915,0.9868289567495748,0.0003,False,False,False,0.012042723773262098,-2396
ZNF131,-0.0925,0.6478764557856976,67,585,-0.0157,-0.0098,0.9988716805228369,0.0,-0.0548,0.989073648173462,0.9991594132618784,0.0,False,False,False,-0.00028773273904147967,-1884
OR51T1,-0.0925,0.5660936029919796,61,570,0.0051,0.0053,0.9988716805228369,0.0,-0.0707,0.6444471807789695,0.9851360850459384,0.0005,False,False,False,0.01373559547689851,-1082
ESRP2,-0.0925,0.5909138193777443,67,585,0.0001,0.0059,0.9988716805228369,0.0,-0.0618,0.7989400058440344,0.9935679037459302,0.0002,False,False,False,0.005303776776906743,-1537
WEE1,-0.0924,0.4023545286528871,67,585,-0.1377,-0.0649,0.9988716805228369,0.0,-0.0514,0.6336673830542706,0.9841370715577772,0.0004,False,False,False,0.014734608965059737,-2059
RWDD1,-0.0924,0.2796139045423488,67,585,-0.0048,0.01,0.9988716805228369,0.0,-0.154,0.0972340240260253,0.8492126338201533,0.0109,False,False,False,0.1496590467026836,2064
KLK9,-0.0924,0.4346403118595549,67,585,-0.0013,0.0007,0.9988716805228369,0.0,-0.0338,0.8031741016439768,0.9935679037459302,0.0001,False,False,False,0.005303776776906743,-2934
THBD,-0.0924,0.07347294972387405,67,585,-0.0272,0.0028,0.9988716805228369,0.0,-0.1469,0.0286409321049728,0.7265651525977933,0.0204,False,False,False,0.2723065279250436,1832
FCAMR,-0.0924,0.5070088470773788,67,585,-0.0089,0.0047,0.9988716805228369,0.0,-0.0076,0.941594447828332,0.9975610407095122,0.0,False,False,False,0.0013106398133246877,-4413
ARL6IP6,-0.0924,0.45050621976918426,67,585,-0.0179,0.0,0.9988716805228369,0.0,-0.0225,0.9258057351147864,0.9975610407095122,0.0,False,False,False,0.0013106398133246877,-3596
VAPB,-0.0924,0.4496846859941054,67,585,-0.012,0.001,0.9988716805228369,0.0,-0.133,0.2015953575669402,0.9024949901071614,0.0059,False,False,False,0.09637669041567554,1408
SH2D4B,-0.0923,0.7553812526053746,67,585,0.01,-0.0059,0.9988716805228369,0.0,-0.1377,0.7899623019989537,0.993302184314158,0.0004,False,False,False,0.00556949620867897,1557
GCM1,-0.0923,0.45545323582985453,67,585,0.0079,0.0066,0.9988716805228369,0.0,-0.1256,0.2910358091476771,0.93623214594866,0.0036,False,False,False,0.06263953457417692,1132
NTN1,-0.0923,0.40273938852822244,67,585,0.0025,0.0064,0.9988716805228369,0.0,-0.1443,0.1725738309399617,0.8943774342954771,0.007,False,False,False,0.10449424622735981,1765
SLC5A9,-0.0923,0.6013582890787761,67,585,0.0072,0.002,0.9988716805228369,0.0,-0.1194,0.5109624479856039,0.9793104017325636,0.0011,False,False,False,0.019561278790273362,926
KIF13B,-0.0923,0.315799119266192,67,585,-0.0059,0.0001,0.9988716805228369,0.0,-0.1375,0.1710701818740555,0.8943774342954771,0.0067,False,False,False,0.10449424622735981,1550
ACTR2,-0.0922,0.4738514865637846,67,585,-0.0452,0.026,0.9988716805228369,0.0,-0.0594,0.5260423059717838,0.9793628981094148,0.0005,False,False,False,0.019508782413422132,-1640
CCDC27,-0.0922,0.6268554416580938,67,585,-0.0053,0.0075,0.9988716805228369,0.0,-0.013,0.8883681042220772,0.9961234093825128,0.0,False,False,False,0.0027482711403241655,-4099
PEX39,-0.0922,0.43182713298898745,67,585,-0.0081,0.0105,0.9988716805228369,0.0,-0.1283,0.2542555883868457,0.9290925117922416,0.0041,False,False,False,0.06977916873059531,1236
TMEM14A,-0.0921,0.4814941770500698,67,585,-0.0204,-0.0042,0.9988716805228369,0.0,-0.0921,0.4823475052998284,0.9773106863644524,0.0009,False,False,False,0.021560994158384528,-148
SCTR,-0.0921,0.9426842402754474,67,585,0.0031,0.0067,0.9988716805228369,0.0,-0.0839,0.9830648970516492,0.9983658360500032,0.0001,False,False,False,0.0005058444728337497,-468
EDNRB,-0.092,0.6582468587949348,67,585,-0.0011,0.0015,0.9988716805228369,0.0,-0.1505,0.2935460896072461,0.9367609238098936,0.0043,False,False,False,0.062110756712943305,1971
DIP2B,-0.092,0.41243242429072346,67,585,-0.0381,0.0029,0.9988716805228369,0.0,-0.0597,0.598026030993219,0.9823944221865752,0.0005,False,False,False,0.01647725833626168,-1623
C1orf116,-0.092,0.48791398068853586,67,585,-0.0026,0.0007,0.9988716805228369,0.0,-0.1255,0.3785552337666508,0.9580342868454704,0.0023,False,False,False,0.040837393677366496,1138
ZNF729,-0.092,0.32783810055293383,67,585,-0.0218,-0.0037,0.9988716805228369,0.0,-0.061,0.5229191369885683,0.9793104017325636,0.0006,False,False,False,0.019561278790273362,-1558
CLPSL1,-0.0919,0.5904410593287783,67,585,-0.0153,0.0045,0.9988716805228369,0.0,-0.0514,0.8047633853577935,0.9935679037459302,0.0001,False,False,False,0.005303776776906743,-2041
SEZ6L,-0.0919,0.6912621483983186,67,585,-0.0123,0.0005,0.9988716805228369,0.0,-0.1006,0.6897480644692398,0.9877703493329556,0.0005,False,False,False,0.011101331189881325,232
FKBP11,-0.0918,0.843669504885576,67,585,0.0075,0.0018,0.9988716805228369,0.0,-0.0652,0.9655915879304582,0.9979043044209654,0.0001,False,False,False,0.0009673761018714755,-1328
PHF13,-0.0918,0.6302574758480364,67,585,0.0089,0.0018,0.9988716805228369,0.0,-0.0902,0.5923331591089231,0.9823944221865752,0.0007,False,False,False,0.01647725833626168,-216
SLC1A6,-0.0918,0.4625135650938448,67,585,-0.016,0.0017,0.9988716805228369,0.0,-0.0668,0.6380629801338268,0.984435320665948,0.0005,False,False,False,0.014436359856888958,-1257
TUBA1B,-0.0918,0.6133270778781962,67,585,0.0051,0.0178,0.9988716805228369,0.0,-0.0132,0.7579849109037716,0.9914128545815925,0.0,False,False,False,0.0074588259412444735,-4075
ATP2A3,-0.0918,0.539081914006929,67,585,0.003,0.0095,0.9988716805228369,0.0,-0.1456,0.2948066612985595,0.9369334001673998,0.0041,False,False,False,0.061938280355437136,1822
HIVEP3,-0.0918,0.6380629655858132,67,585,0.0068,0.007,0.9988716805228369,0.0,-0.0195,0.8222973894084589,0.9944547156000132,0.0,False,False,False,0.0044169649228237295,-3728
GTPBP4,-0.0917,0.4641836483038687,67,585,-0.0826,0.0461,0.9988716805228369,0.0,-0.1553,0.3076117333223387,0.9401373768881636,0.0042,False,False,False,0.05873430363467336,2124
ARHGAP36,-0.0917,0.4529759146695157,67,585,-0.0124,0.0007,0.9988716805228369,0.0,-0.151,0.1913952010062963,0.901709760705176,0.0068,False,False,False,0.09716191981766087,2002
SOCS4,-0.0917,0.4533882724210343,67,585,-0.018,-0.0005,0.9988716805228369,0.0,-0.1614,0.1585819312772285,0.8922470905174421,0.008,False,False,False,0.10662459000539481,2273
ZNF415,-0.0917,0.46334818738915173,67,585,-0.0068,0.0014,0.9988716805228369,0.0,-0.0979,0.3613773509431787,0.9510730476215676,0.0021,False,False,False,0.04779863290126929,135
ZBTB11,-0.0916,0.3686264725637133,67,585,-0.0029,-0.002,0.9988716805228369,0.0,-0.0435,0.5114027271117294,0.9793104017325636,0.0004,False,False,False,0.019561278790273362,-2417
SELP,-0.0916,0.15636922289602256,67,585,-0.012,0.0081,0.9988716805228369,0.0,-0.0226,0.4386774608831323,0.9685901835143516,0.0003,False,False,False,0.03028149700848537,-3556
ARHGAP45,-0.0916,0.4427360348727646,67,585,-0.0024,0.0102,0.9988716805228369,0.0,0.0116,0.7182099656021156,0.988903223701504,0.0001,False,False,False,0.00996845682133296,-5396
NDUFS8,-0.0916,0.766857694324017,67,585,0.0639,0.0252,0.9988716805228369,0.0,-0.0596,0.9432291805815656,0.9975610407095122,0.0001,False,False,False,0.0013106398133246877,-1611
NR1D1,-0.0916,0.47512061904996294,67,585,0.0051,0.0067,0.9988716805228369,0.0,-0.0737,0.5819613326838455,0.9823944221865752,0.0006,False,False,False,0.01647725833626168,-906
ZNF396,-0.0916,0.9154768337098789,67,585,0.0085,0.003,0.9988716805228369,0.0,-0.0762,0.9225425430936078,0.9975610407095122,0.0001,False,False,False,0.0013106398133246877,-783
RPTN,-0.0915,0.37412227695720035,67,585,-0.0025,0.0037,0.9988716805228369,0.0,-0.0771,0.5408931301674487,0.9809603233571884,0.0006,False,False,False,0.01791135716564851,-741
PRAC1,-0.0915,0.9617712098726662,67,585,0.0188,0.0163,0.9988716805228369,0.0,-0.0944,0.821764702316618,0.9944547156000132,0.0002,False,False,False,0.0044169649228237295,-18
GPC2,-0.0915,0.49915016287734615,67,585,0.0064,0.0054,0.9988716805228369,0.0,-0.1096,0.3856398546870044,0.9592146218729038,0.002,False,False,False,0.039657058649933075,613
LAMB1,-0.0915,0.6297709884403562,67,585,0.0013,0.0018,0.9988716805228369,0.0,-0.0442,0.9579517127070206,0.9975894567911704,0.0,False,False,False,0.001282223731666532,-2377
MRPS22,-0.0915,0.6468923120227819,67,585,-0.0161,-0.0077,0.9988716805228369,0.0,-0.0107,0.7831156919884722,0.9926514543365824,0.0,False,False,False,0.006220226186254507,-4205
ABCA6,-0.0915,0.3014840892973666,67,585,-0.0083,0.0008,0.9988716805228369,0.0,-0.1118,0.1626656101360831,0.8943774342954771,0.0054,False,False,False,0.10449424622735981,704
ELF1,-0.0914,0.6258848836449242,67,585,-0.0007,0.0056,0.9988716805228369,0.0,-0.0347,0.7699966585255459,0.9919488452605149,0.0001,False,False,False,0.006922835262322069,-2847
ATP13A4,-0.0914,0.3450463648423586,67,585,-0.0247,0.004,0.9988716805228369,0.0,-0.122,0.2187820403875495,0.9123211084160816,0.0049,False,False,False,0.08655057210675532,1054
DENND3,-0.0914,0.6322050274712203,67,585,0.0096,0.0019,0.9988716805228369,0.0,-0.1494,0.2796139253605296,0.9354612676893624,0.0043,False,False,False,0.06341041283347448,1958
CLYBL,-0.0914,0.6449258775101586,67,585,-0.001,-0.0001,0.9988716805228369,0.0,-0.1185,0.517144331406165,0.9793104017325636,0.0011,False,False,False,0.019561278790273362,945
HDAC6,-0.0914,0.4844843512016619,67,585,-0.0012,0.0,0.9988716805228369,0.0,-0.0658,0.5674922472349406,0.9823944221865752,0.0005,False,False,False,0.01647725833626168,-1278
SH3PXD2B,-0.0913,0.5522815435492285,67,585,-0.0102,0.0011,0.9988716805228369,0.0,-0.1257,0.2553983493202448,0.930424177501282,0.0039,False,False,False,0.06844750302155489,1179
SPARC,-0.0913,0.5674922304623538,67,585,-0.0002,0.0033,0.9988716805228369,0.0,-0.0952,0.5582497059525751,0.9823944221865752,0.0007,False,False,False,0.01647725833626168,34
WRNIP1,-0.0913,0.659237994481352,67,585,-0.0039,-0.0011,0.9988716805228369,0.0,-0.1646,0.2316101337988446,0.9175875627810612,0.0061,False,False,False,0.08128411774177569,2376
ACAP1,-0.0913,0.5890238249448707,67,585,-0.002,0.0004,0.9988716805228369,0.0,-0.0944,0.5144902186054936,0.9793104017325636,0.0009,False,False,False,0.019561278790273362,-8
BOLA3,-0.0912,0.4866263367688184,67,585,-0.0422,0.0017,0.9988716805228369,0.0,-0.0967,0.4562807206032389,0.9742283402163224,0.0011,False,False,False,0.024643340306514494,98
TSHB,-0.0912,0.6542883330397056,67,585,-0.0022,0.0092,0.9988716805228369,0.0,-0.064,0.5545732911478273,0.9823944221865752,0.0005,False,False,False,0.01647725833626168,-1363
SRSF9,-0.0911,0.7207710186616635,67,585,0.0252,0.0092,0.9988716805228369,0.0,-0.0801,0.7794359639419544,0.9919488452605149,0.0003,False,False,False,0.006922835262322069,-593
F11R,-0.0911,0.3686264725637133,67,585,-0.0214,0.0092,0.9988716805228369,0.0,-0.0362,0.6410004756496822,0.9851360850459384,0.0002,False,False,False,0.01373559547689851,-2759
SH2D5,-0.0911,0.5198054986908704,67,585,-0.0025,0.0,0.9988716805228369,0.0,-0.1885,0.1458453275669401,0.8922470905174421,0.0093,False,False,False,0.10662459000539481,2887
CPAMD8,-0.091,0.31778519679824224,67,585,-0.0186,0.0135,0.9988716805228369,0.0,-0.0874,0.3549301062401222,0.948859086379164,0.002,False,False,False,0.05001259414367287,-289
DSEL,-0.091,0.36065736475626475,67,585,-0.0086,0.0067,0.9988716805228369,0.0,-0.1021,0.2820573315112983,0.9354612676893624,0.003,False,False,False,0.06341041283347448,332
VAX1,-0.091,0.41399604372753607,67,585,0.0015,0.0089,0.9988716805228369,0.0,-0.1116,0.4183140642367192,0.9658239653851955,0.0017,False,False,False,0.033047715137641376,712
RPS6KA4,-0.091,0.3105428449559554,67,585,-0.0268,-0.0006,0.9988716805228369,0.0,-0.0393,0.563786447248276,0.9823944221865752,0.0003,False,False,False,0.01647725833626168,-2599
CHADL,-0.0909,0.6215254087675459,67,585,0.0001,-0.0034,0.9988716805228369,0.0,-0.0848,0.5513661720158887,0.9823944221865752,0.0007,False,False,False,0.01647725833626168,-387
MC5R,-0.0909,0.3408647423390192,67,585,-0.0181,-0.0054,0.9988716805228369,0.0,-0.057,0.4658571023941147,0.9773106863644524,0.0006,False,False,False,0.021560994158384528,-1714
SYT12,-0.0909,0.3315753136870022,67,585,-0.0097,0.0,0.9988716805228369,0.0,-0.076,0.4591834959291514,0.9750777047167088,0.0008,False,False,False,0.023793975806128076,-763
KBTBD3,-0.0908,0.9732346219346718,67,585,0.0032,0.0032,0.9994885455847995,0.0,-0.1841,0.3719179213400926,0.9540750340640276,0.0038,False,False,False,0.04541351152077189,2823
PDK4,-0.0908,0.37375432070398074,67,585,-0.0086,0.0002,0.9988716805228369,0.0,-0.0025,0.9230863193992316,0.9975610407095122,0.0,False,False,False,0.0013106398133246877,-4612
C3orf38,-0.0908,0.8047633770757511,67,585,0.0336,0.0565,0.9988716805228369,0.0,-0.2234,0.1833771709802798,0.8990645357508448,0.0103,False,False,False,0.09980714477199215,3477
DOCK10,-0.0908,0.4870553472345247,67,585,-0.0019,0.0031,0.9988716805228369,0.0,-0.1296,0.3008438580032365,0.9393476063473823,0.0035,False,False,False,0.05952407417545458,1344
MYOZ3,-0.0908,0.9754188286350558,67,585,-0.0016,-0.0064,0.9996544161134269,0.0,-0.062,0.9879810918804296,0.9990578414908796,0.0,False,False,False,0.0005965746225472524,-1457
RIMS4,-0.0907,0.4755440773947337,67,585,-0.001,-0.0015,0.9988716805228369,0.0,-0.0577,0.6597338007392954,0.9851360850459384,0.0004,False,False,False,0.01373559547689851,-1672
AKR7A3,-0.0907,0.2838993411458328,67,585,-0.0243,0.0049,0.9988716805228369,0.0,-0.0975,0.1678811478786517,0.8943774342954771,0.0047,False,False,False,0.10449424622735981,156
FKBP2,-0.0907,0.48534053166285795,67,585,-0.0132,-0.0016,0.9988716805228369,0.0,-0.0699,0.5273837194962357,0.9793628981094148,0.0006,False,False,False,0.019508782413422132,-1044
EXTL3,-0.0907,0.3343105169739382,67,585,0.0046,0.026,0.9988716805228369,0.0,-0.1468,0.1587842544108615,0.8922470905174421,0.0073,False,False,False,0.10662459000539481,1901
IL2RB,-0.0907,0.25511230436321297,67,585,-0.0196,0.0,0.9988716805228369,0.0,-0.0632,0.3826470382252441,0.9589413673375512,0.0012,False,False,False,0.039930313185285726,-1389
ZNF701,-0.0907,0.2488760629462371,67,585,-0.0181,0.0045,0.9988716805228369,0.0,-0.0964,0.2074580380203796,0.9028174327539216,0.0043,False,False,False,0.09605424776891536,103
AKIRIN1,-0.0907,0.5674922304623538,67,585,-0.0278,0.008,0.9988716805228369,0.0,-0.0467,0.6826987767197745,0.987121351851376,0.0003,False,False,False,0.011750328671460974,-2232
SRXN1,-0.0907,0.8646188852980222,67,585,0.0128,0.0028,0.9988716805228369,0.0,-0.1368,0.5336666353664588,0.9796454175630602,0.0012,False,False,False,0.019226262959776697,1596
FANCF,-0.0906,0.6434526787384911,67,585,0.0149,0.0161,0.9988716805228369,0.0,0.0084,0.8270952313717421,0.9944547156000132,0.0,False,False,False,0.0044169649228237295,-5183
MAVS,-0.0906,0.4370600093875415,67,585,-0.002,0.002,0.9988716805228369,0.0,-0.1254,0.2345618822132565,0.9179596791089212,0.0047,False,False,False,0.08091200141391575,1196
PADI4,-0.0906,0.5144902003974146,67,585,-0.0114,-0.0064,0.9988716805228369,0.0,-0.1127,0.3370602450519686,0.942520063980189,0.0029,False,False,False,0.056351616542647975,775
RPAP3,-0.0905,0.7522605411443858,67,585,0.0017,0.0075,0.9988716805228369,0.0,-0.0849,0.7079975874864599,0.988635996854372,0.0004,False,False,False,0.010235683668464945,-361
KLC4,-0.0905,0.16163731072483445,67,585,-0.0101,0.0023,0.9988716805228369,0.0,-0.1228,0.0711904293543404,0.818279223559409,0.0107,False,False,False,0.18059245696342796,1116
AFF3,-0.0905,0.26998443278652606,67,585,-0.0121,-0.0006,0.9988716805228369,0.0,-0.0973,0.2372683240268803,0.9179596791089212,0.0036,False,False,False,0.08091200141391575,152
ARB2A,-0.0904,0.12307123877050145,67,585,-0.0375,0.0018,0.9988716805228369,0.0,-0.0518,0.1893091991774143,0.8996402825756117,0.0024,False,False,False,0.09923139794722524,-1946
PTPRCAP,-0.0904,0.6186264417215216,67,585,-0.01,-0.0052,0.9988716805228369,0.0,-0.055,0.7100359359483911,0.988635996854372,0.0003,False,False,False,0.010235683668464945,-1788
SLC26A9,-0.0903,0.5970754792336351,67,585,-0.0159,0.0,0.9988716805228369,0.0,-0.0087,0.8490312306705268,0.9949424194863864,0.0,False,False,False,0.0039292610364505265,-4268
LALBA,-0.0903,0.4058262032675939,67,585,0.0006,0.0,0.9988716805228369,0.0,-0.0695,0.5278312447565676,0.9793628981094148,0.0006,False,False,False,0.019508782413422132,-1050
CRLF3,-0.0902,0.3415594163886556,67,585,-0.0213,0.0,0.9988716805228369,0.0,-0.0777,0.5162588400149686,0.9793104017325636,0.0007,False,False,False,0.019561278790273362,-668
SAC3D1,-0.0902,0.426630743893335,67,585,-0.0285,-0.0043,0.9988716805228369,0.0,-0.1005,0.3241283499269798,0.942520063980189,0.0026,False,False,False,0.056351616542647975,296
S100Z,-0.0902,0.2003893035158001,67,585,-0.0304,0.0011,0.9988716805228369,0.0,-0.0564,0.3897782510315882,0.9601966365350418,0.001,False,False,False,0.03867504398779509,-1727
CIMIP7,-0.0901,0.5970754792336351,67,585,-0.0006,-0.003,0.9988716805228369,0.0,-0.0582,0.7008799123536855,0.9886201045012536,0.0003,False,False,False,0.01025157602158333,-1628
GLE1,-0.0901,0.3181170038615845,67,585,-0.0099,0.0133,0.9988716805228369,0.0,-0.1623,0.0590531073932316,0.8004009429878707,0.0157,False,False,False,0.19847073753496625,2356
OR1A1,-0.0901,0.6031549332995154,61,570,-0.0031,-0.0018,0.9988716805228369,0.0,-0.0959,0.5990405834309624,0.9823944221865752,0.0007,False,False,False,0.01647725833626168,99
ELK1,-0.09,0.4278266638949936,67,585,-0.0154,-0.0046,0.9988716805228369,0.0,-0.1609,0.2491572157956187,0.9267035960239036,0.0053,False,False,False,0.0721680844989333,2324
BCKDHB,-0.09,0.36607904443115147,67,585,-0.0255,0.004,0.9988716805228369,0.0,-0.1103,0.2574067615133538,0.930514053240566,0.0034,False,False,False,0.0683576272822709,698
SFT2D3,-0.09,0.5499944716191941,67,585,-0.026,-0.0004,0.9988716805228369,0.0,-0.1604,0.2897860983260083,0.93623214594866,0.0046,False,False,False,0.06263953457417692,2308
BAG5,-0.0899,0.602311904367113,67,585,-0.0004,0.0029,0.9988716805228369,0.0,-0.0368,0.9879810918804296,0.9990578414908796,0.0,False,False,False,-0.00018616096804269233,-2685
SLC22A9,-0.0899,0.5030713971096761,67,585,-0.0022,0.001,0.9988716805228369,0.0,-0.0783,0.4394874648972597,0.9685901835143516,0.0011,False,False,False,0.03028149700848537,-634
CLUL1,-0.0899,0.6842070228941695,67,585,0.0058,-0.0016,0.9988716805228369,0.0,-0.1231,0.4604307024614563,0.9750777047167088,0.0013,False,False,False,0.023793975806128076,1142
PADI2,-0.0899,0.3121791915581098,67,585,-0.008,0.006,0.9988716805228369,0.0,-0.1272,0.177583991642081,0.8961692211488933,0.0061,False,False,False,0.10270245937394362,1282
ACYP1,-0.0898,0.32144755366404987,67,585,-0.0061,0.0,0.9988716805228369,0.0,-0.0409,0.440298326893719,0.9685914979182036,0.0006,False,False,False,0.030280182604633277,-2479
EZH1,-0.0897,0.6331797620179769,67,585,-0.0131,-0.0011,0.9988716805228369,0.0,-0.1229,0.4171338057611531,0.9656114473409808,0.0019,False,False,False,0.033260233181856114,1142
RIGI,-0.0897,0.5956509654953901,67,585,-0.0014,-0.0009,0.9988716805228369,0.0,-0.0873,0.589496078069238,0.9823944221865752,0.0007,False,False,False,0.01647725833626168,-249
C9orf43,-0.0897,0.26320534286292296,67,585,-0.0123,0.0011,0.9988716805228369,0.0,-0.0303,0.4136048305932341,0.9652013291539714,0.0005,False,False,False,0.033670351368865536,-3031
FABP1,-0.0897,0.6287984954496157,67,585,0.0045,0.0044,0.9988716805228369,0.0,-0.0114,0.8570868454509413,0.9949424194863864,0.0,False,False,False,0.0039292610364505265,-4102
MAP1LC3A,-0.0896,0.45752348248495345,67,585,-0.0268,-0.0041,0.9988716805228369,0.0,-0.1126,0.408150581348368,0.9644897303845,0.0018,False,False,False,0.03438195013833689,798
NUP43,-0.0896,0.29638744890670865,67,585,-0.0511,-0.0125,0.9988716805228369,0.0,-0.0701,0.5078860481388654,0.978185255550805,0.0007,False,False,False,0.02068642497203188,-1001
NPFFR2,-0.0896,0.4700552945975571,67,585,-0.0161,-0.006,0.9988716805228369,0.0,-0.009,0.9356025846544548,0.9975610407095122,0.0,False,False,False,0.0013106398133246877,-4226
CAPN13,-0.0895,0.5744718780796824,67,585,-0.0072,-0.0005,0.9988716805228369,0.0,-0.0666,0.7836417658238444,0.9926867186850832,0.0002,False,False,False,0.006184961837753744,-1182
GJD2,-0.0895,0.19775458424629644,67,585,-0.026,0.0019,0.9988716805228369,0.0,-0.064,0.2922891392239617,0.9367609238098936,0.0018,False,False,False,0.062110756712943305,-1306
C20orf96,-0.0895,0.4089271058576871,67,585,-0.0065,0.0019,0.9988716805228369,0.0,-0.0616,0.5052568910882203,0.978185255550805,0.0006,False,False,False,0.02068642497203188,-1436
CLEC5A,-0.0894,0.43102530965379904,67,585,-0.0121,-0.006,0.9988716805228369,0.0,-0.1142,0.288540005655388,0.93623214594866,0.0033,False,False,False,0.06263953457417692,864
BFAR,-0.0894,0.6711778911423151,67,585,-0.0049,-0.0056,0.9988716805228369,0.0,-0.0887,0.7130973485327088,0.988903223701504,0.0004,False,False,False,0.00996845682133296,-188
KLRC1,-0.0894,0.08505259770241945,67,585,-0.0116,0.0021,0.9988716805228369,0.0,-0.0233,0.2457982619161851,0.9239850386622884,0.0008,False,False,False,0.0748866418605485,-3437
PLEKHO1,-0.0894,0.3499660864129701,67,585,-0.0132,0.0012,0.9988716805228369,0.0,-0.017,0.7300166396144487,0.988903223701504,0.0001,False,False,False,0.00996845682133296,-3768
GCNT4,-0.0894,0.47047626226512573,67,585,-0.005,0.0012,0.9988716805228369,0.0,-0.071,0.5999291611670305,0.9823944221865752,0.0005,False,False,False,0.01647725833626168,-946
SERPINA3,-0.0894,0.32817671338899046,67,585,-0.0156,0.0,0.9988716805228369,0.0,-0.1555,0.1593923960817372,0.8931453294192597,0.0076,False,False,False,0.1057263511035772,2213
