cancer_type,gene,cohens_d,p_value,n_mut,n_wt,fdr,n_cancer_types,category
Biliary Tract,LPAR4,-1.2128844984055664,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Uterus,BLVRA,-1.2127373477893524,0.005223684746587126,22,12,0.33214855032288565,3,universal
Uterus,GPR17,-1.212446853695261,0.003719517641997308,22,12,0.32797536311417086,1,cancer_specific
Breast,TMEM129,-1.2121962339724048,0.016399709375767724,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,H1-10,-1.2120438946005492,0.03092116612040711,4,30,0.6004309844800014,2,cancer_specific
Skin,TMC8,-1.211799783537785,0.043272861902998894,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,LONRF3,-1.2117432557090302,0.007106041444254724,6,87,0.6137357200341474,2,cancer_specific
Ovary/Fallopian Tube,DPT,-1.2113688860997378,0.00048255623872756797,15,44,0.29849194327383294,1,cancer_specific
Uterus,UBXN6,-1.211307125124663,0.005835779104625947,22,12,0.3343174285145299,3,universal
Breast,STIL,-1.211073824648898,0.016399709375767724,5,48,0.8776493075459502,2,cancer_specific
Breast,TXNIP,-1.2106509971913313,0.04741914182218606,5,48,0.9041286739135341,1,cancer_specific
Esophagus/Stomach,TMED2,-1.21061283603043,0.00020499331115071313,11,58,0.9189337655608593,1,cancer_specific
Lymphoid,CARTPT,-1.210584858433734,0.012864986681902073,6,87,0.6396936097382857,2,cancer_specific
Bladder/Urinary Tract,TRIM77,-1.2105754968676483,0.01349180698784834,8,26,1.0,1,cancer_specific
Lymphoid,YIPF3,-1.2105667127492576,0.030218435508632024,6,87,0.6949361184835696,1,cancer_specific
Skin,TLNRD1,-1.2102422367239811,0.017030729359496483,3,72,0.9969807075405016,2,cancer_specific
Skin,DRD5,-1.2096911971541613,0.015223991114402072,3,72,0.9969807075405016,1,cancer_specific
Skin,MYO16,-1.2094037730085054,0.03989633469085524,3,72,0.9969807075405016,2,cancer_specific
Uterus,STIP1,-1.2092204110522424,0.0011086602532527725,22,12,0.2923439264864039,1,cancer_specific
Skin,RCOR2,-1.2090896044747763,0.030833024805627544,3,72,0.9969807075405016,1,cancer_specific
Bowel,CCNI,-1.208879359819767,0.0003219462590101039,12,51,0.2538567676471896,4,universal
Breast,ENTPD5,-1.2088394748642484,0.040347285503461186,5,48,0.8949562803774491,2,cancer_specific
Ovary/Fallopian Tube,PSD4,-1.208659374046419,0.0010330639835351263,15,44,0.29849194327383294,3,universal
Esophagus/Stomach,PRLH,-1.2083233567014666,0.00019210835619780527,11,58,0.9189337655608593,1,cancer_specific
Skin,PLBD1,-1.2077759189375348,0.030833024805627544,3,72,0.9969807075405016,2,cancer_specific
Lymphoid,TM9SF1,-1.2076067273118019,0.04418341690037485,6,87,0.7241882556896287,4,universal
Biliary Tract,CSTB,-1.207429990893413,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Lymphoid,PCDHB4,-1.2072759566311129,0.008405520445169342,6,87,0.6137357200341474,1,cancer_specific
Uterus,ASL,-1.2072365218278447,0.003313441272231718,22,12,0.3248148603762443,1,cancer_specific
Skin,ELOA2,-1.2068574215638914,0.03989633469085524,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,KHK,-1.2068036193252056,0.012722097636708644,4,30,0.5178213974007704,1,cancer_specific
Breast,SIGIRR,-1.2062959193492109,0.006158864126202004,5,48,0.8776493075459502,2,cancer_specific
Breast,PCDHA5,-1.206042615457977,0.010866000972232144,5,48,0.8776493075459502,1,cancer_specific
Skin,SLC22A8,-1.20546245242566,0.013565346168085893,3,72,0.9969807075405016,1,cancer_specific
Lung,PSMC4,-1.205266187748146,0.00812672916704997,8,118,0.9997943488153372,1,cancer_specific
Lymphoid,TTLL10,-1.2045934554989668,0.027660514155305908,6,87,0.6900386609823649,1,cancer_specific
Skin,FCHSD2,-1.2044425338712932,0.025620140688633837,3,72,0.9969807075405016,2,cancer_specific
Bladder/Urinary Tract,ZPLD1,-1.2039188965408745,0.019562018580535884,8,26,1.0,1,cancer_specific
Uterus,ELMOD3,-1.2038106713871999,0.00417034090625347,22,12,0.32797536311417086,1,cancer_specific
Ovary/Fallopian Tube,COA3,-1.2036793616439863,0.0014015823872763373,15,44,0.308013596486265,2,cancer_specific
Breast,RBMXL3,-1.2033626511210977,0.016399709375767724,5,48,0.8776493075459502,2,cancer_specific
Skin,HDAC10,-1.2033610984735368,0.023250647908182154,3,72,0.9969807075405016,1,cancer_specific
Bowel,MAGIX,-1.203300832097296,0.0003219462590101039,12,51,0.2538567676471896,4,universal
Breast,PAFAH1B2,-1.202896042251896,0.01808491175860765,5,48,0.8776493075459502,1,cancer_specific
Breast,PRR18,-1.2027948439297445,0.019904623678208583,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,DDX55,-1.2027276331672765,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Bladder/Urinary Tract,ENTREP2,-1.2026134687842318,0.007918946052820293,8,26,1.0,1,cancer_specific
Pancreas,TEX29,-1.2025973832840438,0.0022168916548820326,12,36,0.9994757549302502,1,cancer_specific
Lymphoid,RNH1,-1.2025914425513518,0.015737685892278766,6,87,0.6540332218830897,1,cancer_specific
Breast,CEP57L1,-1.2021512649145905,0.040347285503461186,5,48,0.8949562803774491,1,cancer_specific
Skin,VWA7,-1.2018155379356668,0.025620140688633837,3,72,0.9969807075405016,1,cancer_specific
Uterus,SIT1,-1.2017994063330595,0.0018255064940831548,22,12,0.3011442637689808,1,cancer_specific
Bladder/Urinary Tract,ZNHIT2,-1.2012730232466624,0.004433195397011402,8,26,1.0,2,cancer_specific
Skin,BIN3,-1.2010801371706146,0.028137726767863754,3,72,0.9969807075405016,2,cancer_specific
Uterus,SLC29A1,-1.200765174164434,0.005835779104625947,22,12,0.3343174285145299,1,cancer_specific
Biliary Tract,LRFN2,-1.2005842000588784,0.018587200276004832,4,30,0.5537864846051892,2,cancer_specific
Bladder/Urinary Tract,GABPA,-1.2002637105899034,0.022031918125617004,8,26,1.0,1,cancer_specific
Breast,STMND1,-1.1999647881547597,0.005452166352753002,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,CLIC4,-1.1998729228946248,0.022209763670864243,4,30,0.5684101675016724,2,cancer_specific
Bowel,MUC15,-1.1995949129546184,0.0014012718872778007,12,51,0.2991215025092648,1,cancer_specific
Breast,VSNL1,-1.1989681771615335,0.043772051636329426,5,48,0.8949562803774491,1,cancer_specific
Bladder/Urinary Tract,GATA3,-1.1987513022382659,0.011857544671782714,8,26,1.0,2,cancer_specific
Lymphoid,MYCBPAP,-1.1979646627003264,0.040707573414760966,6,87,0.7084790688144357,2,cancer_specific
Uterus,TRIM54,-1.197935076560299,0.0005783250649334124,22,12,0.2868184153209086,1,cancer_specific
Breast,TMEM241,-1.1965664941593537,0.006935952900753915,5,48,0.8776493075459502,1,cancer_specific
Skin,EME1,-1.1963127622087746,0.03989633469085524,3,72,0.9969807075405016,2,cancer_specific
Uterus,ELOVL3,-1.1960222682213288,0.003313441272231718,22,12,0.3248148603762443,1,cancer_specific
Uterus,LIAS,-1.1958760106391373,0.002325498872471687,22,12,0.3011442637689808,3,universal
Bowel,FUS,-1.1956354352589176,0.001031078076213176,12,51,0.2991215025092648,1,cancer_specific
Lymphoid,DECR2,-1.1950030153314886,0.046007411963886434,6,87,0.7241882556896287,2,cancer_specific
Uterus,SRD5A3,-1.1949817525521853,0.005223684746587126,22,12,0.33214855032288565,2,cancer_specific
Lymphoid,KLHL30,-1.1944639230051088,0.004430037397243537,6,87,0.6137357200341474,1,cancer_specific
Esophagus/Stomach,CTAGE1,-1.194050170801352,0.0021156710869780324,11,58,1.0,1,cancer_specific
Lymphoid,CACNB3,-1.1936918235910938,0.03296351703934792,6,87,0.6949361184835696,1,cancer_specific
Lung,NOP9,-1.1935496734479443,0.0008674860236640218,8,118,0.9997943488153372,1,cancer_specific
Lymphoid,PPDPFL,-1.1934894735497885,0.047890288320816085,6,87,0.7241882556896287,2,cancer_specific
Lymphoid,ELP1,-1.193384656537857,0.021017795888968495,6,87,0.6640204893021006,1,cancer_specific
Bowel,PUS7,-1.1933629217729234,0.02135150998105874,12,51,0.4657590334189346,2,cancer_specific
Biliary Tract,SHISA2,-1.1931878424204836,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Skin,TMEM41A,-1.1929262875476263,0.025620140688633837,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,CIZ1,-1.192040089612895,0.03092116612040711,4,30,0.6004309844800014,1,cancer_specific
Biliary Tract,H1-4,-1.1919673346977362,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Lymphoid,SAFB,-1.1919099743590158,0.03440913006445572,6,87,0.6949361184835696,2,cancer_specific
Pancreas,AP1M1,-1.1918591270989232,0.002399666384808702,12,36,0.9994757549302502,1,cancer_specific
Skin,CTBS,-1.1915225749885006,0.018955942243613477,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,RNF141,-1.1911297200472541,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Breast,MSX2,-1.1909296879733415,0.02186860230304023,5,48,0.8776493075459502,3,universal
Breast,USE1,-1.1908590427264651,0.026259328114409772,5,48,0.8776493075459502,1,cancer_specific
Bowel,MS4A10,-1.1905345286656228,0.0004795107640280331,12,51,0.2549745243304255,1,cancer_specific
Breast,OR2G3,-1.190274364305242,0.027998766574159728,4,44,0.8776493075459502,1,cancer_specific
Bladder/Urinary Tract,ITIH3,-1.1902042201185254,0.0009757546235986334,8,26,1.0,1,cancer_specific
Biliary Tract,RAB40C,-1.1895127311274944,0.026263584612730727,4,30,0.5898363377609109,3,universal
Breast,FLII,-1.1894670620479126,0.034133363069465815,5,48,0.8914748538826587,1,cancer_specific
Biliary Tract,LPP,-1.1892803613846819,0.010393306882870452,4,30,0.5120934889906281,2,cancer_specific
Uterus,LMO3,-1.1889173150013488,0.002619960133175004,22,12,0.3011442637689808,2,cancer_specific
Biliary Tract,GABRA3,-1.1884084650262843,0.036096256684491984,4,30,0.6034249226006193,2,cancer_specific
Bladder/Urinary Tract,PPIG,-1.188271673021426,0.001989072165084728,8,26,1.0,1,cancer_specific
Biliary Tract,C20orf96,-1.187867094786482,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Biliary Tract,U2AF2,-1.1876699201334988,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Biliary Tract,NHLRC3,-1.1873393302987347,0.012722097636708644,4,30,0.5178213974007704,1,cancer_specific
Ovary/Fallopian Tube,RCC1L,-1.186810876376793,0.0007560509357781894,15,44,0.29849194327383294,3,universal
Lymphoid,TCEANC,-1.186482113996186,0.04983358090974273,6,87,0.7241882556896287,1,cancer_specific
Breast,CUL4A,-1.1863517686212723,0.019904623678208583,5,48,0.8776493075459502,1,cancer_specific
Uterus,OSBPL7,-1.1862420451661784,0.004670192363741602,22,12,0.33214855032288565,1,cancer_specific
Breast,GJC1,-1.1858328041733228,0.01808491175860765,5,48,0.8776493075459502,1,cancer_specific
Lymphoid,KIAA0319L,-1.1852048250843927,0.040707573414760966,6,87,0.7084790688144357,2,cancer_specific
Bowel,SPC24,-1.1850192550785361,5.893035126709622e-05,12,51,0.1851930601054243,1,cancer_specific
Uterus,FNTA,-1.1844502344787216,0.0014260860151498994,22,12,0.3011442637689808,1,cancer_specific
Uterus,YIPF2,-1.183143008260367,0.002619960133175004,22,12,0.3011442637689808,2,cancer_specific
Lung,ASB9,-1.1830056669058722,0.00032827222013041564,8,118,0.9997943488153372,1,cancer_specific
Skin,CEP112,-1.1830053860393048,0.028137726767863754,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,RNF186,-1.182592309237897,0.041961359323788174,4,30,0.6214543699352375,1,cancer_specific
Bladder/Urinary Tract,ADCY2,-1.182411077139336,0.017327961285299502,8,26,1.0,1,cancer_specific
Breast,HPGD,-1.1822666672970261,0.02870280187546717,5,48,0.8776493075459502,2,cancer_specific
Breast,RWDD2B,-1.182182186613908,0.016399709375767724,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,CYRIA,-1.1821062089945207,0.026263584612730727,4,30,0.5898363377609109,2,cancer_specific
Lymphoid,ZNF780A,-1.181360628115701,0.0010345459783662032,6,87,0.6137357200341474,2,cancer_specific
Lymphoid,EPX,-1.1812001403329317,0.011599916543421594,6,87,0.6159036285308653,1,cancer_specific
Breast,HMX3,-1.180782239562091,0.03132538937200425,5,48,0.8776493075459502,2,cancer_specific
Skin,CATSPER1,-1.1802821851247995,0.015223991114402072,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,PLEKHG3,-1.1802136957490545,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Breast,SIRT3,-1.180051573514983,0.019904623678208583,5,48,0.8776493075459502,3,universal
Breast,DEF8,-1.179928373888801,0.0028219125095611535,5,48,0.8776493075459502,1,cancer_specific
Skin,GPRC5D,-1.179656044061653,0.015223991114402072,3,72,0.9969807075405016,2,cancer_specific
Bowel,KRT3,-1.1787435594486417,0.0018907860873834048,12,51,0.3100561446908712,1,cancer_specific
Lymphoid,CRBN,-1.178284805380538,0.010439484610970814,6,87,0.6137357200341474,1,cancer_specific
Biliary Tract,ZNF287,-1.1782692544602915,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Bladder/Urinary Tract,SYMPK,-1.1782042885431614,0.005962259511955253,8,26,1.0,1,cancer_specific
Lymphoid,KNTC1,-1.1778326296782056,0.017360341619288622,6,87,0.6560885262082808,1,cancer_specific
Uterus,ZFP91,-1.1776662017559287,0.005835779104625947,22,12,0.3343174285145299,2,cancer_specific
Lymphoid,CUTA,-1.1776129056366207,0.02004929949837525,6,87,0.6616268834463832,1,cancer_specific
Skin,MASTL,-1.177594430135938,0.023250647908182154,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,CCN3,-1.1767753325144266,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Uterus,DLD,-1.1766492369404686,0.005223684746587126,22,12,0.33214855032288565,2,cancer_specific
Skin,MERTK,-1.1765377949024065,0.028137726767863754,3,72,0.9969807075405016,2,cancer_specific
Bladder/Urinary Tract,DPY19L3,-1.176187298351611,0.009084938679913489,8,26,1.0,2,cancer_specific
Skin,SAMD9,-1.1760116017356061,0.030833024805627544,3,72,0.9969807075405016,3,universal
Biliary Tract,RD3L,-1.1750364820231636,0.03092116612040711,4,30,0.6004309844800014,1,cancer_specific
Bladder/Urinary Tract,ZNF608,-1.1749065729271675,0.004433195397011402,8,26,1.0,1,cancer_specific
Breast,PGLS,-1.1746670966695871,0.03132538937200425,5,48,0.8776493075459502,2,cancer_specific
Skin,ARHGAP4,-1.1746547034039225,0.025620140688633837,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,GRAMD1A,-1.174581256235575,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Biliary Tract,TRIM52,-1.174446942845414,0.041961359323788174,4,30,0.6214543699352375,1,cancer_specific
Breast,BAD,-1.1741489738297326,0.0032421676943636666,5,48,0.8776493075459502,1,cancer_specific
Uterus,PNP,-1.1741047300593765,0.003313441272231718,22,12,0.3248148603762443,1,cancer_specific
Biliary Tract,PON2,-1.1740214112754246,0.026263584612730727,4,30,0.5898363377609109,3,universal
Breast,OR6K3,-1.1740134009683554,0.019611470860314523,4,44,0.8776493075459502,1,cancer_specific
Breast,MAP4K1,-1.1738596596094473,0.008725696374340737,5,48,0.8776493075459502,3,universal
Breast,HTRA1,-1.1733965719411268,0.016399709375767724,5,48,0.8776493075459502,2,cancer_specific
Biliary Tract,TMBIM1,-1.1729501723295666,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Ovary/Fallopian Tube,NDUFA4,-1.1728243786609411,0.0013193704701438761,15,44,0.308013596486265,1,cancer_specific
Biliary Tract,MPST,-1.1727480310439198,0.036096256684491984,4,30,0.6034249226006193,2,cancer_specific
Bladder/Urinary Tract,EP400,-1.172643571561609,0.0346207830667688,8,26,1.0,2,cancer_specific
Breast,ADAM29,-1.1723276120196897,0.007790402082458527,5,48,0.8776493075459502,2,cancer_specific
Breast,OR5M10,-1.1721493365617512,0.017298797409805736,4,44,0.8776493075459502,1,cancer_specific
Biliary Tract,LEMD1,-1.1720854168552903,0.004053820941866483,4,30,0.43700189753320684,1,cancer_specific
Uterus,RCC1L,-1.172023924768461,0.003313441272231718,22,12,0.3248148603762443,3,universal
Skin,RAPGEF1,-1.1719924171139713,0.04682710107367642,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,IZUMO2,-1.1718923156887522,0.040707573414760966,6,87,0.7084790688144357,1,cancer_specific
Bladder/Urinary Tract,SNX8,-1.1716680311400436,0.0002890472039199383,8,26,1.0,1,cancer_specific
Skin,NKX2-2,-1.1714998427965913,0.03367641614216957,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,A4GALT,-1.1714357007205418,0.005978163328810225,6,87,0.6137357200341474,1,cancer_specific
Biliary Tract,LILRB3,-1.1712108155436272,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Uterus,PEX26,-1.1710445251592434,0.002325498872471687,22,12,0.3011442637689808,1,cancer_specific
Biliary Tract,MGAT2,-1.1710185802535613,0.022209763670864243,4,30,0.5684101675016724,2,cancer_specific
Breast,MXRA7,-1.17077874569735,0.03132538937200425,5,48,0.8776493075459502,1,cancer_specific
Breast,CIBAR1,-1.170717136578134,0.019904623678208583,5,48,0.8776493075459502,1,cancer_specific
Skin,GEMIN5,-1.1707147687830808,0.023250647908182154,3,72,0.9969807075405016,1,cancer_specific
Skin,COLGALT2,-1.1703319202973455,0.043272861902998894,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,RASGRP2,-1.1700562656350435,0.03440913006445572,6,87,0.6949361184835696,1,cancer_specific
Uterus,MYL6B,-1.1699832690123486,0.002619960133175004,22,12,0.3011442637689808,1,cancer_specific
Bladder/Urinary Tract,SNTB1,-1.16975973868763,0.0068811740603928005,8,26,1.0,1,cancer_specific
Lymphoid,RHBDL1,-1.1697373244391018,0.012864986681902073,6,87,0.6396936097382857,1,cancer_specific
Breast,WHAMM,-1.169677412807553,0.043772051636329426,5,48,0.8949562803774491,1,cancer_specific
Bladder/Urinary Tract,SPMIP7,-1.169637274247555,0.0068811740603928005,8,26,1.0,1,cancer_specific
Uterus,SEBOX,-1.1695747315206908,0.008982521646227757,22,12,0.35321402552304804,3,universal
Lung,PUF60,-1.1694503129555425,0.0010393170073251122,8,118,0.9997943488153372,1,cancer_specific
Esophagus/Stomach,RPL22L1,-1.168433867286818,0.02525338634871561,11,58,1.0,2,cancer_specific
Lymphoid,MTHFR,-1.1681540563266162,0.014241787229794857,6,87,0.6396936097382857,1,cancer_specific
Skin,TREML4,-1.1678362033874832,0.013565346168085893,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,TKTL2,-1.1675877104537011,0.036096256684491984,4,30,0.6034249226006193,2,cancer_specific
Ovary/Fallopian Tube,MMP28,-1.1675829327812473,0.0016773976711029152,15,44,0.3133064337556914,3,universal
Breast,EFHB,-1.167539987187316,0.016399709375767724,5,48,0.8776493075459502,1,cancer_specific
Skin,TYK2,-1.1674931111045244,0.018955942243613477,3,72,0.9969807075405016,1,cancer_specific
Breast,MLN,-1.1672236496005362,0.0015506928460789248,5,48,0.8776493075459502,2,cancer_specific
Ovary/Fallopian Tube,TNNI2,-1.167038656196198,0.0013193704701438761,15,44,0.308013596486265,2,cancer_specific
Breast,KCNJ5,-1.1667840575186046,0.010866000972232144,5,48,0.8776493075459502,1,cancer_specific
Bowel,BRD2,-1.1666444131788265,0.001781832490793944,12,51,0.3100561446908712,3,universal
Skin,SPEM2,-1.1665344527685924,0.03367641614216957,3,72,0.9969807075405016,1,cancer_specific
Bowel,COMMD9,-1.1661282655603649,0.00044903116622883144,12,51,0.2549745243304255,1,cancer_specific
Lymphoid,ELP6,-1.166121894347308,0.028916608182882986,6,87,0.6907930151804587,1,cancer_specific
Biliary Tract,QSOX2,-1.166116471771057,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Breast,NCSTN,-1.1659124418256384,0.019904623678208583,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,P2RY14,-1.1657662767374914,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Breast,ZNF517,-1.165406143204628,0.037138570958136524,5,48,0.8914748538826587,1,cancer_specific
Biliary Tract,CD300LF,-1.1653271439189432,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Breast,ZFYVE1,-1.1649334738934372,0.010866000972232144,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,SCGB2B2,-1.1648668624848784,0.026263584612730727,4,30,0.5898363377609109,2,cancer_specific
Lymphoid,RNF182,-1.1647564916523077,0.009376861063830193,6,87,0.6137357200341474,1,cancer_specific
Biliary Tract,SMG8,-1.1646936021678231,0.015482145937553909,4,30,0.5255361255558615,2,cancer_specific
Uterus,GFRAL,-1.1645234209898971,0.005223684746587126,22,12,0.33214855032288565,1,cancer_specific
Uterus,METTL16,-1.164461224822194,0.0099753922418749,22,12,0.35702346963883996,1,cancer_specific
Breast,KCNN2,-1.1643612873002789,0.005452166352753002,5,48,0.8776493075459502,1,cancer_specific
Uterus,TRAF4,-1.1636927593670328,0.002061638765240449,22,12,0.3011442637689808,1,cancer_specific
Bladder/Urinary Tract,IQCA1,-1.163330559253505,0.002352584273673065,8,26,1.0,2,cancer_specific
Uterus,BSND,-1.1632982929616973,0.005223684746587126,22,12,0.33214855032288565,1,cancer_specific
Uterus,DHDDS,-1.1630096600464717,0.0099753922418749,22,12,0.35702346963883996,2,cancer_specific
Breast,RBM46,-1.1629537727269372,0.008725696374340737,5,48,0.8776493075459502,1,cancer_specific
Lymphoid,SF3A3,-1.1627670020459633,0.007106041444254724,6,87,0.6137357200341474,2,cancer_specific
Bowel,CD109,-1.1624585298696264,0.0007068007518402281,12,51,0.2991215025092648,1,cancer_specific
Uterus,AATF,-1.1621612693936845,0.003313441272231718,22,12,0.3248148603762443,2,cancer_specific
Biliary Tract,AVPR1B,-1.1620565424983949,0.022209763670864243,4,30,0.5684101675016724,2,cancer_specific
Skin,SOD1,-1.161333442701314,0.04682710107367642,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,SLCO2A1,-1.1612232228851516,0.014241787229794857,6,87,0.6396936097382857,1,cancer_specific
Skin,DBT,-1.1611519909580792,0.04682710107367642,3,72,0.9969807075405016,1,cancer_specific
Esophagus/Stomach,RASGRP1,-1.161057063758504,0.009830476764223163,11,58,1.0,1,cancer_specific
Esophagus/Stomach,AP3M1,-1.160571961024442,0.0013523574815409215,11,58,1.0,2,cancer_specific
Lymphoid,SFRP2,-1.1604777307314607,0.007106041444254724,6,87,0.6137357200341474,1,cancer_specific
Lymphoid,ZNF672,-1.1604356292908193,0.013538916551980517,6,87,0.6396936097382857,1,cancer_specific
Skin,ARHGAP18,-1.1599438623147875,0.03367641614216957,3,72,0.9969807075405016,1,cancer_specific
Skin,FOXS1,-1.159655190080613,0.017030729359496483,3,72,0.9969807075405016,4,universal
Skin,PLEKHB1,-1.159625232271982,0.04682710107367642,3,72,0.9969807075405016,2,cancer_specific
Breast,THOC2,-1.159267463406593,0.034133363069465815,5,48,0.8914748538826587,1,cancer_specific
Breast,AP3B2,-1.15856841870291,0.03132538937200425,5,48,0.8776493075459502,2,cancer_specific
Bladder/Urinary Tract,INTU,-1.1584986577602339,0.024752090249701972,8,26,1.0,1,cancer_specific
Esophagus/Stomach,RPL36A,-1.1581928589564143,0.004468518400406946,7,32,1.0,2,cancer_specific
Bladder/Urinary Tract,EEA1,-1.1578487318413644,0.010394243201938026,8,26,1.0,1,cancer_specific
Bladder/Urinary Tract,MTX1,-1.1574263416866875,0.002770953664102915,8,26,1.0,1,cancer_specific
Breast,VWA5A,-1.1572929641624385,0.016399709375767724,5,48,0.8776493075459502,1,cancer_specific
Skin,VRK3,-1.156286983169391,0.028137726767863754,3,72,0.9969807075405016,1,cancer_specific
Uterus,IL1R2,-1.1560388879567796,0.014993701781933141,22,12,0.38517488059003313,1,cancer_specific
Lymphoid,UNK,-1.155989074862314,0.00795208122216963,6,87,0.6137357200341474,1,cancer_specific
Skin,NFRKB,-1.155936375990453,0.03989633469085524,3,72,0.9969807075405016,1,cancer_specific
Uterus,VCF2,-1.155644686734311,0.011064863130672741,22,12,0.36538501067420426,1,cancer_specific
Lymphoid,KIAA1143,-1.1554679016683045,0.008405520445169342,6,87,0.6137357200341474,2,cancer_specific
Lymphoid,CORO2B,-1.1554482279723288,0.014241787229794857,6,87,0.6396936097382857,1,cancer_specific
Breast,NUDT7,-1.1550061573359194,0.02870280187546717,5,48,0.8776493075459502,1,cancer_specific
Skin,MAP3K11,-1.1543152304347177,0.03669751943724547,3,72,0.9969807075405016,1,cancer_specific
Lymphoid,WDR86,-1.1542569685026296,0.0008824952251209402,6,87,0.6037285603548525,2,cancer_specific
Biliary Tract,TMA16,-1.153945661421661,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Biliary Tract,ARMC12,-1.153914353731854,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Lymphoid,MIIP,-1.153788283348536,0.011599916543421594,6,87,0.6159036285308653,1,cancer_specific
Bladder/Urinary Tract,ZNF428,-1.153782019552845,0.004433195397011402,8,26,1.0,2,cancer_specific
Biliary Tract,CHGA,-1.1535371916067085,0.041961359323788174,4,30,0.6214543699352375,1,cancer_specific
Uterus,AMER2,-1.1522457379899205,0.005835779104625947,22,12,0.3343174285145299,2,cancer_specific
Uterus,FLT3,-1.151635301477969,0.00417034090625347,22,12,0.32797536311417086,1,cancer_specific
Biliary Tract,ECM1,-1.1514812745869893,0.041961359323788174,4,30,0.6214543699352375,1,cancer_specific
Breast,CFAP126,-1.1509445292169926,0.014843441004848966,5,48,0.8776493075459502,2,cancer_specific
Biliary Tract,NCL,-1.1508774564971356,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Biliary Tract,FGFBP1,-1.150857597791929,0.026263584612730727,4,30,0.5898363377609109,2,cancer_specific
Breast,AHSG,-1.1504113799207532,0.014843441004848966,5,48,0.8776493075459502,1,cancer_specific
Bowel,RPL23A,-1.1503565270889973,0.012336621027371354,9,22,0.44119347510768253,2,cancer_specific
Uterus,CAMK1G,-1.1501022466884243,0.003313441272231718,22,12,0.3248148603762443,1,cancer_specific
Breast,ACSM2B,-1.1500985340839756,0.024946037619488128,4,44,0.8776493075459502,1,cancer_specific
Breast,DNMT1,-1.1499171860300659,0.026259328114409772,5,48,0.8776493075459502,1,cancer_specific
Bowel,KLC4,-1.1498522967924532,0.0014012718872778007,12,51,0.2991215025092648,1,cancer_specific
Bladder/Urinary Tract,AP1S1,-1.149436300336198,0.004433195397011402,8,26,1.0,1,cancer_specific
Breast,AKT1,-1.149374508743794,0.03132538937200425,5,48,0.8776493075459502,1,cancer_specific
Lymphoid,SMUG1,-1.1491904251649472,0.0014045396430318504,6,87,0.6137357200341474,1,cancer_specific
Pancreas,OR2T35,-1.149114001221768,0.01372334421965113,12,28,0.9994757549302502,2,cancer_specific
Skin,WFIKKN1,-1.148994210786883,0.03669751943724547,3,72,0.9969807075405016,2,cancer_specific
Breast,LONRF2,-1.1487874692923599,0.01808491175860765,5,48,0.8776493075459502,1,cancer_specific
Breast,LOXL1,-1.1485378750633957,0.006935952900753915,5,48,0.8776493075459502,1,cancer_specific
Skin,ACTMAP,-1.1484357978615798,0.025620140688633837,3,72,0.9969807075405016,1,cancer_specific
Bladder/Urinary Tract,GOSR1,-1.1478316656929728,0.007918946052820293,8,26,1.0,1,cancer_specific
Biliary Tract,HP1BP3,-1.1478036364154407,0.012722097636708644,4,30,0.5178213974007704,2,cancer_specific
