comparison,treatment_id,drug_name,cohens_d,p_value,n_group_a,n_group_b,median_a,median_b,fdr,Drug.Name,MOA,repurposing_target,Synonyms
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00069020-001-02-9,MOBOCERTINIB,0.1477,0.0388502497873328,149,51,-0.6402,-0.939,0.5397061790807384,MOBOCERTINIB,,,MOBOCERTINIB
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00071586-001-01-9,FLUTEMETAMOL,-0.0572,0.8639856592195688,51,384,0.1405,0.1393,0.971980033668836,FLUTEMETAMOL,,,FLUTEMETAMOL
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00071586-001-01-9,FLUTEMETAMOL,-0.0251,0.4922584332873975,149,51,0.1008,0.1405,0.8882919481012854,FLUTEMETAMOL,,,FLUTEMETAMOL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00071589-001-01-9,LEFAMULIN,-0.2384,0.1335539564258721,51,384,-0.5493,-0.4674,0.6118970068364858,LEFAMULIN,,,LEFAMULIN
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00071589-001-01-9,LEFAMULIN,0.1712,0.3377568959541279,149,51,-0.5002,-0.5493,0.820525697147953,LEFAMULIN,,,LEFAMULIN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00071592-001-01-9,PIBRENTASVIR,-0.128,0.6673855678111621,51,384,-0.5978,-0.5549,0.9197377725670368,PIBRENTASVIR,,,PIBRENTASVIR
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00071592-001-01-9,PIBRENTASVIR,0.144,0.4834678344513051,149,51,-0.528,-0.5978,0.8854836929008201,PIBRENTASVIR,,,PIBRENTASVIR
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00071596-019-01-9,MACIMORELIN,-0.0109,0.7637798774229437,51,384,-0.1256,-0.1221,0.9445740298513724,MACIMORELIN,,,MACIMORELIN
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00071596-019-01-9,MACIMORELIN,-0.0328,0.9419043660234389,149,51,-0.1138,-0.1256,0.9956421130446648,MACIMORELIN,,,MACIMORELIN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00071599-001-02-9,REMDESIVIR,0.0526,0.514007468438493,51,384,-0.5044,-0.5509,0.870293433547753,REMDESIVIR,,,REMDESIVIR
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00071599-001-02-9,REMDESIVIR,-0.0651,0.4834678344513051,149,51,-0.5952,-0.5044,0.8854836929008201,REMDESIVIR,,,REMDESIVIR
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073038-001-02-9,ENSARTINIB HYDROCHLORIDE,-0.0589,0.2756889167622167,51,384,-0.6704,-0.5462,0.7393221760135149,ENSARTINIB HYDROCHLORIDE,,,ENSARTINIB HYDROCHLORIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073038-001-02-9,ENSARTINIB HYDROCHLORIDE,-0.0844,0.9597614131507308,149,51,-0.6278,-0.6704,0.9969687176126606,ENSARTINIB HYDROCHLORIDE,,,ENSARTINIB HYDROCHLORIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073067-001-02-9,ARTELINIC ACID,-0.0888,0.809364042857364,51,384,-0.565,-0.6682,0.957585267642708,ARTELINIC ACID,,,ARTELINIC ACID
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073067-001-02-9,ARTELINIC ACID,-0.0077,0.7878661248774077,149,51,-0.755,-0.565,0.969132425347391,ARTELINIC ACID,,,ARTELINIC ACID
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073070-001-02-9,SAR-260301,-0.1902,0.0966211803405943,51,384,-0.2425,-0.1613,0.5563702119406047,SAR-260301,,,SAR-260301
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073070-001-02-9,SAR-260301,0.2068,0.1992300709896195,149,51,-0.204,-0.2425,0.7365229800603105,SAR-260301,,,SAR-260301
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073093-001-02-9,ALOFANIB,-0.3161,0.0125168559157613,51,384,-2.4859,-1.9184,0.3150282213258835,ALOFANIB,,,ALOFANIB
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073093-001-02-9,ALOFANIB,0.2509,0.085759325034882,149,51,-1.9507,-2.4859,0.6258844526328753,ALOFANIB,,,ALOFANIB
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073449-019-02-9,H-VAL-PRO-PRO-OH (TFA),-0.1573,0.1401216488680605,51,384,-0.3124,-0.219,0.6175447229318648,H-VAL-PRO-PRO-OH (TFA),,,H-VAL-PRO-PRO-OH (TFA)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073449-019-02-9,H-VAL-PRO-PRO-OH (TFA),0.1821,0.0326922058231501,149,51,-0.1577,-0.3124,0.526019141088127,H-VAL-PRO-PRO-OH (TFA),,,H-VAL-PRO-PRO-OH (TFA)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073457-001-02-9,ALMINOPROFEN,0.0542,0.9456539027990496,51,384,0.0808,0.0729,0.9890075508221102,ALMINOPROFEN,,,ALMINOPROFEN
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073457-001-02-9,ALMINOPROFEN,-0.0687,0.8642398339801425,149,51,0.0912,0.0808,0.9832834649479916,ALMINOPROFEN,,,ALMINOPROFEN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073831-019-02-9,DUSQUETIDE,0.0257,0.6777663413002328,51,384,0.0218,-0.0061,0.9228569566575698,DUSQUETIDE,,,DUSQUETIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073831-019-02-9,DUSQUETIDE,-0.1424,0.3957188668059276,149,51,-0.0034,0.0218,0.8477864203519857,DUSQUETIDE,,,DUSQUETIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073864-001-02-9,PEXACERFONT,-0.1011,0.2638570164479533,51,384,-0.0489,-0.0048,0.7302508424628577,PEXACERFONT,,,PEXACERFONT
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073864-001-02-9,PEXACERFONT,0.2896,0.0289995143680485,149,51,0.0678,-0.0489,0.5111563259360549,PEXACERFONT,,,PEXACERFONT
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073880-001-02-9,TILDIPIROSIN,-0.3267,0.03018438287383,51,384,-0.3122,-0.2459,0.393453459613539,TILDIPIROSIN,,,TILDIPIROSIN
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073880-001-02-9,TILDIPIROSIN,0.4767,0.0055693989653236,149,51,-0.2143,-0.3122,0.3781621897454741,TILDIPIROSIN,,,TILDIPIROSIN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073895-001-02-9,GW7604,-0.0592,0.3037571505586289,51,384,-0.168,-0.1208,0.755079650192088,GW7604,,,GW7604
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073895-001-02-9,GW7604,-0.1602,0.9151762460362532,149,51,-0.1675,-0.168,0.9908670614128052,GW7604,,,GW7604
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073934-001-02-9,DABUZALGRON,0.0075,0.8222517780124273,51,384,-0.0623,-0.0764,0.9618741589941456,DABUZALGRON,,,DABUZALGRON
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073934-001-02-9,DABUZALGRON,0.0791,0.4179110230181637,149,51,-0.053,-0.0623,0.8584978556014115,DABUZALGRON,,,DABUZALGRON
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073937-001-02-9,RP-54745,-0.0534,0.916442803240198,51,384,-1.0413,-1.0649,0.9822250083210295,RP-54745,,,RP-54745
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073937-001-02-9,RP-54745,0.1639,0.4887319415047546,149,51,-0.9781,-1.0413,0.8868225234680075,RP-54745,,,RP-54745
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00073947-001-02-9,SELTOREXANT,0.1605,0.5859384521158943,51,384,-0.3018,-0.3015,0.895806210911132,SELTOREXANT,,,SELTOREXANT
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00073947-001-02-9,SELTOREXANT,-0.2592,0.3321369624849747,149,51,-0.3309,-0.3018,0.8182492990518917,SELTOREXANT,,,SELTOREXANT
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074079-001-02-9,GSK2245035,0.1011,0.2078210599104267,51,384,0.4303,0.3588,0.6906848862245817,GSK2245035,,,GSK2245035
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074079-001-02-9,GSK2245035,-0.0749,0.2102363414820753,149,51,0.3528,0.4303,0.744022061435608,GSK2245035,,,GSK2245035
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074122-001-02-9,TAS-116,-0.1005,0.5697356506311194,51,384,-4.2583,-4.1587,0.8914844875676842,TAS-116,,,TAS-116
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074122-001-02-9,TAS-116,0.0698,0.7835555817013307,149,51,-4.2394,-4.2583,0.9679412611947278,TAS-116,,,TAS-116
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074484-001-02-9,MHP,-0.0447,0.9692664544946128,51,384,0.0169,-0.0303,0.99385672395325,MHP,,,MHP
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074484-001-02-9,MHP,0.0022,0.7030545961294472,149,51,-0.0641,0.0169,0.9507802940235678,MHP,,,MHP
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074531-001-02-9,NETICONAZOLE,-0.0477,0.4547923652324374,51,384,-0.0183,0.0364,0.8471496058142889,NETICONAZOLE,,,NETICONAZOLE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074531-001-02-9,NETICONAZOLE,0.1215,0.269437086847795,149,51,0.0581,-0.0183,0.7725180299041625,NETICONAZOLE,,,NETICONAZOLE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074616-003-02-9,ETIDOCAINE (HYDROCHLORIDE),0.2241,0.1139131426629428,51,384,-0.0827,-0.1465,0.5868145492856177,ETIDOCAINE (HYDROCHLORIDE),,,ETIDOCAINE (HYDROCHLORIDE)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074616-003-02-9,ETIDOCAINE (HYDROCHLORIDE),-0.081,0.6926841796791026,149,51,-0.0884,-0.0827,0.9478490473657184,ETIDOCAINE (HYDROCHLORIDE),,,ETIDOCAINE (HYDROCHLORIDE)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074641-001-02-9,IMRECOXIB,-0.0697,0.3110609409827655,51,384,-0.1483,-0.0538,0.7604908948764504,IMRECOXIB,,,IMRECOXIB
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074641-001-02-9,IMRECOXIB,-0.0391,0.855432569379596,149,51,-0.1128,-0.1483,0.9822167908183485,IMRECOXIB,,,IMRECOXIB
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074712-001-02-9,TEGLICAR,-0.1606,0.1452902578496217,51,384,-0.2642,-0.2028,0.6193090791612524,TEGLICAR,,,TEGLICAR
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074712-001-02-9,TEGLICAR,0.1118,0.3848949690298371,149,51,-0.2157,-0.2642,0.8433963277415858,TEGLICAR,,,TEGLICAR
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074735-014-02-9,OLANEXIDINE,0.1353,0.7457634518824758,51,384,-0.2922,-0.2729,0.9386916487065629,OLANEXIDINE,,,OLANEXIDINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074735-014-02-9,OLANEXIDINE,-0.1552,0.7943441011141551,149,51,-0.2674,-0.2922,0.970387563780288,OLANEXIDINE,,,OLANEXIDINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074789-001-02-9,SPIRAPRIL HYDROCHLORIDE,-0.0263,0.811202072850737,51,384,-0.0759,-0.0849,0.9585906847644454,SPIRAPRIL HYDROCHLORIDE,,,SPIRAPRIL HYDROCHLORIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074789-001-02-9,SPIRAPRIL HYDROCHLORIDE,0.0588,0.7771022420278126,149,51,-0.072,-0.0759,0.9679412611947278,SPIRAPRIL HYDROCHLORIDE,,,SPIRAPRIL HYDROCHLORIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074831-001-02-9,AZD 4017,-0.0218,0.9825025946116528,51,384,0.0893,0.0509,0.9955841087171672,AZD 4017,,,AZD 4017
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074831-001-02-9,AZD 4017,0.0627,0.8576327424444227,149,51,0.0614,0.0893,0.9830172586124234,AZD 4017,,,AZD 4017
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074843-001-02-9,TEPILAMIDE FUMARATE,-0.0248,0.3723507370090086,51,384,-0.2497,-0.1654,0.8005894567103131,TEPILAMIDE FUMARATE,,,TEPILAMIDE FUMARATE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074843-001-02-9,TEPILAMIDE FUMARATE,-0.1315,0.7093036222142869,149,51,-0.2564,-0.2497,0.952701444750832,TEPILAMIDE FUMARATE,,,TEPILAMIDE FUMARATE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00074858-003-02-9,SR-31747,-0.0407,0.6315620854087114,51,384,-0.1253,-0.117,0.911048769901243,SR-31747,,,SR-31747
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00074858-003-02-9,SR-31747,0.3828,0.0453598769583758,149,51,-0.0745,-0.1253,0.5508965272422481,SR-31747,,,SR-31747
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075060-001-02-9,RUPINTRIVIR,-0.0665,0.4905964318682942,51,384,0.1677,0.1952,0.8629106521103375,RUPINTRIVIR,,,RUPINTRIVIR
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075060-001-02-9,RUPINTRIVIR,-0.049,0.9485978214981156,149,51,0.1934,0.1677,0.9956725852641204,RUPINTRIVIR,,,RUPINTRIVIR
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075103-001-02-9,FINERENONE,-0.0962,0.5617152069968023,51,384,0.0013,0.0285,0.8888988329270909,FINERENONE,,,FINERENONE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075103-001-02-9,FINERENONE,0.188,0.3075997155287731,149,51,0.0543,0.0013,0.8029577307031917,FINERENONE,,,FINERENONE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075140-005-02-9,ECHOTHIOPHATE IODIDE,-0.2173,0.1744716201156106,51,384,-0.0299,0.0373,0.6612061708487936,ECHOTHIOPHATE IODIDE,,,ECHOTHIOPHATE IODIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075140-005-02-9,ECHOTHIOPHATE IODIDE,0.2107,0.1561062598162994,149,51,0.0394,-0.0299,0.6923327917391725,ECHOTHIOPHATE IODIDE,,,ECHOTHIOPHATE IODIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075152-001-02-9,AZD1940,-0.3749,0.0091845578538052,51,384,-0.0972,-0.0007,0.3019040895700119,AZD1940,,,AZD1940
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075152-001-02-9,AZD1940,0.4426,0.0035243760613535,149,51,0.0158,-0.0972,0.3625835372210736,AZD1940,,,AZD1940
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075290-001-02-9,PAMICOGREL,-0.4089,0.0249388863656667,51,384,-0.2695,-0.1565,0.3819522957198721,PAMICOGREL,,,PAMICOGREL
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075290-001-02-9,PAMICOGREL,0.3527,0.0456626048780686,149,51,-0.153,-0.2695,0.5516887671211491,PAMICOGREL,,,PAMICOGREL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075424-001-02-9,RECILISIB,-0.2029,0.063809520130035,51,384,-0.1799,-0.1059,0.493796640855705,RECILISIB,,,RECILISIB
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075424-001-02-9,RECILISIB,0.0292,0.5769906651161776,149,51,-0.1708,-0.1799,0.9194380659201132,RECILISIB,,,RECILISIB
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075537-001-02-9,LY2562175,-0.34,0.0064101828779363,51,384,-0.3213,-0.1238,0.2653972057389496,LY2562175,,,LY2562175
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075537-001-02-9,LY2562175,0.4245,0.0024006714903632,149,51,-0.125,-0.3213,0.3150462413796093,LY2562175,,,LY2562175
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075584-003-02-9,MELFLUFEN (HYDROCHLORIDE),-0.1707,0.0553219322948056,51,384,-5.7202,-5.4992,0.4773448494570123,MELFLUFEN (HYDROCHLORIDE),,,MELFLUFEN (HYDROCHLORIDE)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075584-003-02-9,MELFLUFEN (HYDROCHLORIDE),0.1143,0.2259445912701845,149,51,-5.587,-5.7202,0.7452921786454123,MELFLUFEN (HYDROCHLORIDE),,,MELFLUFEN (HYDROCHLORIDE)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075618-001-03-9,FEDOVAPAGON,0.2327,0.1652551774538184,51,384,-0.0738,-0.1461,0.6501734752246985,FEDOVAPAGON,,,FEDOVAPAGON
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075618-001-03-9,FEDOVAPAGON,-0.2517,0.1577487709033623,149,51,-0.1702,-0.0738,0.694271688133142,FEDOVAPAGON,,,FEDOVAPAGON
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075632-305-02-9,ADRIFORANT (HYDROCHLORIDE),-0.2052,0.1828949297930431,51,384,-0.2432,-0.1906,0.6703818514534958,ADRIFORANT (HYDROCHLORIDE),,,ADRIFORANT (HYDROCHLORIDE)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075632-305-02-9,ADRIFORANT (HYDROCHLORIDE),0.3509,0.036277895387645,149,51,-0.1581,-0.2432,0.5397061790807384,ADRIFORANT (HYDROCHLORIDE),,,ADRIFORANT (HYDROCHLORIDE)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075673-001-02-9,PF-03463275,-0.0333,0.7039836588480652,51,384,0.0676,0.0987,0.9286830463429296,PF-03463275,,,PF-03463275
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075673-001-02-9,PF-03463275,0.0607,0.4747631407987857,149,51,0.1474,0.0676,0.8824642009372448,PF-03463275,,,PF-03463275
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075696-001-02-9,IOMAZENIL,-0.4028,0.0251694795746828,51,384,-0.001,0.0689,0.3819522957198721,IOMAZENIL,,,IOMAZENIL
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075696-001-02-9,IOMAZENIL,0.4169,0.0264234248169309,149,51,0.0939,-0.001,0.4983751514082244,IOMAZENIL,,,IOMAZENIL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075715-003-02-9,ABT-418 (HYDROCHLORIDE),-0.0826,0.8845355033019305,51,384,0.0329,0.0146,0.9749342995127562,ABT-418 (HYDROCHLORIDE),,,ABT-418 (HYDROCHLORIDE)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075715-003-02-9,ABT-418 (HYDROCHLORIDE),0.1221,0.3682560110275559,149,51,0.0755,0.0329,0.8345989034970308,ABT-418 (HYDROCHLORIDE),,,ABT-418 (HYDROCHLORIDE)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075727-003-02-9,TIPEPIDINE (HYDROCHLORIDE),0.1731,0.1786463435321692,51,384,-0.1736,-0.2147,0.6651582968275234,TIPEPIDINE (HYDROCHLORIDE),,,TIPEPIDINE (HYDROCHLORIDE)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075727-003-02-9,TIPEPIDINE (HYDROCHLORIDE),-0.0851,0.5411719589777577,149,51,-0.1749,-0.1736,0.9043166745425428,TIPEPIDINE (HYDROCHLORIDE),,,TIPEPIDINE (HYDROCHLORIDE)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075754-001-02-9,CENISERTIB,-0.194,0.1217058975944002,51,384,-3.5884,-3.0097,0.5988282932362159,CENISERTIB,,,CENISERTIB
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075754-001-02-9,CENISERTIB,0.151,0.2270208274091413,149,51,-3.2604,-3.5884,0.7452921786454123,CENISERTIB,,,CENISERTIB
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00075778-003-02-9,ANSOFAXINE HYDROCHLORIDE,0.0224,0.7556559923089137,51,384,-0.2163,-0.1722,0.9420994830125548,ANSOFAXINE HYDROCHLORIDE,,,ANSOFAXINE HYDROCHLORIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00075778-003-02-9,ANSOFAXINE HYDROCHLORIDE,0.0216,0.5808251002084484,149,51,-0.1414,-0.2163,0.920018054428392,ANSOFAXINE HYDROCHLORIDE,,,ANSOFAXINE HYDROCHLORIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076061-001-02-9,ALEGLITAZAR,-0.0746,0.480952241630837,51,384,-0.2238,-0.1836,0.8586967956760428,ALEGLITAZAR,,,ALEGLITAZAR
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076061-001-02-9,ALEGLITAZAR,0.0743,0.5082951064276048,149,51,-0.1812,-0.2238,0.8969136623293753,ALEGLITAZAR,,,ALEGLITAZAR
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076155-001-02-9,LONAPALENE,-0.5271,0.0019700344074246,51,384,-0.4233,-0.2139,0.1920360263484117,LONAPALENE,,,LONAPALENE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076155-001-02-9,LONAPALENE,0.3664,0.0396515460002683,149,51,-0.2748,-0.4233,0.540630516750647,LONAPALENE,,,LONAPALENE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076260-001-02-9,SR 146131,-0.294,0.0111636448470306,51,384,0.0385,0.1702,0.3096164558445862,SR 146131,,,SR 146131
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076260-001-02-9,SR 146131,0.2261,0.0372888708763215,149,51,0.1643,0.0385,0.5397061790807384,SR 146131,,,SR 146131
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076315-001-02-9,PIBRENTASVIR,0.0158,0.6468155116888546,51,384,-0.1596,-0.0974,0.91402233597655,PIBRENTASVIR,,,PIBRENTASVIR
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076315-001-02-9,PIBRENTASVIR,0.032,0.6477574291733963,149,51,-0.071,-0.1596,0.9406448265101292,PIBRENTASVIR,,,PIBRENTASVIR
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076418-001-02-9,AZD5423,-0.2433,0.0435609561641219,51,384,-0.1977,-0.0281,0.4495870874789268,AZD5423,,,AZD5423
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076418-001-02-9,AZD5423,0.1986,0.1457446409635097,149,51,-0.065,-0.1977,0.6823086062761267,AZD5423,,,AZD5423
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076465-001-02-9,ZD-4190,-0.122,0.4184607006722716,51,384,-0.5256,-0.4668,0.8244450894548304,ZD-4190,,,ZD-4190
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076465-001-02-9,ZD-4190,0.1591,0.0802846483606354,149,51,-0.3392,-0.5256,0.625146797161663,ZD-4190,,,ZD-4190
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076468-001-02-9,BROFAROMINE,-0.0214,0.993851830977124,51,384,-0.0703,-0.0501,0.9993520332783604,BROFAROMINE,,,BROFAROMINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076468-001-02-9,BROFAROMINE,0.0823,0.7155722679959649,149,51,-0.0282,-0.0703,0.9542823750805172,BROFAROMINE,,,BROFAROMINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076493-001-02-9,NRC-2694,-0.0382,0.301532939961681,51,384,-0.7756,-0.7157,0.7550271909858003,NRC-2694,,,NRC-2694
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076493-001-02-9,NRC-2694,0.197,0.0225131937331665,149,51,-0.5419,-0.7756,0.4866781448441642,NRC-2694,,,NRC-2694
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076501-001-02-9,PF 04531083,-0.4388,0.0058150014505503,51,384,-0.0458,0.0661,0.2548609726256647,PF 04531083,,,PF 04531083
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076501-001-02-9,PF 04531083,0.5062,0.0081454912194954,149,51,0.0711,-0.0458,0.4309127550992946,PF 04531083,,,PF 04531083
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076620-001-02-9,CE-245677,0.1496,0.4260004722666073,51,384,-1.4288,-1.6088,0.8292841762300067,CE-245677,,,CE-245677
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076620-001-02-9,CE-245677,-0.0576,0.7621048416580286,149,51,-1.5661,-1.4288,0.9641203739096408,CE-245677,,,CE-245677
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076647-001-02-9,MK-0429,-0.1934,0.1630987596584566,51,384,-0.717,-0.5792,0.6472077630157166,MK-0429,,,MK-0429
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076647-001-02-9,MK-0429,0.1335,0.6639571429948817,149,51,-0.7022,-0.717,0.9413804179317584,MK-0429,,,MK-0429
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076721-001-02-9,SDZ-MKS 492,-0.2218,0.0453176244637533,51,384,-0.1737,-0.0884,0.4516679784188213,SDZ-MKS 492,,,SDZ-MKS 492
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076721-001-02-9,SDZ-MKS 492,0.2407,0.1151977464228164,149,51,-0.0816,-0.1737,0.6611550210041404,SDZ-MKS 492,,,SDZ-MKS 492
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076909-001-02-9,AZD2098,-0.1949,0.0794429237481487,51,384,-0.0059,0.1188,0.5294308539340896,AZD2098,,,AZD2098
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076909-001-02-9,AZD2098,0.1918,0.3010023773285202,149,51,0.0756,-0.0059,0.7983461627925514,AZD2098,,,AZD2098
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076917-001-02-9,FEBANTEL,0.0805,0.3318865893910868,51,384,-0.009,-0.0251,0.7764526927375694,FEBANTEL,,,FEBANTEL
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076917-001-02-9,FEBANTEL,-0.1574,0.2313623151352324,149,51,-0.0282,-0.009,0.750048437015855,FEBANTEL,,,FEBANTEL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076940-046-02-9,EVOGLIPTIN (TARTRATE),0.0563,0.8509553260753138,51,384,-2.6446,-2.6625,0.9688106411890308,EVOGLIPTIN (TARTRATE),,,EVOGLIPTIN (TARTRATE)
MTAP-confound_within_CDKN2A-del,BRD:BRD-K00076940-046-02-9,EVOGLIPTIN (TARTRATE),-0.1331,0.4019856840242222,149,51,-2.7538,-2.6446,0.8532300076662922,EVOGLIPTIN (TARTRATE),,,EVOGLIPTIN (TARTRATE)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-K00076949-001-02-9,RIMACALIB,0.0522,0.6366295710921963,51,384,-0.3164,-0.345,0.9115342453450254,RIMACALIB,,,RIMACALIB
