ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,MTAP_CN,MTAP_deleted,MTAP_expression
ACH-000525,NCI-H2171,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0.7295426369206774,False,4.344544473954711
ACH-000526,Hs 821.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,False,4.53474019694354
ACH-000527,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,1.0622548221643564,False,4.930358876112424
ACH-000528,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.6131156417355829,False,4.089218465974801
ACH-000529,T1-73,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,False,4.813011548605618
ACH-000530,DMS 114,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,0.8339092510391962,False,3.9089473737137497
ACH-000531,RS-5,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,False,3.91506191878964
ACH-000532,SNU-61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,0.8769705358985072,False,4.563890277102555
ACH-000533,NCI-H2004 RT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,0.9966231113833612,False,4.032294835569414
ACH-000534,WSU-DLCL2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,
ACH-000535,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.116823545933868e-05,True,0.1223785181752679
ACH-000536,BT-20,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,0.9091602020803596,False,5.539267396970832
ACH-000537,SNU-761,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,0.9926406666337642,False,4.5009294939866065
ACH-000538,HUTU80,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,1.0446932757792675,False,6.643260233649425
ACH-000539,Hs 618.T,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,False,5.0228205262807695
ACH-000540,Hs 606.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,False,4.381179527952647
ACH-000541,KMS-34,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,1.0648698769568865,False,5.627609756199193
ACH-000542,Hey-A8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.253533524133488e-05,True,0.5021197583017588
ACH-000543,SNU-489,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,3.5096325088909093
ACH-000544,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,1.0308018002827402,False,4.007401842281548
ACH-000545,VM-CUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0.9681529565970732,False,6.169009000106006
ACH-000546,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,5.110212885185435
ACH-000547,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0.7761755861956527,False,4.799382655212536
ACH-000548,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,1.123230299180381,False,5.851394257196978
ACH-000549,SNU-1076,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,,False,3.8685880013281966
ACH-000550,IGR-39,Skin,Melanoma,Melanoma,0.0049245697080373,True,3.790553115213122
ACH-000551,K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",1.259543151968282e-05,True,0.1209769285806416
ACH-000552,HT-29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.0391387538224528,False,6.281158529287553
ACH-000553,Sq-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,5.452878727524215
ACH-000554,UACC-893,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,0.7652873772428334,False,4.765518834197569
ACH-000555,A-498,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,False,5.1605330087609085
ACH-000556,SIHA,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,,False,5.057099303676053
ACH-000557,AML-193,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,0.9786668963979418,False,5.181559782397325
ACH-000558,A-172,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,0.2159357430101688
ACH-000559,NCI-H1836,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.2631196751176512,False,5.707833969809549
ACH-000560,ECC10,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,,False,5.389621875408117
ACH-000561,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,False,4.2073618921364035
ACH-000562,HCC-78,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,5.950414755348343
ACH-000563,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,5.442416069539653
ACH-000564,KHM-1B,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,4.44775770413963
ACH-000565,RCM-1,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,,False,5.23529816954181
ACH-000566,SW-1710,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,,False,3.846021868300014
ACH-000567,ST486,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,,False,6.125024910850109
ACH-000568,UACC-812,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,0.847374449995842,False,3.3630350732171457
ACH-000569,IST-MES1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",,False,0.2705899379386121
ACH-000570,YKG1,CNS/Brain,Diffuse Glioma,Glioblastoma,0.0283499146769275,True,4.781338728716903
ACH-000571,T98G,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,4.666313491510833
ACH-000572,G-361,Skin,Melanoma,Melanoma,0.821805464862691,False,5.029483806659792
ACH-000573,MDA-MB-436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",0.7590277852448689,False,4.779679963614756
ACH-000574,FU-OV-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.2023248970210831,False,5.773176139240004
ACH-000575,HCC-364,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,5.9052522067754625
ACH-000576,KMS-27,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,1.0381968865678648,False,4.96612587440514
ACH-000577,JHH-2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,False,5.59083552384919
ACH-000578,HCC-1171,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,1.134293237017208
ACH-000579,UACC-257,Skin,Melanoma,Melanoma,0.7946839900996819,False,5.4019205327067095
ACH-000580,C32,Skin,Melanoma,Melanoma,0.0392341791329239,True,3.897908364606362
ACH-000581,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,1.4076608734853591e-05,True,0.2279418810709112
ACH-000582,COLO 741,Skin,Melanoma,Melanoma,1.973145003744503e-05,True,0.153280034621453
ACH-000583,MC116,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,1.024437731867672,False,5.278940030508949
ACH-000584,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,,False,4.129719881292659
ACH-000585,EPLC-272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,0.9503243220367198,False,5.289140978826214
ACH-000586,NCI-H1876,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.5857359376784343,False,6.015704956173664
ACH-000587,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.7094135671548462,False,4.382321407114501
ACH-000588,KMS-26,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,0.9737956896775432,False,4.617680501919178
ACH-000589,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1.1832877355405852e-05,True,0.157637486613218
ACH-000590,NCI-H2073,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,3.560421495130302
ACH-000591,LN-235,CNS/Brain,Diffuse Glioma,Astrocytoma,,False,5.477428007284213
ACH-000592,TM-31,CNS/Brain,Diffuse Glioma,Astrocytoma,3.8160703474547475e-05,True,0.1781664563186433
ACH-000593,BC-3C,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0.2797397423885238,True,3.9481616182878385
ACH-000594,DMS 153,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.112336388339383,False,5.853346987005625
ACH-000595,LN-229,CNS/Brain,Diffuse Glioma,Glioblastoma,0.8012801342654778,False,5.959617162085566
ACH-000596,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,0.0012970212337691,True,4.01772597314398
ACH-000597,TTC-709,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,,False,4.774481360320941
ACH-000598,KMS-21BM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,4.332428675316497
ACH-000599,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.2393051966750088,False,6.300165833073703
ACH-000600,SLR 26,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,,False,5.5979661220275485
ACH-000601,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.116823545933868e-05,True,0.2834405962330598
ACH-000602,M-07e,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,0.9748390075679068,False,5.5581206627286255
ACH-000603,BEN,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,False,3.980445796442397
ACH-000604,KYO-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",,False,0.040711512707921
ACH-000605,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,1.2538811241218904e-05,True,0.6619338006920996
ACH-000606,PE/CA-PJ34 (clone C12),Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,5.816881255452249
ACH-000607,KYM-1,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,0.9780861507968276,False,0.0645090265259977
ACH-000608,COV644,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,0.9132485663255592,False,4.861349979942643
ACH-000609,SF126,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,4.417312457777578
ACH-000610,NCI-H2227,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0.91925004087244,False,5.141653494616286
ACH-000611,SU-DHL-6,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,5.44147351985312
ACH-000612,HuT 102,Lymphoid,Mature T and NK Neoplasms,Mycosis Fungoides,0.9921165574853106,False,3.666268037622854
ACH-000613,HOS,Bone,Osteosarcoma,Osteosarcoma,,False,0.2585514867397383
ACH-000614,RVH-421,Skin,Melanoma,Melanoma,0.7256953223909484,False,4.940909053999141
ACH-000615,SK-MEL-28,Skin,Melanoma,Cutaneous Melanoma,,False,5.165200462631885
ACH-000616,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,0.9938305480050184,False,6.032109661569418
ACH-000617,OVCAR-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,0.8345420171541983,False,4.375442634335019
ACH-000618,SNU-1041,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,0.0702232382070143,True,5.555260929607712
ACH-000619,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,3.9542335407462503
ACH-000620,JHH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,1.0188105032240145,False,4.258895755075436
ACH-000621,MDA-MB-157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.177215175427763,False,4.478188784956945
ACH-000622,KNS-42,CNS/Brain,Diffuse Glioma,Glioblastoma,0.8321638492052162,False,4.414047561092544
ACH-000623,SNU-201,CNS/Brain,Diffuse Glioma,Glioblastoma,1.3376495170527102e-05,True,0.7202171658109554
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,0.0059229182974002,True,3.293917792203895
ACH-000625,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,False,5.2357079156685655
ACH-000626,U266B1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,4.700278793180934
ACH-000627,LCLC-103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,1.0375788210675656,False,5.5049444857208005
ACH-000628,NCI-H596,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,1.063720365395808,False,5.104890145912558
ACH-000629,IOMM-Lee,CNS/Brain,Meningothelial Tumor,Meningioma,,False,6.631924952862167
ACH-000630,YD-8,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,0.8520132476652221,False,4.936590829823938
ACH-000631,KS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,0.2790409487843595
ACH-000632,Hs 944.T,Skin,Melanoma,Cutaneous Melanoma,0.8913923041362986,False,5.274667944507846
ACH-000633,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,0.9215983671451146,False,4.479146470540419
ACH-000634,LN-340,CNS/Brain,Diffuse Glioma,Glioblastoma,0.0469128316879982,True,5.275204510321465
ACH-000635,SNU-119,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.5909486932386443,False,5.963277589629734
ACH-000636,RPMI-8402,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,1.5255427331950469
ACH-000637,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,0.5672544054293814,False,3.3671208090487887
ACH-000638,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,4.320282484364429
ACH-000639,NCI-H211,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0.6877899031901243,False,4.554957152332547
ACH-000640,SK-MEL-31,Skin,Melanoma,Cutaneous Melanoma,,False,3.641939017476073
ACH-000641,CMK,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,1.3520046254666371e-05,True,0.2357074562053759
ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,False,5.832135565840561
ACH-000643,HDQ-P1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,0.818660641241262,False,4.137560902525286
ACH-000644,COLO 829,Skin,Melanoma,Cutaneous Melanoma,0.7858115969695435,False,5.493711372639175
ACH-000645,JL-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",0.6208281361500075,False,4.261214862026633
ACH-000646,OVMANA,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,,False,3.44878336406515
ACH-000647,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,0.8237113608403962,False,5.158652097524103
ACH-000648,NCI-H28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",0.663772455048132,False,4.189278998437042
ACH-000649,786-O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0.9777644388524904,False,5.3879139243859475
ACH-000650,IGR-37,Skin,Melanoma,Melanoma,,False,4.771933104289536
ACH-000651,SW 620,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.9913564489949928,False,5.388206761206094
ACH-000652,SUIT-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.125620747220753,False,7.921918275354232
ACH-000653,JJN-3,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,0.8111206681426985,False,5.238110437737941
ACH-000654,Raji,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,0.6601816313593912,False,5.1718953385742905
ACH-000655,SF268,CNS/Brain,Diffuse Glioma,Astrocytoma,1.3425726279689724e-05,True,0.1190984943387331
ACH-000656,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,0.1078953882461657
ACH-000657,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,1.043777482794818,False,4.66067766775564
ACH-000658,KMS-18,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,
ACH-000659,SCLC-21H,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.0093534253263514,False,4.823744266037129
ACH-000660,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,5.62702310555406
ACH-000661,WM1799,Skin,Melanoma,Melanoma,0.9086867080170796,False,4.5891702304348945
ACH-000662,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,0.6675486501040004,False,5.8642332017508245
ACH-000663,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,0.9501993645141174,False,4.643948519302828
ACH-000664,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,0.7549451036504086,False,0.1332623300688468
ACH-000665,SK-MES-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,0.93722989143186,False,5.116264935777214
ACH-000666,NCI-H1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.9817806660809912,False,5.364117141153146
ACH-000667,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1.0166538768370763,False,4.980066441145688
ACH-000668,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.6399807115445193,False,6.815575428862573
ACH-000669,SW 900,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,1.116823545933868e-05,True,0.5428087693222404
ACH-000670,SBC-5,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.0259448760186924,False,4.294679558191456
ACH-000671,HuH-6,Liver,Hepatoblastoma,Hepatoblastoma,0.8565658731983111,False,4.36331828338853
ACH-000672,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,,False,4.991286007100115
ACH-000673,LN-443,CNS/Brain,Diffuse Glioma,Glioblastoma,1.2779225987742458e-05,True,0.2013139237531679
ACH-000674,NUGC-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,0.1082951183381273,True,4.939635628170529
ACH-000675,NCI-H1734,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,4.794509443534071
ACH-000676,LN-464,Skin,Melanoma,Melanoma,0.7149521572489126,False,4.58207422139633
ACH-000677,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,0.8195447521817975
ACH-000678,MKN7,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,0.5678821317793518,False,3.477832726201892
ACH-000679,OE-19,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,0.9056447806412656,False,4.620809248572765
ACH-000680,SW948,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.8132998141589786,False,4.693654216793569
ACH-000681,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.0002095470160622,True,1.0581917914703465
ACH-000682,SNU-1066,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,0.7452673502036312,False,4.411941401968643
ACH-000683,SNU-503,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,0.9912927853083208,False,4.737892228080699
ACH-000684,KMRC-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0.9438534476646364,False,3.90656354766575
ACH-000685,L3.3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,,False,4.990178862894709
ACH-000686,SNU-878,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,False,4.16037972153026
ACH-000687,CI-1,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,,False,0.1910597674206678
ACH-000688,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mixed Ovarian Carcinoma,0.9421475810703582,False,5.398459827122383
ACH-000689,RH-18,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,,False,3.718515067023485
ACH-000690,HCC-2814,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,4.7465600029590025
ACH-000691,HCC2157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.598085496453861,False,6.652120755485585
ACH-000692,SNU-899,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,,False,5.5065226054913685
ACH-000693,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,0.9832608507027472,False,5.715066932956205
ACH-000694,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,0.0572588404577413,True,4.869422344337444
ACH-000695,COR-L47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,False,5.239256728746662
ACH-000696,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,0.9259696210563227,False,5.085590366300129
ACH-000697,A3/KAW,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",1.2531860205345144e-05,True,0.4565244151506533
ACH-000698,DMS 53,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0.8854967164046756,False,5.325997962392879
ACH-000699,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.1847649974516853e-05,True,0.212756083403638
ACH-000700,NCI-H2882,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,1.185586495270801e-05,True,0.0
ACH-000701,RMUG-S,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,0.6828126736303628,False,1.0632129935939845
ACH-000702,L-1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,False,0.940465972936531
ACH-000703,DMS 79,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.1575698113625597,False,5.280421883359715
ACH-000704,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,0.8975746518562564,False,4.308979681127627
ACH-000705,LC-1F,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,1.3236303059821069e-05,True,0.0692250842503212
ACH-000706,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.8830002787407694,False,4.762391341031846
ACH-000707,P3HR-1,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,,False,5.38738666827493
ACH-000708,SNU-283,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,,False,4.609607234360142
ACH-000709,KMRC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0.6803321972916823,False,3.8943521462499726
ACH-000710,NCI-H854,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,4.22323718106205
ACH-000711,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,0.9917361046127454,False,4.817889261859749
ACH-000712,HCC-1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.494110846342081,True,3.287219609275906
ACH-000713,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,0.7944193165462737,False,4.351515260797471
ACH-000714,KMS-11,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,1.0712430925991394,False,5.700509076812334
ACH-000715,SNU-1214,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,,False,4.429348153723727
ACH-000716,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,0.7762018000343743,False,4.918619985538466
ACH-000717,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,False,4.8627142166006205
ACH-000718,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.7994411289802682,False,5.280470138685437
ACH-000719,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,0.1175465470551516,True,2.194049218708322
ACH-000720,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,1.0787984497958845,False,5.148218272154145
ACH-000721,HMC-1-8,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.2613778813942591e-05,True,0.1760559132146085
ACH-000722,SNU-C1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,5.112349840563518
ACH-000723,YD-10B,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,6.113621328768753
ACH-000724,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0.9989707623979378,False,5.032713593862393
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,1.2650556001471942,False,5.155190630619844
ACH-000726,TE-14,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,False,1.726063900243794
ACH-000727,NCI-H2066,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.001518993822886,False,
ACH-000728,KASUMI-2,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,0.9842087798136884,False,5.109757538469246
ACH-000729,NCI-H1963,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.0698271055543622,False,5.161944099515595
ACH-000730,SK-MEL-5,Skin,Melanoma,Cutaneous Melanoma,3.2927440733201425e-05,True,0.1752052087837465
ACH-000731,HCC-2279,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,,False,0.1111889315697275
ACH-000732,PE/CA-PJ41 (clone D2),Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,0.6740353278908654,False,2.925492487957387
ACH-000733,NCI-H1838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,4.011254096011545
ACH-000734,JHH-5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,0.7321479144224605,False,4.879161712795858
